target_id,quarter,selection_order,population_cohort,selection_group
1431791,5,1,development_reference_100,development_reference_100
8178142,5,2,development_reference_100,development_reference_100
5112268,5,3,development_reference_100,development_reference_100
3115178,5,4,development_reference_100,development_reference_100
8837487,5,5,development_reference_100,development_reference_100
2578061,5,6,development_reference_100,development_reference_100
6608963,5,7,development_reference_100,development_reference_100
7949968,5,8,development_reference_100,development_reference_100
5394284,5,9,development_reference_100,development_reference_100
4544745,5,10,development_reference_100,development_reference_100
8720209,5,11,development_reference_100,development_reference_100
6859305,5,12,development_reference_100,development_reference_100
2579916,5,13,development_reference_100,development_reference_100
11042669,5,14,development_reference_100,development_reference_100
8963963,5,15,development_reference_100,development_reference_100
3940608,5,16,development_reference_100,development_reference_100
10989954,5,17,development_reference_100,development_reference_100
11414923,5,18,development_reference_100,development_reference_100
7918274,5,19,development_reference_100,development_reference_100
6846674,5,20,development_reference_100,development_reference_100
6140620,5,21,development_reference_100,development_reference_100
6151368,5,22,development_reference_100,development_reference_100
6383226,5,23,development_reference_100,development_reference_100
3459960,5,24,development_reference_100,development_reference_100
10817031,5,25,development_reference_100,development_reference_100
4920012,5,26,development_reference_100,development_reference_100
12062045,5,27,development_reference_100,development_reference_100
8235871,5,28,development_reference_100,development_reference_100
12256723,5,29,development_reference_100,development_reference_100
9284196,5,30,development_reference_100,development_reference_100
9885433,5,31,development_reference_100,development_reference_100
9606574,5,32,development_reference_100,development_reference_100
4179590,5,33,development_reference_100,development_reference_100
10157350,5,34,development_reference_100,development_reference_100
10223890,5,35,development_reference_100,development_reference_100
5018078,5,36,development_reference_100,development_reference_100
4935292,5,37,development_reference_100,development_reference_100
8346754,5,38,development_reference_100,development_reference_100
9827856,5,39,development_reference_100,development_reference_100
8029226,5,40,development_reference_100,development_reference_100
11521527,5,41,development_reference_100,development_reference_100
10337035,5,42,development_reference_100,development_reference_100
7283689,5,43,development_reference_100,development_reference_100
5285553,5,44,development_reference_100,development_reference_100
6938045,5,45,development_reference_100,development_reference_100
1431344,5,46,development_reference_100,development_reference_100
6974253,5,47,development_reference_100,development_reference_100
9087147,5,48,development_reference_100,development_reference_100
6876840,5,49,development_reference_100,development_reference_100
6628965,5,50,development_reference_100,development_reference_100
10286020,5,51,development_reference_100,development_reference_100
4738590,5,52,development_reference_100,development_reference_100
9147169,5,53,development_reference_100,development_reference_100
12106444,5,54,development_reference_100,development_reference_100
11753291,5,55,development_reference_100,development_reference_100
6865690,5,56,development_reference_100,development_reference_100
3860732,5,57,development_reference_100,development_reference_100
2834231,5,58,development_reference_100,development_reference_100
11349070,5,59,development_reference_100,development_reference_100
9451208,5,60,development_reference_100,development_reference_100
10397887,5,61,development_reference_100,development_reference_100
7019594,5,62,development_reference_100,development_reference_100
8249924,5,63,development_reference_100,development_reference_100
6148329,5,64,development_reference_100,development_reference_100
11296306,5,65,development_reference_100,development_reference_100
2309943,5,66,development_reference_100,development_reference_100
10989905,5,67,development_reference_100,development_reference_100
12205769,5,68,development_reference_100,development_reference_100
9101525,5,69,development_reference_100,development_reference_100
11810346,5,70,development_reference_100,development_reference_100
8420710,5,71,development_reference_100,development_reference_100
8487804,5,72,development_reference_100,development_reference_100
9395293,5,73,development_reference_100,development_reference_100
6383022,5,74,development_reference_100,development_reference_100
7603953,5,75,development_reference_100,development_reference_100
10293753,5,76,development_reference_100,development_reference_100
5880602,5,77,development_reference_100,development_reference_100
11570427,5,78,development_reference_100,development_reference_100
9511987,5,79,development_reference_100,development_reference_100
9542723,5,80,development_reference_100,development_reference_100
10783986,5,81,development_reference_100,development_reference_100
11026153,5,82,development_reference_100,development_reference_100
9450054,5,83,development_reference_100,development_reference_100
3230022,5,84,development_reference_100,development_reference_100
12645975,5,85,development_reference_100,development_reference_100
4375186,5,86,development_reference_100,development_reference_100
10130788,5,87,development_reference_100,development_reference_100
7024325,5,88,development_reference_100,development_reference_100
6313425,5,89,development_reference_100,development_reference_100
5089194,5,90,development_reference_100,development_reference_100
