target_id,quarter,selection_group
1431791,5,random_clean_q5_unstratified
8178142,5,random_clean_q5_unstratified
5112268,5,random_clean_q5_unstratified
3115178,5,random_clean_q5_unstratified
8837487,5,random_clean_q5_unstratified
2578061,5,random_clean_q5_unstratified
6608963,5,random_clean_q5_unstratified
7949968,5,random_clean_q5_unstratified
5394284,5,random_clean_q5_unstratified
4544745,5,random_clean_q5_unstratified
8720209,5,random_clean_q5_unstratified
6859305,5,random_clean_q5_unstratified
2579916,5,random_clean_q5_unstratified
11042669,5,random_clean_q5_unstratified
8963963,5,random_clean_q5_unstratified
3940608,5,random_clean_q5_unstratified
10989954,5,random_clean_q5_unstratified
11414923,5,random_clean_q5_unstratified
7918274,5,random_clean_q5_unstratified
6846674,5,random_clean_q5_unstratified
6140620,5,random_clean_q5_unstratified
6151368,5,random_clean_q5_unstratified
6383226,5,random_clean_q5_unstratified
3459960,5,random_clean_q5_unstratified
10817031,5,random_clean_q5_unstratified
4920012,5,random_clean_q5_unstratified
12062045,5,random_clean_q5_unstratified
8235871,5,random_clean_q5_unstratified
12256723,5,random_clean_q5_unstratified
9284196,5,random_clean_q5_unstratified
9885433,5,random_clean_q5_unstratified
9606574,5,random_clean_q5_unstratified
4179590,5,random_clean_q5_unstratified
10157350,5,random_clean_q5_unstratified
10223890,5,random_clean_q5_unstratified
5018078,5,random_clean_q5_unstratified
4935292,5,random_clean_q5_unstratified
8346754,5,random_clean_q5_unstratified
9827856,5,random_clean_q5_unstratified
8029226,5,random_clean_q5_unstratified
11521527,5,random_clean_q5_unstratified
10337035,5,random_clean_q5_unstratified
7283689,5,random_clean_q5_unstratified
5285553,5,random_clean_q5_unstratified
6938045,5,random_clean_q5_unstratified
1431344,5,random_clean_q5_unstratified
6974253,5,random_clean_q5_unstratified
9087147,5,random_clean_q5_unstratified
6876840,5,random_clean_q5_unstratified
6628965,5,random_clean_q5_unstratified
10286020,5,random_clean_q5_unstratified
4738590,5,random_clean_q5_unstratified
9147169,5,random_clean_q5_unstratified
12106444,5,random_clean_q5_unstratified
11753291,5,random_clean_q5_unstratified
6865690,5,random_clean_q5_unstratified
3860732,5,random_clean_q5_unstratified
2834231,5,random_clean_q5_unstratified
11349070,5,random_clean_q5_unstratified
9451208,5,random_clean_q5_unstratified
10397887,5,random_clean_q5_unstratified
7019594,5,random_clean_q5_unstratified
8249924,5,random_clean_q5_unstratified
6148329,5,random_clean_q5_unstratified
11296306,5,random_clean_q5_unstratified
2309943,5,random_clean_q5_unstratified
10989905,5,random_clean_q5_unstratified
12205769,5,random_clean_q5_unstratified
9101525,5,random_clean_q5_unstratified
11810346,5,random_clean_q5_unstratified
8420710,5,random_clean_q5_unstratified
8487804,5,random_clean_q5_unstratified
9395293,5,random_clean_q5_unstratified
6383022,5,random_clean_q5_unstratified
7603953,5,random_clean_q5_unstratified
10293753,5,random_clean_q5_unstratified
5880602,5,random_clean_q5_unstratified
11570427,5,random_clean_q5_unstratified
9511987,5,random_clean_q5_unstratified
9542723,5,random_clean_q5_unstratified
10783986,5,random_clean_q5_unstratified
11026153,5,random_clean_q5_unstratified
9450054,5,random_clean_q5_unstratified
3230022,5,random_clean_q5_unstratified
12645975,5,random_clean_q5_unstratified
4375186,5,random_clean_q5_unstratified
10130788,5,random_clean_q5_unstratified
7024325,5,random_clean_q5_unstratified
6313425,5,random_clean_q5_unstratified
5089194,5,random_clean_q5_unstratified
7031686,5,random_clean_q5_unstratified
7123197,5,random_clean_q5_unstratified
8527048,5,random_clean_q5_unstratified
11495006,5,random_clean_q5_unstratified
9654425,5,random_clean_q5_unstratified
10285459,5,random_clean_q5_unstratified
7091685,5,random_clean_q5_unstratified
5961063,5,random_clean_q5_unstratified
5180796,5,random_clean_q5_unstratified
10160286,5,random_clean_q5_unstratified
