run_id,config_hash,star_id,stage,injection_id,treatment,detector,null_trial,status,runtime_seconds,updated_at,error
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,data_fetch,,,,,complete_cached,,2026-08-20T16:08:46+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,characterization,,,,,complete,,2026-08-20T16:08:46+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,treatment,,arima,,,complete,0.0123049579560756,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,treatment,,gp,,,complete,0.0011666659265756,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,treatment,,kalman,,,complete,0.0090957498177886,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,treatment,,raw,,,complete,,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,injection,batman_00000,,,,complete,,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00000,arima,,,complete,,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00000,gp,,,complete,,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00000,kalman,,,complete,,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00000,raw,,,complete,,2026-08-20T16:08:47+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,raw,bls,,complete,0.1717228339985013,2026-08-20T16:08:48+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,raw,tcf,,complete,15.79900729097426,2026-08-20T16:09:03+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,raw,tps_like,,complete,1.850846457760781,2026-08-20T16:09:05+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,arima,bls,,complete,0.2514605410397053,2026-08-20T16:09:05+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,arima,tcf,,complete,14.68488987488672,2026-08-20T16:09:20+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,arima,tps_like,,complete,1.9411438750103116,2026-08-20T16:09:22+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,kalman,bls,,complete,0.1849829582497477,2026-08-20T16:09:22+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,kalman,tcf,,complete,14.7111322497949,2026-08-20T16:09:37+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,kalman,tps_like,,complete,1.8598025836981833,2026-08-20T16:09:39+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,gp,bls,,complete,0.1751325000077486,2026-08-20T16:09:39+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,gp,tcf,,complete,14.750380583107471,2026-08-20T16:09:54+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00000,gp,tps_like,,complete,1.8382331659086049,2026-08-20T16:09:56+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,injection,batman_00001,,,,complete,,2026-08-20T16:09:56+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00001,arima,,,complete,,2026-08-20T16:09:56+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00001,gp,,,complete,,2026-08-20T16:09:56+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00001,kalman,,,complete,,2026-08-20T16:09:56+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,preservation,batman_00001,raw,,,complete,,2026-08-20T16:09:56+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,raw,bls,,complete,0.1687572076916694,2026-08-20T16:09:56+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,raw,tcf,,complete,14.927233583293855,2026-08-20T16:10:11+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,raw,tps_like,,complete,1.8469275841489432,2026-08-20T16:10:13+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,arima,bls,,complete,0.2075761249288916,2026-08-20T16:10:13+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,arima,tcf,,complete,14.464115167036653,2026-08-20T16:10:27+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,arima,tps_like,,complete,1.8263107081875205,2026-08-20T16:10:29+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,kalman,bls,,complete,0.1829102910123765,2026-08-20T16:10:29+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,kalman,tcf,,complete,14.5930300001055,2026-08-20T16:10:44+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,kalman,tps_like,,complete,1.824588333722204,2026-08-20T16:10:46+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,gp,bls,,complete,0.1737254997715354,2026-08-20T16:10:46+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,gp,tcf,,complete,14.750363749917597,2026-08-20T16:11:01+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,detection,batman_00001,gp,tps_like,,complete,1.8299228749237957,2026-08-20T16:11:02+00:00,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10718455_q5,injection,batman_00002,,,,complete,,2026-08-20T16:11:02+00:00,
