target_id,quarter,selection_group,sample_stratum,koi_flag,tce_flag,confirmed_planet_flag,eb_flag,provenance
12645975,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
1431344,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
1431791,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2834231,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3115178,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3230022,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4544745,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4818593,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5171052,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
7583204,5,catalog_clean_background,gap_heavy,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
