target_id,quarter,sample_stratum,branch,converged,aic,runtime_seconds,params_json,process_variance,measurement_variance,length_scale_days,training_point_count
12645975,5,gap_heavy,raw,True,,,,,,,
12645975,5,gap_heavy,arima,True,-50064.61480765841,0.23870841693133116,"[-0.5154485277843878, 8.122096627628841e-07]",,,,
12645975,5,gap_heavy,kalman,True,,0.49875254230573773,,6.11772752316009e-11,5.502731696934155e-07,,
12645975,5,gap_heavy,gp,False,,0.46520579094067216,,,,1.0,512.0
1431344,5,gap_heavy,raw,True,,,,,,,
1431344,5,gap_heavy,arima,False,-57559.7306641332,0.3627373753115535,"[-0.4629952108055308, 1.5362360994542052e-07]",,,,
1431344,5,gap_heavy,kalman,True,,0.3473579161800444,,4.5765214907733455e-10,1.0814415668172638e-07,,
1431344,5,gap_heavy,gp,False,,0.5628538327291608,,,,1.0,512.0
10677499,5,high_scatter,raw,True,,,,,,,
10677499,5,high_scatter,arima,False,-56759.21479200185,0.2456847089342773,"[-0.3982998722492509, 1.8319956482640225e-07]",,,,
10677499,5,high_scatter,kalman,True,,0.3407097919844091,,6.861176308075741e-08,7.188617860995172e-08,,
10677499,5,high_scatter,gp,True,,0.2508976669050753,,,,1.4315703879624047,512.0
2996004,5,high_scatter,raw,True,,,,,,,
2996004,5,high_scatter,arima,False,-59828.047710795436,0.10050466610118747,"[-0.21394786778059333, 9.249157357582685e-08]",,,,
2996004,5,high_scatter,kalman,True,,0.25416866689920425,,9.704764615827064e-08,3.080509256749434e-13,,
2996004,5,high_scatter,gp,True,,0.2521273330785334,,,,1.1632928927138668,512.0
10718455,5,long_memory,raw,True,,,,,,,
10718455,5,long_memory,arima,True,-65100.30918273119,0.07349366694688797,"[-0.4520533652273427, 2.8624961835544306e-08]",,,,
10718455,5,long_memory,kalman,True,,0.2199261672794819,,6.09474971561786e-10,1.9692819617900412e-08,,
10718455,5,long_memory,gp,True,,0.2169564999639988,,,,2.2275810775579923,512.0
11245408,5,long_memory,raw,True,,,,,,,
11245408,5,long_memory,arima,True,-56536.7536193814,0.17281337501481175,"[-0.46686880628792715, 1.9178938485472352e-07]",,,,
11245408,5,long_memory,kalman,True,,0.20051024993881583,,1.3593000273783369e-08,1.1428997415351121e-07,,
11245408,5,long_memory,gp,True,,0.2189810830168426,,,,2.0246182268634634,512.0
10223890,5,quiet_low_scatter,raw,True,,,,,,,
10223890,5,quiet_low_scatter,arima,True,-72441.20795303624,0.08582041738554835,"[-0.42237577878617577, 5.5175931982365e-09]",,,,
10223890,5,quiet_low_scatter,kalman,True,,0.17998829204589128,,7.13011672451639e-10,3.1455076159010086e-09,,
10223890,5,quiet_low_scatter,gp,False,,0.20634495792910457,,,,1.0,512.0
2715763,5,quiet_low_scatter,raw,True,,,,,,,
2715763,5,quiet_low_scatter,arima,True,-66356.52589613645,0.09087412524968386,"[-0.492756619475287, 2.1622476608065514e-08]",,,,
2715763,5,quiet_low_scatter,kalman,True,,0.2483314173296094,,5.535129308729908e-12,1.4672836437996357e-08,,
2715763,5,quiet_low_scatter,gp,False,,0.18388700019568205,,,,1.0,512.0
11450313,5,smooth_background_dominant,raw,True,,,,,,,
11450313,5,smooth_background_dominant,arima,True,-52339.40526667207,0.08898554183542728,"[-0.1566849969622944, 4.93641447254489e-07]",,,,
11450313,5,smooth_background_dominant,kalman,True,,0.2337227500975132,,3.7439564297752233e-07,6.499091518322675e-08,,
11450313,5,smooth_background_dominant,gp,False,,0.27340066712349653,,,,1.0,512.0
11666946,5,smooth_background_dominant,raw,True,,,,,,,
11666946,5,smooth_background_dominant,arima,True,-54853.20075225626,0.16545654134824872,"[-0.48027266426815685, 2.792151655925206e-07]",,,,
11666946,5,smooth_background_dominant,kalman,True,,0.18105033412575722,,1.061257044896377e-08,1.7933914815147267e-07,,
11666946,5,smooth_background_dominant,gp,True,,0.22762512508779764,,,,1.7568914832713516,512.0
