branch,feature,outcome,n_stars,spearman_rho,interpretation_scope
arima,robust_scatter,median_template_correlation,8,-0.5714285714285715,descriptive_poc_only_no_significance_claim
arima,robust_scatter,oracle_snr_gain_vs_raw,8,0.9523809523809524,descriptive_poc_only_no_significance_claim
arima,robust_scatter,whitening_gain_vs_raw,8,0.9523809523809524,descriptive_poc_only_no_significance_claim
arima,robust_scatter,tls_exact_gain_vs_raw,8,0.8751723492699258,descriptive_poc_only_no_significance_claim
arima,skewness,median_template_correlation,8,0.4523809523809524,descriptive_poc_only_no_significance_claim
arima,skewness,oracle_snr_gain_vs_raw,8,-0.6190476190476191,descriptive_poc_only_no_significance_claim
arima,skewness,whitening_gain_vs_raw,8,-0.6428571428571429,descriptive_poc_only_no_significance_claim
arima,skewness,tls_exact_gain_vs_raw,8,-0.29172411642330864,descriptive_poc_only_no_significance_claim
arima,outlier_fraction,median_template_correlation,8,0.45643546458763845,descriptive_poc_only_no_significance_claim
arima,outlier_fraction,oracle_snr_gain_vs_raw,8,-0.9128709291752769,descriptive_poc_only_no_significance_claim
arima,outlier_fraction,whitening_gain_vs_raw,8,-0.8215838362577491,descriptive_poc_only_no_significance_claim
arima,outlier_fraction,tls_exact_gain_vs_raw,8,-0.8267078963853834,descriptive_poc_only_no_significance_claim
arima,acf_lag1,median_template_correlation,8,-0.5952380952380953,descriptive_poc_only_no_significance_claim
arima,acf_lag1,oracle_snr_gain_vs_raw,8,0.9761904761904763,descriptive_poc_only_no_significance_claim
arima,acf_lag1,whitening_gain_vs_raw,8,0.9761904761904763,descriptive_poc_only_no_significance_claim
arima,acf_lag1,tls_exact_gain_vs_raw,8,0.7863867486193535,descriptive_poc_only_no_significance_claim
arima,acf_timescale_days,median_template_correlation,8,0.11904761904761905,descriptive_poc_only_no_significance_claim
arima,acf_timescale_days,oracle_snr_gain_vs_raw,8,0.5000000000000001,descriptive_poc_only_no_significance_claim
arima,acf_timescale_days,whitening_gain_vs_raw,8,0.30952380952380953,descriptive_poc_only_no_significance_claim
arima,acf_timescale_days,tls_exact_gain_vs_raw,8,0.7356521196761695,descriptive_poc_only_no_significance_claim
arima,spectral_concentration,median_template_correlation,8,-0.023809523809523815,descriptive_poc_only_no_significance_claim
arima,spectral_concentration,oracle_snr_gain_vs_raw,8,0.6904761904761906,descriptive_poc_only_no_significance_claim
arima,spectral_concentration,whitening_gain_vs_raw,8,0.523809523809524,descriptive_poc_only_no_significance_claim
arima,spectral_concentration,tls_exact_gain_vs_raw,8,0.8751723492699258,descriptive_poc_only_no_significance_claim
arima,harmonic_power_ratio,median_template_correlation,8,0.261904761904762,descriptive_poc_only_no_significance_claim
arima,harmonic_power_ratio,oracle_snr_gain_vs_raw,8,0.261904761904762,descriptive_poc_only_no_significance_claim
arima,harmonic_power_ratio,whitening_gain_vs_raw,8,0.04761904761904763,descriptive_poc_only_no_significance_claim
arima,harmonic_power_ratio,tls_exact_gain_vs_raw,8,-0.20293851577273644,descriptive_poc_only_no_significance_claim
arima,dominant_period_days,median_template_correlation,8,0.5000000000000001,descriptive_poc_only_no_significance_claim
arima,dominant_period_days,oracle_snr_gain_vs_raw,8,-0.7380952380952381,descriptive_poc_only_no_significance_claim
arima,dominant_period_days,whitening_gain_vs_raw,8,-0.6666666666666669,descriptive_poc_only_no_significance_claim
arima,dominant_period_days,tls_exact_gain_vs_raw,8,-0.4058770315454729,descriptive_poc_only_no_significance_claim
arima,period_agreement_error,median_template_correlation,8,0.261904761904762,descriptive_poc_only_no_significance_claim
arima,period_agreement_error,oracle_snr_gain_vs_raw,8,-0.7142857142857144,descriptive_poc_only_no_significance_claim
arima,period_agreement_error,whitening_gain_vs_raw,8,-0.6904761904761906,descriptive_poc_only_no_significance_claim
arima,period_agreement_error,tls_exact_gain_vs_raw,8,-0.48197897496024894,descriptive_poc_only_no_significance_claim
arima,segment_scale_variability,median_template_correlation,8,-0.023809523809523815,descriptive_poc_only_no_significance_claim
arima,segment_scale_variability,oracle_snr_gain_vs_raw,8,0.6190476190476191,descriptive_poc_only_no_significance_claim
arima,segment_scale_variability,whitening_gain_vs_raw,8,0.4285714285714286,descriptive_poc_only_no_significance_claim
arima,segment_scale_variability,tls_exact_gain_vs_raw,8,0.4185606887812689,descriptive_poc_only_no_significance_claim
gp,robust_scatter,median_template_correlation,8,0.3571428571428572,descriptive_poc_only_no_significance_claim
gp,robust_scatter,oracle_snr_gain_vs_raw,8,0.8333333333333335,descriptive_poc_only_no_significance_claim
gp,robust_scatter,whitening_gain_vs_raw,8,0.2380952380952381,descriptive_poc_only_no_significance_claim
gp,robust_scatter,tls_exact_gain_vs_raw,8,0.3515732676024321,descriptive_poc_only_no_significance_claim
gp,skewness,median_template_correlation,8,0.0,descriptive_poc_only_no_significance_claim
gp,skewness,oracle_snr_gain_vs_raw,8,-0.4761904761904762,descriptive_poc_only_no_significance_claim
gp,skewness,whitening_gain_vs_raw,8,-0.2380952380952381,descriptive_poc_only_no_significance_claim
gp,skewness,tls_exact_gain_vs_raw,8,-0.3515732676024321,descriptive_poc_only_no_significance_claim
gp,outlier_fraction,median_template_correlation,8,-0.39123039821797584,descriptive_poc_only_no_significance_claim
gp,outlier_fraction,oracle_snr_gain_vs_raw,8,-0.9128709291752769,descriptive_poc_only_no_significance_claim
gp,outlier_fraction,whitening_gain_vs_raw,8,-0.36514837167011077,descriptive_poc_only_no_significance_claim
gp,outlier_fraction,tls_exact_gain_vs_raw,8,-0.4183300132670377,descriptive_poc_only_no_significance_claim
gp,acf_lag1,median_template_correlation,8,0.3333333333333334,descriptive_poc_only_no_significance_claim
gp,acf_lag1,oracle_snr_gain_vs_raw,8,0.8571428571428572,descriptive_poc_only_no_significance_claim
gp,acf_lag1,whitening_gain_vs_raw,8,0.19047619047619052,descriptive_poc_only_no_significance_claim
gp,acf_lag1,tls_exact_gain_vs_raw,8,0.3515732676024321,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,median_template_correlation,8,0.9523809523809524,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,oracle_snr_gain_vs_raw,8,0.5714285714285715,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,whitening_gain_vs_raw,8,0.8571428571428572,descriptive_poc_only_no_significance_claim
gp,acf_timescale_days,tls_exact_gain_vs_raw,8,0.909241209316635,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,median_template_correlation,8,0.7380952380952381,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,oracle_snr_gain_vs_raw,8,0.7142857142857144,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,whitening_gain_vs_raw,8,0.7857142857142858,descriptive_poc_only_no_significance_claim
gp,spectral_concentration,tls_exact_gain_vs_raw,8,0.8001322641986388,descriptive_poc_only_no_significance_claim
gp,harmonic_power_ratio,median_template_correlation,8,0.04761904761904763,descriptive_poc_only_no_significance_claim
