path,valid_11_feature_schema,matched_targets,rows
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/batman_physical_detection_poc/pilot10/qc_analysis/canonical_bridge/canonical_feature_coverage.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/batman_physical_detection_poc/pilot10/qc_analysis/canonical_bridge/canonical_feature_performance_spearman.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_feature_audit/metrics/canonical_feature_distribution_summary.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_feature_audit/metrics/canonical_feature_schema.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_feature_audit/metrics/stellar_features_v2_50.csv,True,8,50.0
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_feature_audit/metrics/stellar_features_v2_continuous_50.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/canonical_feature_availability.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/canonical_feature_distribution_summary.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/canonical_feature_schema.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/characterization_master_1000.csv,True,3,1000.0
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/stellar_features_v2.csv,True,3,1000.0
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/stellar_features_v2_1000.csv,True,3,1000.0
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/stellar_features_v2_continuous.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_population1000/metrics/stellar_features_v2_continuous_1000.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation100/metrics/canonical_feature_distribution_summary.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation100/metrics/canonical_feature_schema.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation100/metrics/characterization_master_100.csv,True,3,100.0
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation100/metrics/stellar_features_v2.csv,True,3,100.0
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation100/metrics/stellar_features_v2_100.csv,True,3,100.0
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation100/metrics/stellar_features_v2_continuous.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation100/metrics/stellar_features_v2_continuous_100.csv,False,0,
/Users/shreshthachakraborty/PycharmProjects/PythonProject/trident/outputs/experiments/characterization_validation50/metrics/characterization_master_50.csv,True,8,50.0
