branch,fit_status,detector,n_attempted_runs,n_successful_runs,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds,n_successful_stars,run_success_rate
arima,clean,bls,42,42,0.09523809523809523,0.30952380952380953,1.000417014178482,0.04379683360457415,7,1.0
arima,clean,tls,42,42,0.30952380952380953,0.3333333333333333,0.3800520155882079,9.028399771079421,7,1.0
arima,clean,trapezoid,42,42,0.047619047619047616,0.21428571428571427,1.249207673060884,0.12944972910918295,7,1.0
arima,optimizer_flagged,bls,18,18,0.05555555555555555,0.16666666666666666,0.6758965804837367,0.03969810414128,3,1.0
arima,optimizer_flagged,tls,18,18,0.2222222222222222,0.2222222222222222,0.4197173306212523,9.024018583120778,3,1.0
arima,optimizer_flagged,trapezoid,18,18,0.0,0.05555555555555555,0.5567973311092578,0.14412960410118097,3,1.0
gp,boundary_limited,bls,30,30,0.3,0.4666666666666667,0.4854045037531276,0.0362257084343582,5,1.0
gp,boundary_limited,tls,30,30,0.5666666666666667,0.5666666666666667,0.0003228455630589,10.02329320833087,5,1.0
gp,boundary_limited,trapezoid,30,30,0.3,0.5333333333333333,0.4854045037531276,0.1412807500455528,5,1.0
gp,interior_optimum,bls,30,30,0.3,0.3333333333333333,0.3220183486238532,0.03594335424713785,5,1.0
gp,interior_optimum,tls,30,30,0.5,0.5666666666666667,0.04192618519796125,9.56990489596501,5,1.0
gp,interior_optimum,trapezoid,30,30,0.3,0.3333333333333333,0.3220183486238532,0.14423537487164134,5,1.0
kalman,clean,bls,60,60,0.25,0.48333333333333334,0.5,0.038820979418232995,10,1.0
kalman,clean,tls,60,60,0.5333333333333333,0.5333333333333333,0.00049240996742065,8.969384208554402,10,1.0
kalman,clean,trapezoid,60,60,0.3,0.4666666666666667,0.4451209341117597,0.14576129219494754,10,1.0
raw,clean,bls,60,60,0.26666666666666666,0.3,0.5213511259382819,0.035132437711581546,10,1.0
raw,clean,tls,60,60,0.36666666666666664,0.36666666666666664,0.42158403729468086,12.368337583029643,10,1.0
raw,clean,trapezoid,60,60,0.2833333333333333,0.3,0.494161801501251,0.13467443687841296,10,1.0
