target_id,quarter,sample_stratum,policy,min_length_scale_days,max_poc_transit_duration_days,lower_bound_to_max_duration_ratio,from_cache,fit_completed,converged,length_scale_days,length_scale_at_lower_bound,signal_variance,log_marginal_likelihood,residual_scale_ppm,abs_residual_acf1,optimizer_warning_count,optimizer_warning_message,runtime_seconds,error
12645975,5,gap_heavy,minls_1d,1.0,0.3333333333333333,3.0,True,True,False,1.0,True,7.918930818052998e-07,1929.1108806091722,731.0212422287518,0.1056348944317383,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,0.2713422919623554,
12645975,5,gap_heavy,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,False,0.75,True,1.4327046261199766e-06,2029.5319966712734,746.8069447416317,0.1670596634456115,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.75. Decreasing the bound and calling fit again may find a better value.,0.25046966690570116,
12645975,5,gap_heavy,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,False,0.5,True,8.860342837061846e-07,2149.6931959707827,772.5309707811215,0.21258708709748872,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.5. Decreasing the bound and calling fit again may find a better value.,0.2967328750528395,
1431344,5,gap_heavy,minls_1d,1.0,0.3333333333333333,3.0,True,True,False,1.0,True,9.077508000425851e-08,3076.7978130813917,338.4442844299748,0.18708738006324846,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,0.37745833303779364,
1431344,5,gap_heavy,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,False,0.75,True,8.750876227669646e-08,3106.445726464425,337.3661916535591,0.20273487892933292,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.75. Decreasing the bound and calling fit again may find a better value.,0.3788259169086814,
1431344,5,gap_heavy,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,False,0.5,True,8.580138677136964e-08,3146.7284807763417,341.3176826324582,0.22618938281699863,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.5. Decreasing the bound and calling fit again may find a better value.,0.265929208137095,
10677499,5,high_scatter,minls_1d,1.0,0.3333333333333333,3.0,True,True,True,1.431570387962401,False,3.277659616478955e-05,2439.212097320168,601.6124189089569,0.7174758782661869,0,,0.29745466681197286,
10677499,5,high_scatter,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,True,1.431579842657088,False,3.277699675937286e-05,2439.2120973167075,601.6243091985802,0.7174795839968834,0,,0.3259928752668202,
10677499,5,high_scatter,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,True,1.4315695782525883,False,3.2776584783714385e-05,2439.212097320141,601.6112598565163,0.7174754743793318,0,,0.29951008316129446,
2996004,5,high_scatter,minls_1d,1.0,0.3333333333333333,3.0,True,True,True,1.163292892713869,False,4.135267467810878e-05,2454.165246956227,400.8247866211078,0.7631568031503865,0,,0.33206133311614394,
2996004,5,high_scatter,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,True,1.1632944959429907,False,4.135287478808404e-05,2454.165246955933,400.8259928974655,0.7631570854143426,0,,0.33451362466439605,
2996004,5,high_scatter,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,True,1.1632932726639524,False,4.135267878967262e-05,2454.165246956226,400.82529654101126,0.7631570525020978,0,,0.3089845417998731,
10718455,5,long_memory,minls_1d,1.0,0.3333333333333333,3.0,True,True,True,2.227581077557999,False,9.875812777578951e-08,3739.445009653452,144.46194609154955,0.24510956089031405,0,,0.238387584220618,
10718455,5,long_memory,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,True,2.2274902761718085,False,9.875293256322789e-08,3739.4450097227646,144.461115533893,0.24510810336446742,0,,0.9446885408833623,
10718455,5,long_memory,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,True,2.2274684395598205,False,9.874971406550507e-08,3739.445009719311,144.46105279551136,0.24510784022787407,0,,2.1133980839513242,
11245408,5,long_memory,minls_1d,1.0,0.3333333333333333,3.0,True,True,True,2.024618226863463,False,7.838702191782224e-06,2787.9303971649188,422.03526080178364,0.31556312685067206,0,,1.7337120836600661,
11245408,5,long_memory,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,True,2.024604849555046,False,7.838681778073994e-06,2787.9303971702957,422.03533245152425,0.3155583672586098,0,,0.28992720879614353,
11245408,5,long_memory,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,True,2.024605212210637,False,7.838686072213679e-06,2787.9303971702993,422.035310871592,0.31555843831755,0,,0.2504342501051724,
10223890,5,quiet_low_scatter,minls_1d,1.0,0.3333333333333333,3.0,True,True,False,1.0,True,4.088170862082579e-08,3919.489094694377,78.38590595567291,0.5184853179529734,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,0.30708999978378415,
10223890,5,quiet_low_scatter,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,False,0.75,True,1.9756667023383664e-08,3963.2736232281995,76.77578256076224,0.48606004746735265,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.75. Decreasing the bound and calling fit again may find a better value.,0.5230733752250671,
10223890,5,quiet_low_scatter,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,False,0.5,True,1.3761805734877697e-08,4005.4115467901156,72.47469311834155,0.42826948092458716,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.5. Decreasing the bound and calling fit again may find a better value.,0.35713304206728935,
2715763,5,quiet_low_scatter,minls_1d,1.0,0.3333333333333333,3.0,True,True,False,1.0,True,2.6726732927608312e-08,2547.7841986794265,122.10830198460648,0.18513556000146028,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,0.2063339170999825,
2715763,5,quiet_low_scatter,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,False,0.75,True,2.7209073172959303e-08,2624.4055522858553,123.7061280929813,0.2194072016278604,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.75. Decreasing the bound and calling fit again may find a better value.,0.2694134172052145,
2715763,5,quiet_low_scatter,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,False,0.5,True,6.509562170683587e-08,2809.0940520214926,126.76411791079774,0.30545973352514566,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.5. Decreasing the bound and calling fit again may find a better value.,0.24276287527754903,
11450313,5,smooth_background_dominant,minls_1d,1.0,0.3333333333333333,3.0,True,True,False,1.0,True,2.739886504676268e-06,2484.0864417443054,1210.94951532102,0.8244168500222209,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,0.38225462520495057,
11450313,5,smooth_background_dominant,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,False,0.75,True,2.1412083167663675e-06,2492.9629657280957,1180.3201568502197,0.8159784430586625,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.75. Decreasing the bound and calling fit again may find a better value.,0.37866604095324874,
11450313,5,smooth_background_dominant,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,False,0.5,True,2.1049798739702084e-06,2498.6444596768997,1114.8543466741976,0.7975104292348794,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 0.5. Decreasing the bound and calling fit again may find a better value.,0.4178719590418041,
11666946,5,smooth_background_dominant,minls_1d,1.0,0.3333333333333333,3.0,True,True,True,1.7568914832713516,False,2.450583891139031e-06,3087.802775612122,428.23925075978457,0.16090024844014483,0,,0.30180487502366304,
11666946,5,smooth_background_dominant,minls_0p75d,0.75,0.3333333333333333,2.25,True,True,True,1.7568907105150648,False,2.450563493234548e-06,3087.802775612121,428.239506043145,0.16090028504055004,0,,0.2941455002874136,
11666946,5,smooth_background_dominant,minls_0p5d,0.5,0.3333333333333333,1.5,True,True,True,1.7568894517516758,False,2.450554802736627e-06,3087.802775611891,428.239587393235,0.16090028150863078,0,,0.3208649167791009,
