policy,optimized,n_restarts_optimizer,fit_completed,converged,optimizer_warning_count,optimizer_warning_message,bound_hit,length_scale_days,signal_variance,log_marginal_likelihood,residual_scale_ppm,abs_residual_acf1,runtime_seconds,error,target_id,quarter,sample_stratum,from_cache,residual_corr_vs_optimized_r0,background_corr_vs_optimized_r0
optimized_r0,True,0,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,7.918930818052998e-07,1929.1108806091722,731.0212422287518,0.1056348944317383,0.36526470771059394,,12645975,5,gap_heavy,True,1.0,1.0
optimized_r2,True,2,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,7.919296391223172e-07,1929.1108806131049,731.0238885240642,0.10563578077796205,1.3235327079892159,,12645975,5,gap_heavy,True,0.9999999999956779,0.9999999999831526
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,5.122429283898091e-07,1829.98761547023,711.8292902375578,0.042173365660767674,0.06248704204335809,,12645975,5,gap_heavy,True,0.9560503998378126,0.7625352921606896
optimized_r0,True,0,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,9.077508000425851e-08,3076.7978130813917,338.4442844299748,0.18708738006324846,0.3406169172376394,,1431344,5,gap_heavy,True,0.9999999999999999,1.0
optimized_r2,True,2,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,9.077508000425851e-08,3076.7978130813917,338.4442844299748,0.18708738006324846,0.8377397079020739,,1431344,5,gap_heavy,True,0.9999999999999999,1.0
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,1.4459034527030373e-07,3010.9020676843393,331.69099960341583,0.1611180426187926,0.048450666945427656,,1431344,5,gap_heavy,True,0.959809640150455,0.8976869613479114
optimized_r0,True,0,True,True,0,,False,1.431570387962401,3.277659616478955e-05,2439.212097320168,601.6124189089569,0.7174758782661869,0.29161933390423656,,10677499,5,high_scatter,True,1.0,1.0
optimized_r2,True,2,True,True,0,,False,1.431570387962401,3.277659616478955e-05,2439.212097320168,601.6124189089569,0.7174758782661869,0.8835565000772476,,10677499,5,high_scatter,True,1.0,1.0
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,3.244480646323726e-05,2298.4187403515325,2264.116994909489,0.9766230495658507,0.06675058277323842,,10677499,5,high_scatter,True,0.5990724395670585,0.9323507771180214
optimized_r0,True,0,True,True,0,,False,1.163292892713869,4.135267467810878e-05,2454.165246956227,400.8247866211078,0.7631568031503865,0.4277836252003908,,2996004,5,high_scatter,True,1.0,0.9999999999999999
optimized_r2,True,2,True,True,0,,False,1.1632929948892965,4.1352659454073955e-05,2454.165246956235,400.8250082170809,0.7631569389960984,1.2553703747689724,,2996004,5,high_scatter,True,0.9999999999999584,0.9999999999999996
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,2.661646497402257e-05,2070.393990472682,3681.7679991491614,0.9947543796565826,0.051163166761398315,,2996004,5,high_scatter,True,0.6100508696124421,0.8658599576790452
optimized_r0,True,0,True,True,0,,False,2.227581077557999,9.875812777578951e-08,3739.445009653452,144.46194609154955,0.24510956089031405,0.25648204190656543,,10718455,5,long_memory,True,1.0,0.9999999999999998
optimized_r2,True,2,True,True,0,,False,2.2274853034430495,9.875299662481407e-08,3739.4450097229546,144.46104578368295,0.2451080080763122,0.8513309173285961,,10718455,5,long_memory,True,0.9999999998625717,0.999999999964838
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,1.2024654627241977e-07,3733.4797606748125,147.42917462632238,0.2675764673225413,0.04984108405187726,,10718455,5,long_memory,True,0.9881184984105325,0.9969031938749794
optimized_r0,True,0,True,True,0,,False,2.024618226863463,7.838702191782224e-06,2787.9303971649188,422.03526080178364,0.31556312685067206,0.28936695912852883,,11245408,5,long_memory,True,0.9999999999999999,0.9999999999999999
optimized_r2,True,2,True,True,0,,False,2.0246048415613886,7.838696424755396e-06,2787.9303971702657,422.03525554075753,0.31555813724258364,0.860163333825767,,11245408,5,long_memory,True,0.9999999999568557,0.9999999999987986
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,9.121957132340832e-06,2762.8579224276273,596.9355646587862,0.667501660823862,0.07098904112353921,,11245408,5,long_memory,True,0.8612712210911362,0.9929264862082813
optimized_r0,True,0,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,4.088170862082579e-08,3919.489094694377,78.38590595567291,0.5184853179529734,0.20142974983900785,,10223890,5,quiet_low_scatter,True,1.0,1.0
optimized_r2,True,2,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,4.088157646367649e-08,3919.489094694515,78.38587611497442,0.5184853576808868,0.5985824577510357,,10223890,5,quiet_low_scatter,True,0.9999999999999336,0.9999999999999589
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,1.71232747555811e-08,3611.8559799180457,103.98470083213661,0.7034298916722362,0.05465433280915022,,10223890,5,quiet_low_scatter,True,0.7801305302176538,0.7033564263172711
optimized_r0,True,0,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,2.6726732927608312e-08,2547.7841986794265,122.10830198460648,0.18513556000146028,0.20990254124626517,,2715763,5,quiet_low_scatter,True,1.0,1.0
optimized_r2,True,2,True,False,1,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value.,True,1.0,2.6726732927608312e-08,2547.7841986794265,122.10830198460648,0.18513556000146028,0.510558667127043,,2715763,5,quiet_low_scatter,True,1.0,1.0
fixed_kernel_3d,False,0,True,True,0,,False,3.0000000000000004,1.3034964294741088e-08,2329.300453813358,115.78630609390054,0.08363188715954639,0.06325579201802611,,2715763,5,quiet_low_scatter,True,0.9232444499786574,0.679933449173372
