case_index,branch,detector,n_attempted_runs,n_successful_runs,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds,n_successful_stars,run_success_rate,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
0,arima,bls,7,7,0.0,0.2857142857142857,5.244787322768974,0.0438981670886278,7,1.0,2.0,2.0,0.0002,0.15
0,arima,tls,7,7,0.42857142857142855,0.42857142857142855,1.576934699554032,9.238268124870956,7,1.0,2.0,2.0,0.0002,0.15
0,arima,trapezoid,7,7,0.0,0.2857142857142857,5.6651376146788985,0.1306731672957539,7,1.0,2.0,2.0,0.0002,0.15
0,gp,bls,10,10,0.1,0.2,1.5988323603002503,0.03634672891348595,10,1.0,2.0,2.0,0.0002,0.15
0,gp,tls,10,10,0.4,0.5,0.4251629123178456,9.412652937462553,10,1.0,2.0,2.0,0.0002,0.15
0,gp,trapezoid,10,10,0.1,0.3,1.1171809841534612,0.14589008316397664,10,1.0,2.0,2.0,0.0002,0.15
0,kalman,bls,10,10,0.0,0.4,2.877397831526272,0.03897633356973525,10,1.0,2.0,2.0,0.0002,0.15
0,kalman,tls,10,10,0.4,0.4,1.275284614168999,9.03468822943978,10,1.0,2.0,2.0,0.0002,0.15
0,kalman,trapezoid,10,10,0.0,0.4,2.8978315262718928,0.15058864559978247,10,1.0,2.0,2.0,0.0002,0.15
0,raw,bls,10,10,0.0,0.1,5.206839032527105,0.035198041936382596,10,1.0,2.0,2.0,0.0002,0.15
0,raw,tls,10,10,0.3,0.3,4.430992741538045,12.30088770785369,10,1.0,2.0,2.0,0.0002,0.15
0,raw,trapezoid,10,10,0.0,0.1,5.20975813177648,0.1411846035625785,10,1.0,2.0,2.0,0.0002,0.15
1,arima,bls,7,7,0.0,0.5714285714285714,1.000417014178482,0.0424175001680851,7,1.0,2.0,4.0,0.0005,0.45
1,arima,tls,7,7,0.5714285714285714,0.5714285714285714,0.0001413596101137,8.6213319581002,7,1.0,2.0,4.0,0.0005,0.45
1,arima,trapezoid,7,7,0.0,0.42857142857142855,5.244787322768974,0.1236704173497855,7,1.0,2.0,4.0,0.0005,0.45
1,gp,bls,10,10,0.3,0.6,0.4854045037531276,0.03593852091580625,10,1.0,2.0,4.0,0.0005,0.45
1,gp,tls,10,10,0.9,0.9,0.00014238051022415,10.918567646062002,10,1.0,2.0,4.0,0.0005,0.45
1,gp,trapezoid,10,10,0.3,0.7,0.4854045037531276,0.14415464620105917,10,1.0,2.0,4.0,0.0005,0.45
1,kalman,bls,10,10,0.1,0.7,1.000417014178482,0.0386839376296848,10,1.0,2.0,4.0,0.0005,0.45
1,kalman,tls,10,10,0.9,0.9,0.00014238051022415,9.172807103954256,10,1.0,2.0,4.0,0.0005,0.45
1,kalman,trapezoid,10,10,0.3,0.7,0.5,0.14747214620001609,10,1.0,2.0,4.0,0.0005,0.45
1,raw,bls,10,10,0.5,0.5,1.274812343619683,0.0351774368900805,10,1.0,2.0,4.0,0.0005,0.45
1,raw,tls,10,10,0.5,0.5,1.6125890207049582,12.860405541490763,10,1.0,2.0,4.0,0.0005,0.45
1,raw,trapezoid,10,10,0.5,0.5,1.274812343619683,0.13326202100142837,10,1.0,2.0,4.0,0.0005,0.45
2,arima,bls,7,7,0.0,0.42857142857142855,1.0005004170141785,0.044208041857928,7,1.0,5.0,2.0,0.0005,0.75
2,arima,tls,7,7,0.42857142857142855,0.42857142857142855,0.0307738798216128,8.803187082987279,7,1.0,5.0,2.0,0.0005,0.75
2,arima,trapezoid,7,7,0.0,0.2857142857142857,1.6660550458715595,0.1266675000078976,7,1.0,5.0,2.0,0.0005,0.75
2,gp,bls,10,10,0.3,0.4,0.30225187656380315,0.0361043545417487,10,1.0,5.0,2.0,0.0005,0.75
2,gp,tls,10,10,0.6,0.6,0.0001405478720263,9.777803791454062,10,1.0,5.0,2.0,0.0005,0.75
2,gp,trapezoid,10,10,0.3,0.4,0.3034195162635529,0.13767087506130335,10,1.0,5.0,2.0,0.0005,0.75
2,kalman,bls,10,10,0.1,0.5,0.9993327773144287,0.03915508370846505,10,1.0,5.0,2.0,0.0005,0.75
2,kalman,tls,10,10,0.7,0.7,0.0001405478720263,8.813876625150442,10,1.0,5.0,2.0,0.0005,0.75
2,kalman,trapezoid,10,10,0.2,0.4,1.0005004170141785,0.1393405422568321,10,1.0,5.0,2.0,0.0005,0.75
2,raw,bls,10,10,0.2,0.2,1.4792326939115927,0.0351807703264057,10,1.0,5.0,2.0,0.0005,0.75
2,raw,tls,10,10,0.5,0.5,0.3450787234303077,12.327932312851772,10,1.0,5.0,2.0,0.0005,0.75
2,raw,trapezoid,10,10,0.2,0.2,1.4792326939115927,0.13043243740685279,10,1.0,5.0,2.0,0.0005,0.75
3,arima,bls,7,7,0.14285714285714285,0.14285714285714285,1.4979149291075895,0.0445661251433193,7,1.0,5.0,8.0,0.0002,0.45
3,arima,tls,7,7,0.14285714285714285,0.14285714285714285,0.8640256129062329,8.888705417048186,7,1.0,5.0,8.0,0.0002,0.45
3,arima,trapezoid,7,7,0.0,0.0,1.848206839032527,0.1314231660217046,7,1.0,5.0,8.0,0.0002,0.45
3,gp,bls,10,10,0.4,0.4,0.14595496246872386,0.03627375024370845,10,1.0,5.0,8.0,0.0002,0.45
3,gp,tls,10,10,0.6,0.6,0.00158497625523225,9.408806333784014,10,1.0,5.0,8.0,0.0002,0.45
3,gp,trapezoid,10,10,0.4,0.4,0.1471226021684737,0.1444975212216377,10,1.0,5.0,8.0,0.0002,0.45
3,kalman,bls,10,10,0.4,0.4,0.5509591326105088,0.038510646205395446,10,1.0,5.0,8.0,0.0002,0.45
3,kalman,tls,10,10,0.4,0.4,0.5703608813872176,8.693436187459156,10,1.0,5.0,8.0,0.0002,0.45
3,kalman,trapezoid,10,10,0.4,0.4,0.5579649708090074,0.1450141461100429,10,1.0,5.0,8.0,0.0002,0.45
3,raw,bls,10,10,0.2,0.3,1.2153461217681403,0.035167749971151296,10,1.0,5.0,8.0,0.0002,0.45
3,raw,tls,10,10,0.2,0.2,1.470918463277905,11.787266729399562,10,1.0,5.0,8.0,0.0002,0.45
3,raw,trapezoid,10,10,0.2,0.2,1.1698081734778982,0.13505533337593076,10,1.0,5.0,8.0,0.0002,0.45
4,arima,bls,7,7,0.14285714285714285,0.14285714285714285,0.2489574645537947,0.0446464582346379,7,1.0,10.0,4.0,0.0002,0.15
4,arima,tls,7,7,0.0,0.0,0.3140031052831499,9.177540083881468,7,1.0,10.0,4.0,0.0002,0.15
4,arima,trapezoid,7,7,0.0,0.0,0.4462885738115096,0.1289148749783635,7,1.0,10.0,4.0,0.0002,0.15
4,gp,bls,10,10,0.2,0.2,0.27731442869057543,0.0366490830201655,10,1.0,10.0,4.0,0.0002,0.15
