case_index,branch,n_attempted_cases,n_successful_cases,median_template_amplitude_ratio,median_amplitude_abs_error,median_peak_depth_ratio,median_peak_depth_abs_error,fraction_peak_depth_within_20pct,median_template_energy_ratio,median_template_correlation,fraction_template_corr_ge_0p8,median_template_rmse_ppm,median_oracle_signal_snr,median_background_scale_ppm,median_abs_background_acf1,n_successful_stars,success_rate,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
0,arima,7,7,0.3207551490869939,0.6792448509130061,0.9695277309803588,0.030472269019641174,1.0,0.7430220786158845,0.5138036839330673,0.0,34.05045073470237,3.915502448026535,453.4832793998815,0.1570162127650282,7,1.0,2.0,2.0,0.0002,0.15
0,gp,10,10,0.9205350388201938,0.07946496117980623,1.0027483742064427,0.002748374206442694,1.0,0.9891325515357217,0.9841320683876797,1.0,13.226287824332637,5.800221054274159,411.4300237114433,0.2803363438704928,10,1.0,2.0,2.0,0.0002,0.15
0,kalman,10,10,0.661053587379311,0.33894641262068903,0.9698549900167839,0.030145009983216065,1.0,0.8703407104227006,0.8017957942203329,0.5,23.50897209246766,5.010709301056283,365.6605773607016,0.03130386259599755,10,1.0,2.0,2.0,0.0002,0.15
0,raw,10,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.6743950501521985,996.633688528552,0.8848374429188581,10,1.0,2.0,2.0,0.0002,0.15
1,arima,7,7,0.1300623315732293,0.8699376684267707,0.9067999749009904,0.0932000250990096,1.0,0.4757016942745885,0.319894037027818,0.0,127.15860496166408,9.087563723102615,453.4832793998815,0.1570162127650282,7,1.0,2.0,4.0,0.0005,0.45
1,gp,10,10,0.8757052245243221,0.12429477547567791,1.0045230782491115,0.009351746277640016,1.0,0.9286640897004101,0.9881863187931725,1.0,43.051948016894045,19.961943888685973,411.4300237114433,0.2803363438704928,10,1.0,2.0,4.0,0.0005,0.45
1,kalman,10,10,0.4259272582665013,0.5740727417334988,0.912175022121988,0.08782497787801208,1.0,0.6973744671908217,0.614532786462323,0.3,103.02995266011156,14.53908137759344,365.6605773607016,0.03130386259599755,10,1.0,2.0,4.0,0.0005,0.45
1,raw,10,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,9.694328911527707,996.633688528552,0.8848374429188581,10,1.0,2.0,4.0,0.0005,0.45
2,arima,7,7,0.310085122643887,0.689914877356113,0.821607670786284,0.17839232921371595,0.8571428571428571,0.7319665995825254,0.522720882583155,0.0,55.39570911352511,6.256490450791163,453.4832793998815,0.1570162127650282,7,1.0,5.0,2.0,0.0005,0.75
2,gp,10,10,0.9214688920912883,0.0785311079087116,0.9977376874124811,0.002745576578132791,1.0,0.9912253422945971,0.9804433000081303,1.0,21.015474460291216,9.346855327161482,411.4300237114433,0.2803363438704928,10,1.0,5.0,2.0,0.0005,0.75
2,kalman,10,10,0.6540269868219892,0.3459730131780108,0.8630521005182231,0.13694789948177688,0.8,0.8646207795745036,0.8102348848310026,0.5,38.31406433068904,8.073417591882318,365.6605773607016,0.03130386259599755,10,1.0,5.0,2.0,0.0005,0.75
2,raw,10,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.337588887068291,996.633688528552,0.8848374429188581,10,1.0,5.0,2.0,0.0005,0.75
3,arima,7,7,0.0549950759148691,0.9450049240851309,0.6689235711816369,0.3310764288183631,0.0,0.3071909760241421,0.2142723925127773,0.0,45.5807009846548,2.084138697857542,453.4832793998815,0.1570162127650282,7,1.0,5.0,8.0,0.0002,0.45
3,gp,10,10,0.7351058685678449,0.2648941314321552,0.841291542051753,0.15870845794824695,1.0,0.8385159160022959,0.9842539970555102,1.0,22.127568373671636,6.528130040765891,411.4300237114433,0.2803363438704928,10,1.0,5.0,8.0,0.0002,0.45
3,kalman,10,10,0.22500780279525415,0.7749921972047458,0.7063481816926358,0.29365181830736425,0.3,0.5043343110203458,0.3905079376013106,0.2,41.22248124870601,4.102342615812056,365.6605773607016,0.03130386259599755,10,1.0,5.0,8.0,0.0002,0.45
3,raw,10,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.442800298852644,996.633688528552,0.8848374429188581,10,1.0,5.0,8.0,0.0002,0.45
4,arima,7,7,0.1408387446551175,0.8591612553448825,0.8576410405030762,0.1423589594969238,1.0,0.4921475376880895,0.2360362751824451,0.0,23.102348410900618,1.7129492200523226,453.4832793998815,0.1570162127650282,7,1.0,10.0,4.0,0.0002,0.15
4,gp,10,10,0.8686957832922012,0.1313042167077988,0.9852910572237672,0.014708942776232803,1.0,0.9275044027341168,0.9827903626885722,1.0,8.262923198411455,3.6216294836000724,411.4300237114433,0.2803363438704928,10,1.0,10.0,4.0,0.0002,0.15
4,kalman,10,10,0.4382248820151826,0.5617751179848174,0.9049602355245604,0.0950397644754396,1.0,0.7024503075937486,0.5537168070598761,0.3,18.508884187105497,2.6683457142337144,365.6605773607016,0.03130386259599755,10,1.0,10.0,4.0,0.0002,0.15
4,raw,10,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.7660969139717646,996.633688528552,0.8848374429188581,10,1.0,10.0,4.0,0.0002,0.15
5,arima,7,7,0.0529149219462086,0.9470850780537914,0.6604040037366355,0.33959599626336445,0.0,0.3043419334738197,0.210851732105132,0.0,80.70782504351816,3.6514977082244817,453.4832793998815,0.1570162127650282,7,1.0,10.0,8.0,0.0005,0.75
