target_id,quarter,sample_stratum,case_index,detector,exact_recovered_branches_all,exact_recovered_branches_clean,harmonic_recovered_branches_clean,lowest_period_error_branch_clean,lowest_period_error_clean,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
10223890,5,quiet_low_scatter,0,bls,,,arima|kalman|gp,arima|kalman|gp,1.000417014178482,2.0,2.0,0.0002,0.15
10223890,5,quiet_low_scatter,0,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,0.0001307346283087,2.0,2.0,0.0002,0.15
10223890,5,quiet_low_scatter,0,trapezoid,,,arima|kalman|gp,arima|kalman|gp,1.000417014178482,2.0,2.0,0.0002,0.15
10223890,5,quiet_low_scatter,1,bls,raw,raw,raw|arima|kalman|gp,raw,0.0020850708924102,2.0,4.0,0.0005,0.45
10223890,5,quiet_low_scatter,1,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,0.0001307346283087,2.0,4.0,0.0005,0.45
10223890,5,quiet_low_scatter,1,trapezoid,raw,raw,raw|arima|kalman|gp,raw,0.0020850708924102,2.0,4.0,0.0005,0.45
10223890,5,quiet_low_scatter,2,bls,raw|gp,raw|gp,raw|arima|kalman|gp,raw|gp,0.0010008340283569,5.0,2.0,0.0005,0.75
10223890,5,quiet_low_scatter,2,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,0.0001079918705189,5.0,2.0,0.0005,0.75
10223890,5,quiet_low_scatter,2,trapezoid,raw|gp,raw|gp,raw|arima|kalman|gp,raw|gp,0.0010008340283569,5.0,2.0,0.0005,0.75
10223890,5,quiet_low_scatter,3,bls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,0.0010008340283569,5.0,8.0,0.0002,0.45
10223890,5,quiet_low_scatter,3,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|kalman|gp,0.0001315281920797,5.0,8.0,0.0002,0.45
10223890,5,quiet_low_scatter,3,trapezoid,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0010008340283569,5.0,8.0,0.0002,0.45
10223890,5,quiet_low_scatter,4,bls,arima|kalman|gp,arima|kalman|gp,arima|kalman|gp,arima|kalman|gp,0.0002502085070892,10.0,4.0,0.0002,0.15
10223890,5,quiet_low_scatter,4,tls,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0002533257985255,10.0,4.0,0.0002,0.15
10223890,5,quiet_low_scatter,4,trapezoid,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,raw|kalman|gp,0.0002502085070892,10.0,4.0,0.0002,0.15
10223890,5,quiet_low_scatter,5,bls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,0.0002502085070892,10.0,8.0,0.0005,0.75
10223890,5,quiet_low_scatter,5,tls,raw|arima|kalman|gp,raw|arima|kalman|gp,raw|arima|kalman|gp,arima,0.0002168010160314,10.0,8.0,0.0005,0.75
