branch,detector,n_successful_runs,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds
arima,bls,60,0.08333333333333333,0.26666666666666666,0.8533778148457045,0.04341931245289743
arima,tls,60,0.2833333333333333,0.3,0.4197173306212523,9.024018583120778
arima,trapezoid,60,0.03333333333333333,0.16666666666666666,1.000417014178482,0.1331978749949485
gp,bls,60,0.3,0.4,0.3798165137614679,0.03601162554696202
gp,tls,60,0.5333333333333333,0.5666666666666667,0.0009013645750643563,9.682265729410574
gp,trapezoid,60,0.3,0.43333333333333335,0.379232693911593,0.14331468753516674
kalman,bls,60,0.25,0.48333333333333334,0.5,0.03882097941823304
kalman,tls,60,0.5333333333333333,0.5333333333333333,0.0004924099674207038,8.969384208554402
kalman,trapezoid,60,0.3,0.4666666666666667,0.4451209341117597,0.1457612921949476
raw,bls,60,0.26666666666666666,0.3,0.5213511259382819,0.03513243771158159
raw,tls,60,0.36666666666666664,0.36666666666666664,0.42158403729468086,12.368337583029643
raw,trapezoid,60,0.2833333333333333,0.3,0.49416180150125105,0.13467443687841296
