target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,period_ratio,period_pattern,max_ses_to_mes_ratio,event_support_fraction,single_event_dominance_flag,recovered_period_cluster,high_mes_failure_threshold
11245408,5,long_memory,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.41075664422385,4.0,0.0005,0.45,True,,2.94253187533468,445.6971814974859,9.808439584448934,416.230433822716,389.1357916654816,7,32,0.21875,144,20,0.47126593766734,False,False,0.4027530420571565,db6,43,686,7,0.0209786416735582,0.0004999922492162,419,1.47126593766734,3P/2,0.9349047067308519,0.21875,True,0,113.42707423797124
11245408,5,long_memory,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7607566442239,8.0,0.0002,0.45,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.35259185481743,389.1357916654816,7,32,0.21875,144,20,0.4114936249330639,False,False,0.3994145421311259,db6,43,686,7,0.0132623429138476,0.0001999998703731,305,0.588506375066936,unrelated,0.9414136970070298,0.21875,True,0,113.42707423797124
11245408,5,long_memory,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.0107566442239,4.0,0.0002,0.15,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.1595254725725,389.1357916654816,7,32,0.21875,144,20,0.705746812466532,False,False,0.3996656253002584,db6,43,686,7,0.0132676444047126,0.000199998555005,85,0.294253187533468,unrelated,0.9418536126460777,0.21875,True,0,113.42707423797124
11245408,5,long_memory,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2607566442239,2.0,0.0005,0.75,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.15115782015494,389.1357916654816,7,32,0.21875,144,20,0.4114936249330639,False,False,0.4003947088494897,db6,43,686,7,0.0210136528879262,0.0004999940281266,97,0.588506375066936,unrelated,0.9418726882398638,0.21875,True,0,113.42707423797124
11245408,5,long_memory,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.0107566442239,8.0,0.0005,0.75,True,,2.94253187533468,445.6971814974859,9.808439584448934,413.1107775324223,389.1357916654816,7,32,0.21875,144,20,0.705746812466532,False,False,0.3988520000129938,db6,43,686,7,0.0209698319255802,0.0004999991226549,154,0.294253187533468,unrelated,0.9419647533522433,0.21875,True,0,113.42707423797124
11245408,5,long_memory,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8107566442239,2.0,0.0002,0.15,True,,2.94253187533468,445.6971814974859,9.808439584448934,412.6069623117489,388.5734626239297,7,32,0.21875,144,20,0.47126593766734,False,False,0.4017428746446967,db6,43,686,7,0.0132896963928368,0.0001999772331097,225,1.47126593766734,3P/2,0.9417520742908345,0.21875,True,0,113.42707423797124
10718455,5,long_memory,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2611347903221,2.0,0.0005,0.75,True,,8.316728763566061,443.8994437747133,9.808427043026311,139.08976807451398,115.93768579769583,6,12,0.5,407,20,0.6633457527132123,False,False,0.3994694580323994,db6,43,686,7,0.0210136527643199,0.0004999966060073,97,1.6633457527132123,unrelated,0.8335457553972268,0.5,True,0,113.42707423797124
10718455,5,long_memory,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.0111347903221,8.0,0.0005,0.75,True,,8.357597209578671,444.0016148897448,9.808427043026311,138.39522118060933,94.84068526212472,8,12,0.6666666666666666,409,20,0.1642402790421329,False,False,0.398973916657269,db6,43,686,7,0.0209698319182679,0.0004999989464818,154,0.8357597209578671,unrelated,0.6852887292860725,0.6666666666666666,False,0,113.42707423797124
10718455,5,long_memory,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7611347903221,8.0,0.0002,0.45,True,,8.357597209578671,443.9198779977196,9.808427043026311,125.56238018217778,94.84068526212472,9,12,0.75,409,20,0.6715194419157342,False,False,0.3996154167689383,db6,43,686,7,0.0132623429092422,0.00019999980675,305,1.6715194419157342,unrelated,0.7553272335592945,0.75,False,0,113.42707423797124
10718455,5,long_memory,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8111347903221,2.0,0.0002,0.15,True,,8.296294540559757,443.9198779977196,9.808427043026311,123.74745704874444,95.35217254215496,7,12,0.5833333333333334,406,20,3.1481472702798783,False,False,0.4004854578524828,db6,43,686,7,0.0132896963156979,0.0001999777204589,225,4.148147270279878,unrelated,0.7705384402735282,0.5833333333333334,False,0,113.42707423797124
10718455,5,long_memory,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.0111347903221,4.0,0.0002,0.15,True,,8.296294540559757,443.9198779977196,9.808427043026311,123.21022647357763,94.84068526212472,7,12,0.5833333333333334,406,20,0.1703705459440243,False,False,0.3998270421288907,db6,43,686,7,0.0132676443863691,0.000199998658407,85,0.8296294540559757,unrelated,0.7697468625501087,0.5833333333333334,False,0,113.42707423797124
10718455,5,long_memory,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.4111347903221,4.0,0.0005,0.45,True,,8.296294540559757,443.9198779977196,9.808427043026311,121.07058770820224,92.41432722203818,7,12,0.5833333333333334,406,20,3.1481472702798783,False,False,0.4001789167523384,db6,43,686,7,0.020978641643405,0.0004999924604053,418,4.148147270279878,unrelated,0.7633094789691628,0.5833333333333334,False,0,113.42707423797124
