method,score_name,fap_level,score_threshold,successful_null_trials,requested_null_trials,success_fraction,observed_null_exceedance_fraction,null_score_median,null_score_max,target_id,quarter,sample_stratum
tps_like_raw_top1,raw_top1_mes,0.01,276.4582325664151,100,100,1.0,0.01,128.97270235224917,276.4582325664151,10718455,5,long_memory
tps_like_event_consistency_hardened,event_consistency_score,0.01,191.0086201394052,100,100,1.0,0.01,71.51210526385384,191.0086201394052,10718455,5,long_memory
tps_like_raw_top1,raw_top1_mes,0.01,64.59926405062633,100,100,1.0,0.01,32.93188218283971,64.59926405062633,12645975,5,gap_heavy
tps_like_event_consistency_hardened,event_consistency_score,0.01,51.87024903258134,100,100,1.0,0.01,25.063511544104188,51.87024903258134,12645975,5,gap_heavy
tps_like_raw_top1,raw_top1_mes,0.01,115.51356235887292,100,100,1.0,0.01,47.42396859113692,115.51356235887292,2715763,5,quiet_low_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,79.58711192054024,100,100,1.0,0.01,35.533555972039466,79.58711192054024,2715763,5,quiet_low_scatter
tps_like_raw_top1,raw_top1_mes,0.01,122.31882622854027,100,100,1.0,0.01,65.70281053424796,122.31882622854027,1431344,5,gap_heavy
tps_like_event_consistency_hardened,event_consistency_score,0.01,98.78636198738378,100,100,1.0,0.01,50.23151180423473,98.78636198738378,1431344,5,gap_heavy
tps_like_raw_top1,raw_top1_mes,0.01,284.30079421952524,100,100,1.0,0.01,196.45849149877594,284.30079421952524,10677499,5,high_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,224.7929701590781,100,100,1.0,0.01,111.44719276063495,224.7929701590781,10677499,5,high_scatter
tps_like_raw_top1,raw_top1_mes,0.01,151.75015026764157,100,100,1.0,0.01,56.771613049142424,151.75015026764157,10223890,5,quiet_low_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,124.86798544858092,100,100,1.0,0.01,33.212838425602456,124.86798544858092,10223890,5,quiet_low_scatter
tps_like_raw_top1,raw_top1_mes,0.01,1324.993445080567,100,100,1.0,0.01,554.6112764073523,1324.993445080567,11245408,5,long_memory
tps_like_event_consistency_hardened,event_consistency_score,0.01,890.0902589598549,100,100,1.0,0.01,0.0,890.0902589598549,11245408,5,long_memory
tps_like_raw_top1,raw_top1_mes,0.01,1037.7554349203942,100,100,1.0,0.01,384.1785188523565,1037.7554349203942,2996004,5,high_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,786.227170394622,100,100,1.0,0.01,202.44774357758905,786.227170394622,2996004,5,high_scatter
tps_like_raw_top1,raw_top1_mes,0.01,112.0806431964083,100,100,1.0,0.01,56.54618253229585,112.0806431964083,11450313,5,smooth_background_dominant
tps_like_event_consistency_hardened,event_consistency_score,0.01,92.0453369552804,100,100,1.0,0.01,40.381562823571954,92.0453369552804,11450313,5,smooth_background_dominant
tps_like_raw_top1,raw_top1_mes,0.01,330.38879316537,100,100,1.0,0.01,196.71238756247124,330.38879316537,11666946,5,smooth_background_dominant
tps_like_event_consistency_hardened,event_consistency_score,0.01,271.45611822217575,100,100,1.0,0.01,137.52018928283906,271.45611822217575,11666946,5,smooth_background_dominant
