period_cadences,period_days,duration_cadences,duration_hours,epoch_phase_cadence,mes,observed_event_count,expected_event_count,observability_fraction
409,8.357597209578671,20,9.808427043026313,21,125.56238018217778,9,12,0.75
408,8.337162986572366,20,9.808427043026313,27,123.78750975562302,8,12,0.6666666666666666
405,8.275860317553452,20,9.808427043026313,24,120.84323056439925,7,12,0.5833333333333334
406,8.296294540559757,20,9.808427043026313,21,120.59654442806921,7,12,0.5833333333333334
410,8.378031432584976,20,9.808427043026313,5,120.37198373030385,7,12,0.5833333333333334
411,8.39846565559128,20,9.808427043026313,0,119.39802274011316,7,12,0.5833333333333334
407,8.316728763566061,20,9.808427043026313,17,118.33818340010698,7,12,0.5833333333333334
408,8.337162986572366,16,7.8467416344210505,27,118.09908591314934,8,12,0.6666666666666666
409,8.357597209578671,16,7.8467416344210505,21,117.94193293810078,9,12,0.75
204,4.168581493286183,20,9.808427043026313,27,117.07264075490046,14,23,0.6086956521739131
394,8.051083864484099,20,9.808427043026313,85,116.70047644421577,4,12,0.3333333333333333
389,7.948912749452575,20,9.808427043026313,105,116.38870482003009,3,12,0.25
404,8.255426094547147,20,9.808427043026313,27,116.34727231310015,8,12,0.6666666666666666
412,8.418899878597585,20,9.808427043026313,406,114.9140766886108,7,11,0.6363636363636364
393,8.030649641477794,20,9.808427043026313,89,114.51953396969758,4,12,0.3333333333333333
395,8.071518087490404,20,9.808427043026313,81,114.39578299373866,5,12,0.4166666666666667
397,8.112386533503013,20,9.808427043026313,57,114.24015898155368,4,12,0.3333333333333333
394,8.051083864484099,16,7.8467416344210505,88,113.61445700005486,4,12,0.3333333333333333
398,8.132820756509318,20,9.808427043026313,53,113.36991266251253,4,12,0.3333333333333333
205,4.189015716292488,20,9.808427043026313,9,113.08623000833612,14,23,0.6086956521739131
395,8.071518087490404,16,7.8467416344210505,82,112.83953257664118,4,12,0.3333333333333333
396,8.091952310496708,20,9.808427043026313,77,112.58689803434683,5,12,0.4166666666666667
389,7.948912749452575,16,7.8467416344210505,105,112.43076032915985,3,12,0.25
393,8.030649641477794,16,7.8467416344210505,91,111.54955119005037,4,12,0.3333333333333333
390,7.9693469724588795,20,9.808427043026313,101,111.50477568161914,3,12,0.25
388,7.92847852644627,16,7.8467416344210505,112,111.32035705857932,3,12,0.25
399,8.153254979515623,20,9.808427043026313,49,110.96358948715844,4,12,0.3333333333333333
407,8.316728763566061,16,7.8467416344210505,36,110.95802923770405,7,12,0.5833333333333334
405,8.275860317553452,16,7.8467416344210505,22,110.90013906834743,7,12,0.5833333333333334
410,8.378031432584976,16,7.8467416344210505,5,110.77720489250206,8,12,0.6666666666666666
202,4.1277130472735735,20,9.808427043026313,24,110.5418988945694,14,23,0.6086956521739131
391,7.989781195465184,20,9.808427043026313,95,110.38119995544837,4,12,0.3333333333333333
203,4.148147270279878,20,9.808427043026313,21,110.23058784037197,14,23,0.6086956521739131
571,11.667941336600052,20,9.808427043026313,519,110.19701515594828,3,8,0.375
191,3.9029365942042205,20,9.808427043026313,127,110.15186532327677,11,24,0.4583333333333333
406,8.296294540559757,16,7.8467416344210505,21,109.94707723513008,7,12,0.5833333333333334
204,4.168581493286183,16,7.8467416344210505,27,109.86231605715618,14,23,0.6086956521739131
413,8.43933410160389,20,9.808427043026313,397,109.76917304728849,6,11,0.5454545454545454
572,11.688375559606357,20,9.808427043026313,517,109.69131944413117,3,8,0.375
411,8.39846565559128,16,7.8467416344210505,410,109.44262928353575,8,11,0.7272727272727273
409,8.357597209578671,12,5.885056225815788,21,109.36940045217321,9,12,0.75
408,8.337162986572366,12,5.885056225815788,27,109.36477015050335,8,12,0.6666666666666666
571,11.667941336600052,16,7.8467416344210505,521,109.23940652819068,3,8,0.375
390,7.9693469724588795,16,7.8467416344210505,103,109.19165296687285,3,12,0.25
570,11.647507113593747,16,7.8467416344210505,524,109.01384980931654,3,8,0.375
403,8.234991871540842,20,9.808427043026313,27,108.6444349135058,8,12,0.6666666666666666
570,11.647507113593747,20,9.808427043026313,521,108.39951778482971,4,8,0.5
394,8.051083864484099,12,5.885056225815788,88,108.18572204121764,4,12,0.3333333333333333
190,3.8825023711979156,20,9.808427043026313,139,107.97346932938596,14,24,0.5833333333333334
400,8.173689202521928,20,9.808427043026313,43,107.91190206598131,4,12,0.3333333333333333
392,8.010215418471489,20,9.808427043026313,93,107.77187301580626,5,12,0.4166666666666667
143,2.922093889901589,16,7.8467416344210505,91,107.66734537797528,6,32,0.1875
388,7.92847852644627,12,5.885056225815788,110,107.66603580394887,3,12,0.25
395,8.071518087490404,12,5.885056225815788,84,107.52609618122047,4,12,0.3333333333333333
391,7.989781195465184,16,7.8467416344210505,95,107.3872940381209,4,12,0.3333333333333333
404,8.255426094547147,16,7.8467416344210505,27,107.19607733467447,8,12,0.6666666666666666
192,3.9233708172105253,20,9.808427043026313,109,107.03452935602179,12,24,0.5
396,8.091952310496708,16,7.8467416344210505,76,107.03328965924895,5,12,0.4166666666666667
573,11.708809782612661,20,9.808427043026313,515,107.02177133688929,3,8,0.375
401,8.194123425528232,20,9.808427043026313,57,106.93979480745647,5,12,0.4166666666666667
389,7.948912749452575,12,5.885056225815788,105,106.91749649949685,3,12,0.25
125,2.5542778757881024,20,9.808427043026313,20,106.83636502143821,19,37,0.5135135135135135
206,4.209449939298793,20,9.808427043026313,198,106.73251674027375,14,22,0.6363636363636364
397,8.112386533503013,16,7.8467416344210505,57,106.66568745483845,4,12,0.3333333333333333
412,8.418899878597585,16,7.8467416344210505,402,106.42234435858198,7,11,0.6363636363636364
572,11.688375559606357,16,7.8467416344210505,518,106.38834621580514,3,8,0.375
398,8.132820756509318,16,7.8467416344210505,53,106.28302891071249,4,12,0.3333333333333333
197,4.025541932242049,20,9.808427043026313,83,105.86558952637525,13,24,0.5416666666666666
393,8.030649641477794,12,5.885056225815788,91,105.81801357669663,4,12,0.3333333333333333
571,11.667941336600052,12,5.885056225815788,522,105.68733192552612,3,8,0.375
570,11.647507113593747,12,5.885056225815788,524,105.61347714473979,3,8,0.375
286,5.844187779803178,16,7.8467416344210505,233,105.45128915524772,4,16,0.25
390,7.9693469724588795,12,5.885056225815788,103,105.3514440541645,3,12,0.25
402,8.214557648534537,20,9.808427043026313,53,105.32546855274728,5,12,0.4166666666666667
569,11.627072890587442,16,7.8467416344210505,526,105.260560183713,4,8,0.5
392,8.010215418471489,16,7.8467416344210505,96,105.16023447923169,4,12,0.3333333333333333
387,7.908044303439965,20,9.808427043026313,97,105.11783968052686,6,12,0.5
407,8.316728763566061,12,5.885056225815788,36,104.8735629482951,7,12,0.5833333333333334
201,4.107278824267269,20,9.808427043026313,27,104.79404643192422,13,23,0.5652173913043478
196,4.0051077092357446,20,9.808427043026313,93,104.57781449345842,14,24,0.5833333333333334
492,10.053637719101971,16,7.8467416344210505,187,104.2921903271716,5,10,0.5
491,10.033203496095666,16,7.8467416344210505,191,104.21825835767771,5,10,0.5
386,7.88761008043366,20,9.808427043026313,101,104.04025433633886,6,12,0.5
574,11.729244005618966,20,9.808427043026313,497,103.76672217056267,5,8,0.625
391,7.989781195465184,12,5.885056225815788,95,103.68869688831144,4,12,0.3333333333333333
200,4.086844601260964,20,9.808427043026313,38,103.47851745023424,10,23,0.43478260869565216
490,10.012769273089361,20,9.808427043026313,191,103.4774144421989,4,10,0.4
492,10.053637719101971,20,9.808427043026313,185,103.33251278982296,6,10,0.6
575,11.749678228625271,20,9.808427043026313,495,103.29593334208363,4,8,0.5
388,7.92847852644627,20,9.808427043026313,91,103.085085150414,7,12,0.5833333333333334
490,10.012769273089361,16,7.8467416344210505,192,103.00468725164306,5,10,0.5
399,8.153254979515623,16,7.8467416344210505,49,102.98714056183687,4,12,0.3333333333333333
489,9.992335050083057,16,7.8467416344210505,197,102.98025194333586,5,10,0.5
385,7.867175857427355,20,9.808427043026313,105,102.76552999951795,7,12,0.5833333333333334
573,11.708809782612661,16,7.8467416344210505,515,102.6926471698507,3,8,0.375
