method,score_name,fap_level,score_threshold,successful_null_trials,requested_null_trials,success_fraction,observed_null_exceedance_fraction,null_score_median,null_score_max,target_id,quarter,sample_stratum
tps_like_raw_top1,raw_top1_mes,0.01,1037.7554349203942,100,100,1.0,0.01,384.1785188523565,1037.7554349203942,2996004,5,high_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,831.0611152178072,100,100,1.0,0.01,288.61440677182475,831.0611152178072,2996004,5,high_scatter
tps_like_raw_top1,raw_top1_mes,0.01,284.30079421952524,100,100,1.0,0.01,196.45849149877594,284.30079421952524,10677499,5,high_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,228.61829440044926,100,100,1.0,0.01,147.54038632964136,228.61829440044926,10677499,5,high_scatter
tps_like_raw_top1,raw_top1_mes,0.01,64.59926405062633,100,100,1.0,0.01,32.93188218283971,64.59926405062633,12645975,5,gap_heavy
tps_like_event_consistency_hardened,event_consistency_score,0.01,53.335255280827056,100,100,1.0,0.01,27.272069465694432,53.335255280827056,12645975,5,gap_heavy
tps_like_raw_top1,raw_top1_mes,0.01,151.75015026764157,100,100,1.0,0.01,56.771613049142424,151.75015026764157,10223890,5,quiet_low_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,128.52886452243305,100,100,1.0,0.01,46.71400501045393,128.52886452243305,10223890,5,quiet_low_scatter
tps_like_raw_top1,raw_top1_mes,0.01,122.31882622854027,100,100,1.0,0.01,65.70281053424796,122.31882622854027,1431344,5,gap_heavy
tps_like_event_consistency_hardened,event_consistency_score,0.01,98.72975089439429,100,100,1.0,0.01,54.7772507340614,98.72975089439429,1431344,5,gap_heavy
tps_like_raw_top1,raw_top1_mes,0.01,1324.993445080567,100,100,1.0,0.01,554.6112764073523,1324.993445080567,11245408,5,long_memory
tps_like_event_consistency_hardened,event_consistency_score,0.01,1098.4134340818355,100,100,1.0,0.01,458.9022410798183,1098.4134340818355,11245408,5,long_memory
tps_like_raw_top1,raw_top1_mes,0.01,276.4582325664151,100,100,1.0,0.01,128.97270235224917,276.4582325664151,10718455,5,long_memory
tps_like_event_consistency_hardened,event_consistency_score,0.01,243.04627798794044,100,100,1.0,0.01,100.86279866892967,243.04627798794044,10718455,5,long_memory
tps_like_raw_top1,raw_top1_mes,0.01,115.51356235887292,100,100,1.0,0.01,47.42396859113692,115.51356235887292,2715763,5,quiet_low_scatter
tps_like_event_consistency_hardened,event_consistency_score,0.01,93.76531595817453,100,100,1.0,0.01,39.314763509824644,93.76531595817453,2715763,5,quiet_low_scatter
tps_like_raw_top1,raw_top1_mes,0.01,112.0806431964083,100,100,1.0,0.01,56.54618253229585,112.0806431964083,11450313,5,smooth_background_dominant
tps_like_event_consistency_hardened,event_consistency_score,0.01,93.07523840803768,100,100,1.0,0.01,44.33149976799787,93.07523840803768,11450313,5,smooth_background_dominant
tps_like_raw_top1,raw_top1_mes,0.01,330.38879316537,100,100,1.0,0.01,196.71238756247124,330.38879316537,11666946,5,smooth_background_dominant
tps_like_event_consistency_hardened,event_consistency_score,0.01,272.7191911114864,100,100,1.0,0.01,156.74045575567555,272.7191911114864,11666946,5,smooth_background_dominant
