period_cadences,period_days,duration_cadences,duration_hours,epoch_phase_cadence,mes,observed_event_count,expected_event_count,observability_fraction
245,5.006368391623255,12,5.885037129744887,120,44.11788644910206,11,19,0.5789473684210527
245,5.006368391623255,16,7.846716172993183,121,43.76511771953313,11,19,0.5789473684210527
245,5.006368391623255,8,3.9233580864965916,120,42.77702058839793,12,19,0.631578947368421
490,10.01273678324651,12,5.885037129744887,366,42.72243640895231,6,9,0.6666666666666666
245,5.006368391623255,20,9.808395216241479,121,42.40893270402813,10,19,0.5263157894736842
490,10.01273678324651,8,3.9233580864965916,366,42.33430484837203,6,9,0.6666666666666666
490,10.01273678324651,16,7.846716172993183,366,42.02230865342619,6,9,0.6666666666666666
489,9.992302626546007,12,5.885037129744887,371,41.74897198663486,5,9,0.5555555555555556
489,9.992302626546007,16,7.846716172993183,371,41.73017574909642,5,9,0.5555555555555556
244,4.985934234922752,20,9.808395216241479,130,41.51703908498456,12,19,0.631578947368421
245,5.006368391623255,6,2.9425185648724437,120,41.49965627346657,12,19,0.631578947368421
490,10.01273678324651,6,2.9425185648724437,366,41.442122686001404,6,9,0.6666666666666666
244,4.985934234922752,16,7.846716172993183,130,41.32907823263889,12,19,0.631578947368421
491,10.033170939947013,12,5.885037129744887,360,40.78057886426233,6,9,0.6666666666666666
488,9.971868469845504,16,7.846716172993183,376,40.758857994435715,6,9,0.6666666666666666
489,9.992302626546007,20,9.808395216241479,371,40.750982343478945,5,9,0.5555555555555556
244,4.985934234922752,12,5.885037129744887,130,40.58392457549662,12,19,0.631578947368421
490,10.01273678324651,20,9.808395216241479,366,40.53155864100528,5,9,0.5555555555555556
489,9.992302626546007,8,3.9233580864965916,371,40.530073427398996,5,9,0.5555555555555556
491,10.033170939947013,16,7.846716172993183,360,40.29376330554514,6,9,0.6666666666666666
491,10.033170939947013,8,3.9233580864965916,360,40.083196144964795,6,9,0.6666666666666666
490,10.01273678324651,4,1.9616790432482958,366,39.90708647966034,6,9,0.6666666666666666
488,9.971868469845504,20,9.808395216241479,376,39.84090685444248,6,9,0.6666666666666666
488,9.971868469845504,12,5.885037129744887,376,39.78590103842781,6,9,0.6666666666666666
489,9.992302626546007,6,2.9425185648724437,371,39.71296797366734,5,9,0.5555555555555556
491,10.033170939947013,20,9.808395216241479,360,39.68415611842689,6,9,0.6666666666666666
245,5.006368391623255,4,1.9616790432482958,121,39.14381169162884,12,19,0.631578947368421
491,10.033170939947013,6,2.9425185648724437,360,38.88591130711479,6,9,0.6666666666666666
490,10.01273678324651,3,1.4712592824362218,365,38.7938334265274,6,9,0.6666666666666666
489,9.992302626546007,4,1.9616790432482958,370,38.6627989872446,5,9,0.5555555555555556
244,4.985934234922752,8,3.9233580864965916,130,38.47986082558833,12,19,0.631578947368421
246,5.026802548323758,20,9.808395216241479,107,38.42967527979434,11,19,0.5789473684210527
488,9.971868469845504,8,3.9233580864965916,375,38.410113967256876,6,9,0.6666666666666666
246,5.026802548323758,16,7.846716172993183,107,38.131379189789854,11,19,0.5789473684210527
492,10.053605096647516,20,9.808395216241479,353,37.724715285620384,6,9,0.6666666666666666
492,10.053605096647516,16,7.846716172993183,353,37.6873056602935,6,9,0.6666666666666666
487,9.951434313145,20,9.808395216241479,381,37.674762109381874,6,9,0.6666666666666666
489,9.992302626546007,3,1.4712592824362218,370,37.668323970932015,5,9,0.5555555555555556
488,9.971868469845504,6,2.9425185648724437,376,37.569743505851235,6,9,0.6666666666666666
487,9.951434313145,16,7.846716172993183,381,37.434335882372196,6,9,0.6666666666666666
487,9.951434313145,12,5.885037129744887,381,37.307708551429926,6,9,0.6666666666666666
