method,score_name,fap_level,score_threshold,successful_null_trials,requested_null_trials,success_fraction,observed_null_exceedance_fraction,null_score_median,null_score_max,target_id,quarter,sample_stratum
tps_like_raw_top1,raw_top1_mes,0.01,302.12117563918946,1000,1000,1.0,0.01,195.67148088012135,329.8882727969134,10677499,5,high_scatter
tps_like_chi2_robust_hardened,robust_veto_score,0.01,287.39500707057357,1000,1000,1.0,0.01,179.03284182513977,305.3457562932871,10677499,5,high_scatter
tps_like_raw_top1,raw_top1_mes,0.01,258.3293041333198,1000,1000,1.0,0.01,128.6655256242126,300.21294688358114,10718455,5,long_memory
tps_like_chi2_robust_hardened,robust_veto_score,0.01,246.85494546041707,1000,1000,1.0,0.01,119.39080144584801,298.9658190841463,10718455,5,long_memory
tps_like_raw_top1,raw_top1_mes,0.01,846.9163533968087,1000,1000,1.0,0.01,386.7054997754383,1102.225285142684,2996004,5,high_scatter
tps_like_chi2_robust_hardened,robust_veto_score,0.01,780.0954082562862,1000,1000,1.0,0.01,350.78872167350033,1084.0723945244251,2996004,5,high_scatter
tps_like_raw_top1,raw_top1_mes,0.01,56.212253970920614,1000,1000,1.0,0.01,33.06865036756547,64.59926405062633,12645975,5,gap_heavy
tps_like_chi2_robust_hardened,robust_veto_score,0.01,55.664616924918086,1000,1000,1.0,0.01,31.84498619057012,62.34724683743858,12645975,5,gap_heavy
tps_like_raw_top1,raw_top1_mes,0.01,158.02826422066033,1000,1000,1.0,0.01,55.92604306212293,205.43221971531273,10223890,5,quiet_low_scatter
tps_like_chi2_robust_hardened,robust_veto_score,0.01,152.29220905627125,1000,1000,1.0,0.01,52.454315223821084,205.43221971531273,10223890,5,quiet_low_scatter
tps_like_raw_top1,raw_top1_mes,0.01,1328.3355370244255,1000,1000,1.0,0.01,532.2213232368848,1406.9606506067817,11245408,5,long_memory
tps_like_chi2_robust_hardened,robust_veto_score,0.01,1296.1262434192704,1000,1000,1.0,0.01,499.9390492159391,1390.6440443926801,11245408,5,long_memory
tps_like_raw_top1,raw_top1_mes,0.01,132.4573023528159,1000,1000,1.0,0.01,65.68027132419897,154.01098472958304,1431344,5,gap_heavy
tps_like_chi2_robust_hardened,robust_veto_score,0.01,128.64742258659578,1000,1000,1.0,0.01,63.764598143943644,154.01098472958304,1431344,5,gap_heavy
tps_like_raw_top1,raw_top1_mes,0.01,102.97115441659925,1000,1000,1.0,0.01,46.9717324939935,154.9674156903254,2715763,5,quiet_low_scatter
tps_like_chi2_robust_hardened,robust_veto_score,0.01,101.78915711646715,1000,1000,1.0,0.01,44.79728903193471,137.70021075917685,2715763,5,quiet_low_scatter
tps_like_raw_top1,raw_top1_mes,0.01,108.48187811882003,1000,1000,1.0,0.01,54.8827954713179,149.32582512098426,11450313,5,smooth_background_dominant
tps_like_chi2_robust_hardened,robust_veto_score,0.01,101.60251762679009,1000,1000,1.0,0.01,52.95957844039111,143.09244086677154,11450313,5,smooth_background_dominant
tps_like_raw_top1,raw_top1_mes,0.01,330.38879316537,1000,1000,1.0,0.01,190.86263474352106,374.7522540581401,11666946,5,smooth_background_dominant
tps_like_chi2_robust_hardened,robust_veto_score,0.01,316.11953075500986,1000,1000,1.0,0.01,183.17412872319946,355.61667290184346,11666946,5,smooth_background_dominant
