period_cadences,period_days,duration_cadences,duration_hours,epoch_phase_cadence,mes,observed_event_count,expected_event_count,observability_fraction
98,2.002547356649302,8,3.9233580864965916,42,47.150376009348356,27,47,0.574468085106383
98,2.002547356649302,6,2.9425185648724437,42,46.13420576975365,27,47,0.574468085106383
98,2.002547356649302,12,5.885037129744887,42,45.539822808003294,27,47,0.574468085106383
98,2.002547356649302,4,1.9616790432482958,42,43.64503715798519,27,47,0.574468085106383
98,2.002547356649302,16,7.846716172993183,44,41.921730961113774,28,47,0.5957446808510638
98,2.002547356649302,3,1.4712592824362218,42,41.91168069476098,27,47,0.574468085106383
98,2.002547356649302,20,9.808395216241479,44,40.54623399617078,25,47,0.5319148936170213
196,4.005094713298604,12,5.885037129744887,142,40.29676460140355,15,23,0.6521739130434783
196,4.005094713298604,8,3.9233580864965916,142,39.63331163021489,15,23,0.6521739130434783
49,1.001273678324651,8,3.9233580864965916,44,38.31762729107317,54,94,0.574468085106383
196,4.005094713298604,6,2.9425185648724437,140,38.224065674508424,14,23,0.6086956521739131
196,4.005094713298604,16,7.846716172993183,142,38.02976047430161,15,23,0.6521739130434783
196,4.005094713298604,20,9.808395216241479,143,37.94482497053757,15,23,0.6521739130434783
49,1.001273678324651,12,5.885037129744887,44,37.83864198758218,54,94,0.574468085106383
49,1.001273678324651,6,2.9425185648724437,44,37.74092896891937,54,94,0.574468085106383
49,1.001273678324651,20,9.808395216241479,45,36.44733467786308,48,94,0.5106382978723404
49,1.001273678324651,16,7.846716172993183,45,36.248247020367344,55,94,0.5851063829787234
196,4.005094713298604,4,1.9616790432482958,139,36.13750083005871,14,23,0.6086956521739131
49,1.001273678324651,4,1.9616790432482958,44,35.98565243262108,54,94,0.574468085106383
196,4.005094713298604,3,1.4712592824362218,139,34.50314790389434,14,23,0.6086956521739131
49,1.001273678324651,3,1.4712592824362218,44,33.31438590596079,54,94,0.574468085106383
197,4.025528869999107,20,9.808395216241479,27,32.60212143122848,13,24,0.5416666666666666
99,2.022981513349805,20,9.808395216241479,22,32.54477894271416,26,47,0.5531914893617021
197,4.025528869999107,16,7.846716172993183,27,32.07307812698823,14,24,0.5833333333333334
294,6.007642069947906,8,3.9233580864965916,141,32.041558755574435,10,16,0.625
294,6.007642069947906,6,2.9425185648724437,140,31.72844980828706,10,16,0.625
490,10.01273678324651,12,5.885037129744887,339,31.656383596592708,8,9,0.8888888888888888
392,8.010189426597208,8,3.9233580864965916,338,31.409546917251408,8,11,0.7272727272727273
392,8.010189426597208,12,5.885037129744887,338,31.30646741882081,8,11,0.7272727272727273
493,10.074039253348019,20,9.808395216241479,125,31.305514118892916,6,10,0.6
