pipeline,branch,detector,n_cases,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds
arima_bls,arima,bls,60,0.08333333333333333,0.26666666666666666,0.8533778148457045,0.0434193124528974
arima_tls,arima,tls,60,0.2833333333333333,0.3,0.4197173306212523,9.024018583120778
arima_trapezoid,arima,trapezoid,60,0.03333333333333333,0.16666666666666666,1.000417014178482,0.13319787499494845
gp_bls,gp,bls,60,0.3,0.4,0.3798165137614679,0.03601162554696195
gp_tls,gp,tls,60,0.5333333333333333,0.5666666666666667,0.0009013645750643,9.682265729410574
gp_trapezoid,gp,trapezoid,60,0.3,0.43333333333333335,0.379232693911593,0.14331468753516668
kalman_bls,kalman,bls,60,0.25,0.48333333333333334,0.5,0.038820979418232995
kalman_tls,kalman,tls,60,0.5333333333333333,0.5333333333333333,0.00049240996742065,8.969384208554402
kalman_trapezoid,kalman,trapezoid,60,0.3,0.4666666666666667,0.4451209341117597,0.14576129219494754
raw_bls,raw,bls,60,0.26666666666666666,0.3,0.5213511259382819,0.035132437711581546
raw_tls,raw,tls,60,0.36666666666666664,0.36666666666666664,0.42158403729468086,12.368337583029643
raw_trapezoid,raw,trapezoid,60,0.2833333333333333,0.3,0.494161801501251,0.13467443687841296
tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,1,0.0,0.0,5.804574181267526,0.4355649999342859
