branch,detector,n_successful_runs,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds
arima,bls,1,0.0,0.0,6.412280701754385,0.021319750230759382
arima,tls,1,0.0,0.0,3.6600640322655824,15.284091792069376
arima,trapezoid,1,0.0,0.0,6.412280701754385,0.08103299979120493
gp,bls,1,0.0,0.0,5.271929824561403,0.01754475012421608
gp,tls,1,0.0,0.0,5.283732966292582,15.524053500033915
gp,trapezoid,1,0.0,0.0,5.289473684210526,0.10295370873063803
kalman,bls,1,0.0,0.0,6.271929824561403,0.017808249685913324
kalman,tls,1,0.0,0.0,3.7331787051555896,14.981085957959294
kalman,trapezoid,1,0.0,0.0,3.9561403508771926,0.10165108321234584
raw,bls,1,0.0,0.0,5.289473684210526,0.01836591586470604
raw,tls,1,0.0,0.0,3.7331787051555896,18.961658915970474
raw,trapezoid,1,0.0,0.0,5.289473684210526,0.10002366686239839
