injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,observable_transit_count,in_transit_observation_count,recovered_period_days,recovered_epoch_days,recovered_duration_hours,recovered_depth,recovered_power,period_error_fraction,period_matched,depth_retention_fraction,duration_recovery_fraction,fap_1_percent_threshold,fap_0_1_percent_threshold,passes_fap_1_percent,passes_fap_0_1_percent,recovered_at_fap_1_percent,recovered_at_fap_0_1_percent
2.0,443.81122690278136,0.15,2.0,0.0002,48,179,11.72072072072072,454.15497690278136,7.5,0.00016435333255201796,47.53010950717308,1.9301801801801801,False,0.8217666627600898,3.75,59.886436655977455,74.3910856153261,False,False,False,False
2.0,444.4112269027813,0.45,2.0,0.0002,47,183,11.72072072072072,454.15497690278136,7.5,0.00016594054695652594,47.98912346987292,1.9301801801801801,False,0.8297027347826297,3.75,59.886436655977455,74.3910856153261,False,False,False,False
2.0,445.01122690278135,0.75,2.0,0.0002,47,190,3.998998998998999,445.01747690278137,2.7,0.0001702284678132079,51.14334530176195,0.00025025025025027237,True,0.8511423390660394,1.35,59.886436655977455,74.3910856153261,False,False,False,False
2.0,443.81122690278136,0.15,2.0,0.0005,48,179,3.998998998998999,445.82372690278135,1.5,0.0004903342314051064,109.21982007091513,0.00025025025025027237,True,0.9806684628102127,0.75,59.886436655977455,74.3910856153261,True,True,True,True
2.0,444.4112269027813,0.45,2.0,0.0005,47,183,3.998998998998999,444.42372690278137,1.5,0.0004832219227073196,106.86811533356206,0.00025025025025027237,True,0.9664438454146392,0.75,59.886436655977455,74.3910856153261,True,True,True,True
2.0,445.01122690278135,0.75,2.0,0.0005,47,190,1.0,444.0049769027813,1.5,0.00026480027707174,114.87683601702545,0.0,True,0.52960055414348,0.75,59.886436655977455,74.3910856153261,True,True,True,True
2.0,443.81122690278136,0.15,2.0,0.001,48,179,3.998998998998999,445.82372690278135,1.5,0.0009780998410842683,217.86749081027335,0.00025025025025027237,True,0.9780998410842683,0.75,59.886436655977455,74.3910856153261,True,True,True,True
2.0,444.4112269027813,0.45,2.0,0.001,47,183,3.998998998998999,444.42372690278137,1.5,0.0009704302732236997,214.6178587697581,0.00025025025025027237,True,0.9704302732236997,0.75,59.886436655977455,74.3910856153261,True,True,True,True
2.0,445.01122690278135,0.75,2.0,0.001,47,190,1.0,444.0049769027813,1.5,0.0005156039041361907,223.6815829658078,0.0,True,0.5156039041361907,0.75,59.886436655977455,74.3910856153261,True,True,True,True
2.0,443.81122690278136,0.15,4.0,0.0002,48,373,3.998998998998999,445.8174769027813,3.9000000000000004,0.00018300273154902202,64.60080036781211,0.00025025025025027237,True,0.9150136577451101,0.9750000000000001,59.886436655977455,74.3910856153261,True,False,True,False
2.0,444.4112269027813,0.45,4.0,0.0002,47,377,3.998998998998999,446.42997690278133,3.9000000000000004,0.00018298198995058472,64.57918212642868,0.00025025025025027237,True,0.9149099497529236,0.9750000000000001,59.886436655977455,74.3910856153261,True,False,True,False
2.0,445.01122690278135,0.75,4.0,0.0002,47,374,3.998998998998999,445.02372690278133,3.9000000000000004,0.00021004100304064052,75.2911988046719,0.00025025025025027237,True,1.0502050152032025,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
2.0,443.81122690278136,0.15,4.0,0.0005,48,373,3.998998998998999,445.8174769027813,3.9000000000000004,0.00046459564938187406,164.00438694781258,0.00025025025025027237,True,0.9291912987637481,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
2.0,444.4112269027813,0.45,4.0,0.0005,47,377,3.998998998998999,444.42372690278137,3.9000000000000004,0.0004624023629719977,162.78687846905626,0.00025025025025027237,True,0.9248047259439954,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
2.0,445.01122690278135,0.75,4.0,0.0005,47,374,3.998998998998999,445.02372690278133,3.9000000000000004,0.0004871955397028231,174.63988319184145,0.00025025025025027237,True,0.9743910794056462,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
2.0,443.81122690278136,0.15,4.0,0.001,48,373,3.998998998998999,445.8174769027813,3.9000000000000004,0.0009339171791032945,329.6770312478135,0.00025025025025027237,True,0.9339171791032945,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
2.0,444.4112269027813,0.45,4.0,0.001,47,377,3.998998998998999,444.42372690278137,3.9000000000000004,0.0009282982135706574,326.80362510327376,0.00025025025025027237,True,0.9282982135706573,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
2.0,445.01122690278135,0.75,4.0,0.001,47,374,3.998998998998999,445.02372690278133,3.9000000000000004,0.0009491197674731273,340.221023837124,0.00025025025025027237,True,0.9491197674731272,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
2.0,443.81122690278136,0.15,8.0,0.0002,48,740,1.994994994994995,443.9268519027813,10.05,0.000141753611659122,102.90873210563257,0.0025025025025025016,True,0.70876805829561,1.25625,59.886436655977455,74.3910856153261,True,True,True,True
2.0,444.4112269027813,0.45,8.0,0.0002,48,743,1.994994994994995,444.50810190278133,8.850000000000001,0.00015109285612289704,104.64023960905142,0.0025025025025025016,True,0.7554642806144852,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
2.0,445.01122690278135,0.75,8.0,0.0002,47,747,1.994994994994995,445.13310190278133,8.850000000000001,0.0001584207749606584,109.61363879506654,0.0025025025025025016,True,0.792103874803292,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
2.0,443.81122690278136,0.15,8.0,0.0005,48,740,1.994994994994995,443.9268519027813,10.05,0.00035508269294208403,257.7790385418519,0.0025025025025025016,True,0.710165385884168,1.25625,59.886436655977455,74.3910856153261,True,True,True,True
2.0,444.4112269027813,0.45,8.0,0.0005,48,743,1.994994994994995,444.52685190278135,8.850000000000001,0.00037689732610547293,261.0210271625819,0.0025025025025025016,True,0.7537946522109459,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
2.0,445.01122690278135,0.75,8.0,0.0005,47,747,1.994994994994995,445.13310190278133,8.850000000000001,0.00038799260591095204,268.4577282874752,0.0025025025025025016,True,0.775985211821904,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
2.0,443.81122690278136,0.15,8.0,0.001,48,740,1.994994994994995,443.93310190278135,8.850000000000001,0.0007472535330274036,516.5980022131506,0.0025025025025025016,True,0.7472535330274036,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
2.0,444.4112269027813,0.45,8.0,0.001,48,743,1.994994994994995,444.52685190278135,8.850000000000001,0.0007560913476621017,523.6326355371211,0.0025025025025025016,True,0.7560913476621016,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
2.0,445.01122690278135,0.75,8.0,0.001,47,747,1.994994994994995,445.13310190278133,8.850000000000001,0.000770612324161441,533.1978774414894,0.0025025025025025016,True,0.770612324161441,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,444.26122690278135,0.15,2.0,0.0002,19,71,11.72072072072072,454.15497690278136,7.5,0.00017776443187262665,51.40852809122192,0.17207207207207204,False,0.8888221593631332,3.75,59.886436655977455,74.3910856153261,False,False,False,False
5.0,445.76122690278135,0.45,2.0,0.0002,19,71,11.72072072072072,454.15497690278136,7.5,0.00017099520850423795,49.450904701527655,0.17207207207207204,False,0.8549760425211897,3.75,59.886436655977455,74.3910856153261,False,False,False,False
5.0,447.26122690278135,0.75,2.0,0.0002,19,77,11.72072072072072,454.15497690278136,7.5,0.00016395776995027615,47.41571490691889,0.17207207207207204,False,0.8197888497513807,3.75,59.886436655977455,74.3910856153261,False,False,False,False
5.0,444.26122690278135,0.15,2.0,0.0005,19,71,4.993993993993994,444.3174769027813,3.9000000000000004,0.00026335653172843306,82.26547612983373,0.0012012012012011298,True,0.5267130634568661,1.9500000000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,445.76122690278135,0.45,2.0,0.0005,19,71,4.993993993993994,445.8174769027813,3.9000000000000004,0.00026603319757230746,81.68640597669989,0.0012012012012011298,True,0.532066395144615,1.9500000000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,447.26122690278135,0.75,2.0,0.0005,19,77,4.993993993993994,447.3174769027813,2.7,0.0003032505290367391,81.43940921125245,0.0012012012012011298,True,0.6065010580734782,1.35,59.886436655977455,74.3910856153261,True,True,True,True
5.0,444.26122690278135,0.15,2.0,0.001,19,71,4.993993993993994,444.31122690278136,2.7,0.0006054445659764899,159.47383490637839,0.0012012012012011298,True,0.6054445659764899,1.35,59.886436655977455,74.3910856153261,True,True,True,True
5.0,445.76122690278135,0.45,2.0,0.001,19,71,4.993993993993994,445.8174769027813,3.9000000000000004,0.0005175981430376162,158.9302855086905,0.0012012012012011298,True,0.5175981430376162,1.9500000000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,447.26122690278135,0.75,2.0,0.001,19,77,4.993993993993994,447.3174769027813,2.7,0.0006044363113484954,162.32432061507288,0.0012012012012011298,True,0.6044363113484953,1.35,59.886436655977455,74.3910856153261,True,True,True,True
5.0,444.26122690278135,0.15,4.0,0.0002,19,143,4.993993993993994,444.3174769027813,5.1000000000000005,0.00016755957265881966,59.29047923845442,0.0012012012012011298,True,0.8377978632940982,1.2750000000000001,59.886436655977455,74.3910856153261,False,False,False,False
5.0,445.76122690278135,0.45,4.0,0.0002,19,143,5.008008008008008,445.71747690278136,5.1000000000000005,0.00017296236419278273,61.21730846881703,0.0016016016016015655,True,0.8648118209639136,1.2750000000000001,59.886436655977455,74.3910856153261,True,False,True,False
5.0,447.26122690278135,0.75,4.0,0.0002,19,153,4.993993993993994,447.32372690278135,5.1000000000000005,0.00014267350133919792,52.17026835201962,0.0012012012012011298,True,0.7133675066959896,1.2750000000000001,59.886436655977455,74.3910856153261,False,False,False,False
5.0,444.26122690278135,0.15,4.0,0.0005,19,143,4.993993993993994,444.31122690278136,5.1000000000000005,0.00038286239659317034,135.82850873577178,0.0012012012012011298,True,0.7657247931863407,1.2750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
5.0,445.76122690278135,0.45,4.0,0.0005,19,143,4.993993993993994,445.81122690278136,5.1000000000000005,0.000385068055206256,134.8560741804568,0.0012012012012011298,True,0.770136110412512,1.2750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
5.0,447.26122690278135,0.75,4.0,0.0005,19,153,4.993993993993994,447.32372690278135,5.1000000000000005,0.0003629268322432549,132.70852717958158,0.0012012012012011298,True,0.7258536644865098,1.2750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
5.0,444.26122690278135,0.15,4.0,0.001,19,143,4.993993993993994,444.31122690278136,3.9000000000000004,0.0008453535488754632,264.96053559310604,0.0012012012012011298,True,0.8453535488754631,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
5.0,445.76122690278135,0.45,4.0,0.001,19,143,4.993993993993994,445.81122690278136,5.1000000000000005,0.0007561165842654693,264.80231948132047,0.0012012012012011298,True,0.7561165842654692,1.2750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
5.0,447.26122690278135,0.75,4.0,0.001,19,153,4.993993993993994,447.32372690278135,5.1000000000000005,0.0007300157170833503,266.93895855885165,0.0012012012012011298,True,0.7300157170833502,1.2750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
5.0,444.26122690278135,0.15,8.0,0.0002,19,290,5.008008008008008,444.1768519027813,8.850000000000001,0.00019421250716366548,89.44472498017102,0.0016016016016015655,True,0.9710625358183274,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,445.76122690278135,0.45,8.0,0.0002,19,287,5.008008008008008,445.72060190278137,8.850000000000001,0.00019525565148059582,89.42314222091917,0.0016016016016015655,True,0.976278257402979,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,447.26122690278135,0.75,8.0,0.0002,19,308,4.993993993993994,447.3174769027813,7.5,0.00018039014444289327,79.1590368483625,0.0012012012012011298,True,0.9019507222144664,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
