injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,bls_recovered_period_days,bls_recovered_score,bls_period_matched,bls_passes_fap_1_percent,bls_recovered,tcf_recovered_period_days,tcf_recovered_score,tcf_period_matched,tcf_passes_fap_1_percent,tcf_recovered,tcf_exact_period_rank_top10,tcf_exact_period_present_top10,tcf_half_period_rank_top10,tcf_double_period_rank_top10,tcf_triple_period_rank_top10,tcf_top_periods_json,tcf_top_scores_json,both_recovered,bls_only,tcf_only,neither_recovered,either_recovered,bls_exact_period_error,tcf_exact_period_error,bls_exact_period_matched,tcf_exact_period_matched,bls_exact_recovered,tcf_exact_recovered,exact_both_recovered,exact_bls_only,exact_tcf_only,exact_neither_recovered,exact_either_recovered,tcf_exact_period_below_rank1,tcf_exact_period_absent_top10,tcf_top10_candidate_only_vs_bls_exact
2.0,2.0,0.0002,0.15,11.72072072072072,47.53010950717308,False,False,False,2.512151215121512,18.163987818495677,False,True,False,2,True,6.0,3.0,7.0,"[2.512151215121512, 1.9996999699969997, 3.999099909990999, 4.186718671867187, 5.024002400240024, 1.0, 5.999899989999, 5.8612861286128615, 6.698569856985698, 7.54005400540054]","[18.163987818495677, 17.322852370506165, 13.673218150827099, 13.5660933400478, 13.38205476100877, 12.602414407876525, 12.112951585230427, 12.111118100176888, 11.727900587940825, 11.251863346056545]",False,False,False,True,False,4.86036036036036,0.256075607560756,False,False,False,False,False,False,False,True,False,True,False,True
2.0,2.0,0.0002,0.45,11.72072072072072,47.98912346987292,False,False,False,2.512151215121512,18.11294278741504,False,True,False,2,True,,5.0,7.0,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 5.024002400240024, 4.000500050005, 5.8612861286128615, 5.999899989999, 8.373137313731373, 6.698569856985698, 10.46914691469147]","[18.11294278741504, 15.01551558291428, 14.612597393873664, 13.603834914640723, 13.18918674193603, 13.001764872053442, 12.854873813503144, 12.693133660557411, 12.491697402018982, 11.093134629506142]",False,False,False,True,False,4.86036036036036,0.256075607560756,False,False,False,False,False,False,False,True,False,True,False,True
2.0,2.0,0.0002,0.75,3.998998998998999,51.14334530176195,True,False,False,2.512151215121512,18.375266853631963,False,True,False,2,True,,4.0,9.0,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 3.999099909990999, 5.024002400240024, 5.8612861286128615, 8.373137313731373, 6.698569856985698, 5.997099709970997, 7.535853585358535]","[18.375266853631963, 16.545844072577736, 14.707976270451638, 14.101316182880282, 13.760784918019008, 13.205177379629976, 12.880689507107691, 12.680135713225816, 11.009162371950602, 10.824332988734923]",False,False,False,True,False,0.9994994994994995,0.256075607560756,False,False,False,False,False,False,False,True,False,True,False,True
2.0,2.0,0.0005,0.15,3.998998998998999,109.21982007091512,True,True,True,1.9996999699969995,39.02269206623864,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 3.999099909990999, 6.001300130013001, 4.998799879987999, 7.999299929992999, 9.001800180018002, 10.002900290029002, 12.000900090009, 14.005900590059005]","[39.02269206623864, 35.09369068844626, 29.726445096765453, 25.250309882477886, 23.386104472141536, 22.301687015178597, 20.252041379379968, 19.284567209959295, 19.137079138783857, 17.24924547939827]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.0005,0.45,3.998998998998999,106.86811533356206,True,True,True,1.9996999699969995,36.311418563845585,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 8.000700070007, 10.000100010001, 12.000900090009, 8.998999899989998, 5.0002000200020005, 7.001000100010001]","[36.311418563845585, 31.41747554171981, 29.50149257302512, 25.599913450088312, 21.922456150672133, 21.03262571797679, 19.529543725415657, 19.208633195392988, 19.09307075243453, 18.693748884195877]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.0005,0.75,1.0,114.87683601702544,True,True,True,1.9996999699969995,39.26394382004287,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.998499849984999, 7.999299929992999, 11.998099809980998, 9.001800180018002, 10.000100010001, 14.003100310031003, 2.512151215121512, 6.998199819981998]","[39.26394382004287, 30.405083084246165, 23.952287672093398, 21.817519147804532, 19.57669208399634, 19.057247395929764, 18.944177970501226, 18.279529159863383, 17.417311494322934, 17.152913146525304]",True,False,False,False,True,0.5,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.001,0.15,3.998998998998999,217.86749081027335,True,True,True,1.9996999699969995,70.39590707670293,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 3.999099909990999, 6.001300130013001, 4.998799879987999, 7.999299929992999, 9.001800180018002, 10.001500150015001, 12.000900090009, 13.998899889988998]","[70.39590707670293, 58.960203984181106, 53.27234763778553, 43.82630859577173, 43.657646044084224, 38.758054248983385, 35.79126824112962, 34.10679041055245, 32.762356720333536, 29.939068428974988]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.001,0.45,3.998998998998999,214.6178587697581,True,True,True,1.9996999699969995,69.21080729997476,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 5.0002000200020005, 8.000700070007, 10.000100010001, 9.000400040004001, 6.996799679967997, 12.000900090009]","[69.21080729997476, 52.741970826109885, 51.88972283638806, 43.24797606014288, 39.560528462753226, 37.15522821444016, 35.35551662909959, 35.010155025540776, 34.67096632325174, 31.980593764796172]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.001,0.75,1.0,223.6815829658078,True,True,True,1.9996999699969995,70.97470318179056,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 9.001800180018002, 6.998199819981998, 10.007100710071008, 11.999499949994998, 14.001700170017001, 11.001200120012001]","[70.97470318179056, 53.7674929925763, 43.07365462394186, 38.223927295962355, 34.709240791931805, 34.24334334497083, 33.5371228445676, 32.8014796901639, 30.330051122409575, 29.382835353534166]",True,False,False,False,True,0.5,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0002,0.15,3.998998998998999,64.60080036781211,True,True,True,1.9996999699969995,25.736685752190557,True,True,True,1,True,,3.0,4.0,"[1.9996999699969997, 2.512151215121512, 3.999099909990999, 5.999899989999, 4.186718671867187, 7.999299929992999, 5.024002400240024, 5.8612861286128615, 8.373137313731373, 10.000100010001]","[25.736685752190557, 18.32199752548987, 17.817001134658327, 15.159477834771646, 13.865105512120074, 13.515476052786214, 13.507820025893587, 12.9504137669133, 12.642422765997138, 12.558313763330064]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0002,0.45,3.998998998998999,64.57918212642868,True,True,True,2.512151215121512,18.25335527861923,False,True,False,3,True,8.0,2.0,4.0,"[2.512151215121512, 4.000500050005, 1.9996999699969997, 5.999899989999, 8.000700070007, 4.186718671867187, 5.024002400240024, 1.0, 5.8612861286128615, 10.001500150015001]","[18.25335527861923, 17.72527288778862, 17.167104669039105, 16.34382225313697, 15.39908959626994, 14.038455395179769, 13.437160994366325, 13.13906626841055, 12.73216371208471, 12.245878137503391]",False,True,False,False,True,0.9994994994994995,0.256075607560756,False,False,False,False,False,False,False,True,False,True,False,True
2.0,4.0,0.0002,0.75,3.998998998998999,75.2911988046719,True,True,True,1.9996999699969995,24.381141367050784,True,True,True,1,True,,3.0,4.0,"[1.9996999699969997, 2.512151215121512, 4.000500050005, 6.001300130013001, 4.186718671867187, 7.999299929992999, 12.002300230023002, 5.024002400240024, 5.8612861286128615, 10.001500150015001]","[24.381141367050784, 18.16040555863266, 17.617710430676585, 14.58455128475725, 14.538448635373097, 14.504440286205284, 13.691445227741125, 13.598347022046315, 12.666105741266298, 12.54998449468599]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0005,0.15,3.998998998998999,164.00438694781258,True,True,True,1.9996999699969995,66.10996538968361,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 10.000100010001, 11.999499949994998, 14.000300030003, 14.995799579957996, 13.002000200020001, 10.999799979998]","[66.10996538968361, 45.05897008744633, 37.3437056879923, 34.45406931513277, 30.621497154484715, 28.293371158018083, 27.37367672358473, 25.510607573556165, 23.29802248676614, 22.907010175760995]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0005,0.45,3.998998998998999,162.78687846905626,True,True,True,4.000500050005,45.633888072363526,True,True,True,2,True,5.0,1.0,3.0,"[4.000500050005, 1.9996999699969997, 5.999899989999, 8.000700070007, 1.0, 10.001500150015001, 12.003700370037004, 9.001800180018002, 14.003100310031003, 5.0002000200020005]","[45.633888072363526, 41.71942677133633, 40.5002396585418, 35.544170402252284, 35.52893200090402, 30.347939403736063, 28.733850721503043, 28.545970297665043, 26.812414265660735, 22.42173966933892]",True,False,False,False,True,0.9994994994994995,1.0002500250025,False,False,False,False,False,False,False,True,False,True,False,True
2.0,4.0,0.0005,0.75,3.998998998998999,174.63988319184145,True,True,True,1.9996999699969995,65.1306881848277,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 4.000500050005, 6.001300130013001, 7.999299929992999, 10.000100010001, 12.002300230023002, 14.001700170017001, 15.0, 10.999799979998, 9.001800180018002]","[65.1306881848277, 47.1247959445732, 38.87435967017682, 35.05341511834994, 31.527755930341456, 31.087602207830187, 27.508203139913117, 24.26263072243061, 23.19791326526544, 22.017828159560437]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.001,0.15,3.998998998998999,329.6770312478135,True,True,True,1.9996999699969995,131.70447411428069,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 10.000100010001, 11.999499949994998, 13.997499749974997, 13.002000200020001, 10.999799979998, 14.998599859985998]","[131.70447411428069, 92.85928608801035, 75.12391377629602, 67.99614196966044, 61.53046769803572, 55.66965670633404, 53.346685278317125, 49.10451909332407, 48.847201882433765, 43.55305860038968]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.001,0.45,3.998998998998999,326.80362510327376,True,True,True,4.000500050005,92.9872681988217,True,True,True,4,True,2.0,1.0,3.0,"[4.000500050005, 1.0, 5.999899989999, 1.9996999699969997, 8.000700070007, 10.001500150015001, 9.001800180018002, 12.003700370037004, 14.003100310031003, 13.000600060006]","[92.9872681988217, 81.27267386722815, 79.6517512832838, 74.35453219703646, 68.11676000936149, 59.69646087150116, 58.050497941607375, 56.535819550902964, 52.722032820939326, 32.97750406040412]",True,False,False,False,True,0.9994994994994995,1.0002500250025,False,False,False,False,False,False,False,True,False,True,False,True
2.0,4.0,0.001,0.75,3.998998998998999,340.221023837124,True,True,True,1.9996999699969995,129.4416831902355,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 4.000500050005, 6.001300130013001, 8.000700070007, 6.998199819981998, 10.000100010001, 11.999499949994998, 14.007300730073007, 15.0, 10.999799979998]","[129.4416831902355, 93.73055938263853, 76.60446579632136, 68.32812365230832, 65.88974767559523, 62.465822374896526, 58.41092859074966, 52.48319293214183, 49.9470526670115, 43.70937996281096]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,8.0,0.0002,0.15,1.994994994994995,102.90873210563257,True,True,True,2.512151215121512,17.83829639916278,False,True,False,2,True,,9.0,,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 5.024002400240024, 5.8612861286128615, 8.373137313731373, 6.698569856985698, 7.5386538653865385, 3.999099909990999, 9.21042104210421]","[17.83829639916278, 16.535980186131944, 13.652218072810735, 13.471322285910613, 13.142709088590292, 11.77782404846076, 11.469384980574818, 11.330326410217625, 10.743820798941377, 10.466093317152897]",False,True,False,False,True,0.0025025025025025016,0.256075607560756,True,False,True,False,False,True,False,False,True,True,False,False
2.0,8.0,0.0002,0.45,1.994994994994995,104.64023960905142,True,True,True,2.512151215121512,18.169332748332216,False,True,False,2,True,5.0,7.0,8.0,"[2.512151215121512, 2.0011001100110013, 4.186718671867187, 5.024002400240024, 1.0, 5.8612861286128615, 4.000500050005, 6.0027002700270025, 6.698569856985698, 8.373137313731373]","[18.169332748332216, 14.346655968896435, 13.941894039009341, 13.602114395253455, 12.958995940475123, 12.663260778468077, 12.651149816247365, 12.057292374549212, 11.710406808247566, 11.704505344560811]",False,True,False,False,True,0.0025025025025025016,0.256075607560756,True,False,True,False,False,True,False,False,True,True,False,False
2.0,8.0,0.0002,0.75,1.994994994994995,109.61363879506654,True,True,True,2.512151215121512,18.50501792634944,False,True,False,2,True,,6.0,10.0,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 5.024002400240024, 5.8612861286128615, 4.001900190019002, 6.698569856985698, 8.373137313731373, 7.54005400540054, 5.998499849984999]","[18.505017926349442, 17.520603024324007, 14.588589543633784, 13.641692302727902, 13.074079220719193, 12.72216357652532, 11.749839699964246, 11.735324776564616, 11.284001239458629, 11.203693467855306]",False,True,False,False,True,0.0025025025025025016,0.256075607560756,True,False,True,False,False,True,False,False,True,True,False,False
2.0,8.0,0.0005,0.15,1.994994994994995,257.7790385418519,True,True,True,1.9996999699969995,39.027420437018016,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 10.000100010001, 11.999499949994998, 6.999599959995999, 13.994699469946994, 2.512151215121512, 9.001800180018002]","[39.027420437018016, 26.508366495823967, 23.170289603400235, 21.26365324807496, 20.480979457470767, 18.66534172196077, 18.13582812448639, 17.44610692964184, 17.147637036785305, 16.54650709324748]",True,False,False,False,True,0.0025025025025025016,0.0001500150015002477,True,True,True,True,True,False,False,False,True,False,False,False
2.0,8.0,0.0005,0.45,1.994994994994995,261.0210271625819,True,True,True,1.9996999699969995,35.39005468830274,True,True,True,1,True,3.0,2.0,4.0,"[1.9996999699969997, 4.000500050005, 1.0, 6.0027002700270025, 8.000700070007, 9.998699869986998, 8.998999899989998, 13.996099609960996, 12.003700370037004, 2.512151215121512]","[35.39005468830274, 29.196845654317258, 27.432255850548625, 23.855586071941847, 21.071605977111595, 19.50535800025161, 18.85649359579682, 17.9891402505457, 17.974330610859834, 17.468490638511028]",True,False,False,False,True,0.0025025025025025016,0.0001500150015002477,True,True,True,True,True,False,False,False,True,False,False,False
2.0,8.0,0.0005,0.75,1.994994994994995,268.4577282874752,True,True,True,1.9996999699969995,39.935039707564485,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.998499849984999, 7.999299929992999, 10.004300430043005, 11.999499949994998, 6.998199819981998, 2.512151215121512, 11.001200120012001, 14.003100310031003]","[39.935039707564485, 28.187579967499232, 23.98677397436544, 23.02857090240864, 18.732977721520882, 18.12969695118341, 17.795145718306905, 17.715696138839938, 17.516601977617473, 17.145276211773044]",True,False,False,False,True,0.0025025025025025016,0.0001500150015002477,True,True,True,True,True,False,False,False,True,False,False,False
2.0,8.0,0.001,0.15,1.994994994994995,516.5980022131506,True,True,True,1.9996999699969995,71.37511939042645,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 10.000100010001, 9.003200320032002, 11.999499949994998, 13.987698769876987, 11.002600260026002, 13.002000200020001]","[71.37511939042645, 50.85163678286085, 42.951114404162084, 37.57478920707426, 34.563439683009015, 32.697058349278244, 32.408335073667644, 30.010519030360452, 29.263483815601617, 26.507617882727857]",True,False,False,False,True,0.0025025025025025016,0.0001500150015002477,True,True,True,True,True,False,False,False,True,False,False,False
2.0,8.0,0.001,0.45,1.994994994994995,523.6326355371211,True,True,True,1.9996999699969995,68.1440250789243,True,True,True,1,True,3.0,2.0,4.0,"[1.9996999699969997, 4.000500050005, 1.0, 6.0027002700270025, 8.000700070007, 8.998999899989998, 9.998699869986998, 12.003700370037004, 10.999799979998, 13.998899889988998]","[68.1440250789243, 51.947264859935416, 48.3197310532889, 43.11424611361753, 37.090988224445496, 34.577956576683434, 33.67450684554191, 30.88070605619818, 29.284885241011153, 29.26281056666826]",True,False,False,False,True,0.0025025025025025016,0.0001500150015002477,True,True,True,True,True,False,False,False,True,False,False,False
2.0,8.0,0.001,0.75,1.994994994994995,533.1978774414894,True,True,True,1.9996999699969995,70.86198477876519,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.998499849984999, 7.999299929992999, 6.998199819981998, 10.000100010001, 11.001200120012001, 9.000400040004001, 11.999499949994998, 14.003100310031003]","[70.86198477876519, 50.55913634822727, 43.32998329967311, 38.65090246361337, 35.36995472170986, 33.55396584589443, 32.10197752219935, 31.90019345691735, 31.473933689419745, 29.44185247012779]",True,False,False,False,True,0.0025025025025025016,0.0001500150015002477,True,True,True,True,True,False,False,False,True,False,False,False
5.0,2.0,0.0002,0.15,11.72072072072072,51.40852809122192,False,False,False,2.512151215121512,18.526646771988244,True,True,True,4,True,1.0,10.0,,"[2.512151215121512, 3.3494349434943493, 4.186718671867187, 4.998799879987999, 5.8612861286128615, 6.698569856985698, 8.373137313731373, 7.541454145414542, 9.21042104210421, 10.047704770477047]","[18.526646771988244, 16.64742435321959, 14.479531794437952, 14.2431899403127, 13.047615775117835, 12.094432581829878, 11.98307252415835, 11.557159318840585, 10.693305754887307, 10.38381014664284]",False,False,True,False,True,1.3441441441441442,0.4975697569756976,False,False,False,False,False,False,False,True,False,True,False,True
5.0,2.0,0.0002,0.45,11.72072072072072,49.450904701527655,False,False,False,2.512151215121512,18.61473776793468,True,True,True,4,True,1.0,10.0,,"[2.512151215121512, 3.3494349434943493, 4.186718671867187, 5.024002400240024, 5.8612861286128615, 6.698569856985698, 8.373137313731373, 7.541454145414542, 9.21042104210421, 10.047704770477047]","[18.61473776793468, 16.61249816178897, 14.446593701623971, 13.952446308514022, 13.026204218787473, 12.072293186974338, 11.969555540424917, 11.541047690048641, 10.692360436551429, 10.36760387733506]",False,False,True,False,True,1.3441441441441442,0.4975697569756976,False,False,False,False,False,False,False,True,False,True,False,True
5.0,2.0,0.0002,0.75,11.72072072072072,47.41571490691889,False,False,False,2.512151215121512,18.554735712947977,True,True,True,3,True,1.0,9.0,,"[2.512151215121512, 4.186718671867187, 5.024002400240024, 5.8612861286128615, 6.698569856985698, 8.373137313731373, 7.5386538653865385, 9.21042104210421, 10.047704770477047, 11.725072507250724]","[18.554735712947974, 14.379367474862526, 13.905331034129098, 12.977556979445776, 12.023892871347151, 11.933747182456539, 11.502075339495725, 10.676445548624438, 10.330091621457377, 9.96838944182511]",False,False,True,False,True,1.3441441441441442,0.4975697569756976,False,False,False,False,False,False,False,True,False,True,False,True
