injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,bls_recovered_period_days,bls_recovered_score,bls_period_matched,bls_passes_fap_1_percent,bls_recovered,tcf_recovered_period_days,tcf_recovered_score,tcf_period_matched,tcf_passes_fap_1_percent,tcf_recovered,tcf_exact_period_rank_top10,tcf_exact_period_present_top10,tcf_half_period_rank_top10,tcf_double_period_rank_top10,tcf_triple_period_rank_top10,tcf_top_periods_json,tcf_top_scores_json,both_recovered,bls_only,tcf_only,neither_recovered,either_recovered,bls_exact_period_error,tcf_exact_period_error,bls_exact_period_matched,tcf_exact_period_matched,bls_exact_recovered,tcf_exact_recovered,exact_both_recovered,exact_bls_only,exact_tcf_only,exact_neither_recovered,exact_either_recovered,tcf_exact_period_below_rank1,tcf_exact_period_absent_top10,tcf_top10_candidate_only_vs_bls_exact
2.0,2.0,0.0005,0.15,3.998998998998999,109.21982007091512,True,True,True,1.9996999699969995,39.02269206623864,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 3.999099909990999, 6.001300130013001, 4.998799879987999, 7.999299929992999, 9.001800180018002, 10.002900290029002, 12.000900090009, 14.005900590059005]","[39.02269206623864, 35.09369068844626, 29.726445096765453, 25.250309882477886, 23.386104472141536, 22.301687015178597, 20.252041379379968, 19.284567209959295, 19.137079138783857, 17.24924547939827]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.0005,0.45,3.998998998998999,106.86811533356206,True,True,True,1.9996999699969995,36.311418563845585,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 8.000700070007, 10.000100010001, 12.000900090009, 8.998999899989998, 5.0002000200020005, 7.001000100010001]","[36.311418563845585, 31.41747554171981, 29.50149257302512, 25.599913450088312, 21.922456150672133, 21.03262571797679, 19.529543725415657, 19.208633195392988, 19.09307075243453, 18.693748884195877]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.0005,0.75,1.0,114.87683601702544,True,True,True,1.9996999699969995,39.26394382004287,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.998499849984999, 7.999299929992999, 11.998099809980998, 9.001800180018002, 10.000100010001, 14.003100310031003, 2.512151215121512, 6.998199819981998]","[39.26394382004287, 30.405083084246165, 23.952287672093398, 21.817519147804532, 19.57669208399634, 19.057247395929764, 18.944177970501226, 18.279529159863383, 17.417311494322934, 17.152913146525304]",True,False,False,False,True,0.5,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.001,0.15,3.998998998998999,217.86749081027335,True,True,True,1.9996999699969995,70.39590707670293,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 3.999099909990999, 6.001300130013001, 4.998799879987999, 7.999299929992999, 9.001800180018002, 10.001500150015001, 12.000900090009, 13.998899889988998]","[70.39590707670293, 58.960203984181106, 53.27234763778553, 43.82630859577173, 43.657646044084224, 38.758054248983385, 35.79126824112962, 34.10679041055245, 32.762356720333536, 29.939068428974988]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.001,0.45,3.998998998998999,214.6178587697581,True,True,True,1.9996999699969995,69.21080729997476,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 5.0002000200020005, 8.000700070007, 10.000100010001, 9.000400040004001, 6.996799679967997, 12.000900090009]","[69.21080729997476, 52.741970826109885, 51.88972283638806, 43.24797606014288, 39.560528462753226, 37.15522821444016, 35.35551662909959, 35.010155025540776, 34.67096632325174, 31.980593764796172]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,2.0,0.001,0.75,1.0,223.6815829658078,True,True,True,1.9996999699969995,70.97470318179056,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 9.001800180018002, 6.998199819981998, 10.007100710071008, 11.999499949994998, 14.001700170017001, 11.001200120012001]","[70.97470318179056, 53.7674929925763, 43.07365462394186, 38.223927295962355, 34.709240791931805, 34.24334334497083, 33.5371228445676, 32.8014796901639, 30.330051122409575, 29.382835353534166]",True,False,False,False,True,0.5,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0002,0.15,3.998998998998999,64.60080036781211,True,True,True,1.9996999699969995,25.736685752190557,True,True,True,1,True,,3.0,4.0,"[1.9996999699969997, 2.512151215121512, 3.999099909990999, 5.999899989999, 4.186718671867187, 7.999299929992999, 5.024002400240024, 5.8612861286128615, 8.373137313731373, 10.000100010001]","[25.736685752190557, 18.32199752548987, 17.817001134658327, 15.159477834771646, 13.865105512120074, 13.515476052786214, 13.507820025893587, 12.9504137669133, 12.642422765997138, 12.558313763330064]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0002,0.75,3.998998998998999,75.2911988046719,True,True,True,1.9996999699969995,24.381141367050784,True,True,True,1,True,,3.0,4.0,"[1.9996999699969997, 2.512151215121512, 4.000500050005, 6.001300130013001, 4.186718671867187, 7.999299929992999, 12.002300230023002, 5.024002400240024, 5.8612861286128615, 10.001500150015001]","[24.381141367050784, 18.16040555863266, 17.617710430676585, 14.58455128475725, 14.538448635373097, 14.504440286205284, 13.691445227741125, 13.598347022046315, 12.666105741266298, 12.54998449468599]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0005,0.15,3.998998998998999,164.00438694781258,True,True,True,1.9996999699969995,66.10996538968361,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 10.000100010001, 11.999499949994998, 14.000300030003, 14.995799579957996, 13.002000200020001, 10.999799979998]","[66.10996538968361, 45.05897008744633, 37.3437056879923, 34.45406931513277, 30.621497154484715, 28.293371158018083, 27.37367672358473, 25.510607573556165, 23.29802248676614, 22.907010175760995]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.0005,0.75,3.998998998998999,174.63988319184145,True,True,True,1.9996999699969995,65.1306881848277,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 4.000500050005, 6.001300130013001, 7.999299929992999, 10.000100010001, 12.002300230023002, 14.001700170017001, 15.0, 10.999799979998, 9.001800180018002]","[65.1306881848277, 47.1247959445732, 38.87435967017682, 35.05341511834994, 31.527755930341456, 31.087602207830187, 27.508203139913117, 24.26263072243061, 23.19791326526544, 22.017828159560437]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.001,0.15,3.998998998998999,329.6770312478135,True,True,True,1.9996999699969995,131.70447411428069,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 10.000100010001, 11.999499949994998, 13.997499749974997, 13.002000200020001, 10.999799979998, 14.998599859985998]","[131.70447411428069, 92.85928608801035, 75.12391377629602, 67.99614196966044, 61.53046769803572, 55.66965670633404, 53.346685278317125, 49.10451909332407, 48.847201882433765, 43.55305860038968]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
2.0,4.0,0.001,0.75,3.998998998998999,340.221023837124,True,True,True,1.9996999699969995,129.4416831902355,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 4.000500050005, 6.001300130013001, 8.000700070007, 6.998199819981998, 10.000100010001, 11.999499949994998, 14.007300730073007, 15.0, 10.999799979998]","[129.4416831902355, 93.73055938263853, 76.60446579632136, 68.32812365230832, 65.88974767559523, 62.465822374896526, 58.41092859074966, 52.48319293214183, 49.9470526670115, 43.70937996281096]",True,False,False,False,True,0.9994994994994995,0.0001500150015002477,False,True,False,True,False,False,True,False,True,False,False,True
