,robust_scatter,skewness,outlier_fraction,acf_lag1,acf_timescale_days,spectral_concentration,harmonic_power_ratio,dominant_period_days,period_agreement_error,segment_scale_variability
robust_scatter,1.0,-0.27615382510508635,-0.4143816752715952,0.5769226992259514,0.7625938091439776,0.734180993296014,-0.10017609869162389,0.41857968147368874,-0.23157707548787662,0.3545411503194801
skewness,-0.27615382510508635,1.0,0.6311222423620766,-0.5444308333667804,-0.2969459897067883,-0.3773790554764874,-0.22555667003804228,0.008207825387270079,0.02133412326572249,-0.4308692844153021
outlier_fraction,-0.4143816752715952,0.6311222423620766,1.0,-0.6535580058103376,-0.4140215975694216,-0.5181741498758888,-0.14457266933123836,0.11295844727814153,-0.006911090907892717,-0.4469455809644712
acf_lag1,0.5769226992259514,-0.5444308333667804,-0.6535580058103376,1.0,0.6362185146467163,0.7535005055262352,0.030117376661165977,-0.0020145107285601946,-0.11812424412880798,0.6718444000536181
acf_timescale_days,0.7625938091439776,-0.2969459897067883,-0.4140215975694216,0.6362185146467163,1.0,0.7747127590837283,-0.13842007044550034,0.6179746196267856,-0.222406524019332,0.4413769398820158
spectral_concentration,0.734180993296014,-0.3773790554764874,-0.5181741498758888,0.7535005055262352,0.7747127590837283,1.0,-0.3097577799194168,0.28143790751211495,-0.2891851001991553,0.5633298035182588
harmonic_power_ratio,-0.10017609869162389,-0.22555667003804228,-0.14457266933123836,0.030117376661165977,-0.13842007044550034,-0.3097577799194168,1.0,-0.15422085539593805,-0.0007964608073594998,0.05257932730033439
dominant_period_days,0.41857968147368874,0.008207825387270079,0.11295844727814153,-0.0020145107285601946,0.6179746196267856,0.28143790751211495,-0.15422085539593805,1.0,-0.3529765168288864,0.09989872340644079
period_agreement_error,-0.23157707548787662,0.02133412326572249,-0.006911090907892717,-0.11812424412880798,-0.222406524019332,-0.2891851001991553,-0.0007964608073594998,-0.3529765168288864,1.0,-0.24247605518223495
segment_scale_variability,0.3545411503194801,-0.4308692844153021,-0.4469455809644712,0.6718444000536181,0.4413769398820158,0.5633298035182588,0.05257932730033439,0.09989872340644079,-0.24247605518223495,1.0
