,robust_scatter,skewness,outlier_fraction,acf_lag1,acf_timescale_days,spectral_concentration,harmonic_power_ratio,dominant_period_days,period_agreement_error,segment_scale_variability
robust_scatter,1.0,-0.42088835534213687,-0.673642076622047,0.8030252100840336,0.6995918367346938,0.7645138055222089,-0.12230492196878752,0.16273709483793516,-0.5588955582232893,0.6091236494597839
skewness,-0.42088835534213687,1.0,0.6073353682394141,-0.6096038415366146,-0.451812725090036,-0.4894597839135654,-0.17176470588235293,0.10540216086434574,0.28105642256902763,-0.6153661464585835
outlier_fraction,-0.673642076622047,0.6073353682394141,1.0,-0.7441587347432598,-0.5599233152311219,-0.6126980423111766,-0.056734084572290545,0.12274008225931055,0.40671121581637615,-0.6190129669190464
acf_lag1,0.8030252100840336,-0.6096038415366146,-0.7441587347432598,1.0,0.7684513805522208,0.7991836734693878,-0.04873949579831933,0.003313325330132053,-0.4687154861944778,0.7727731092436975
acf_timescale_days,0.6995918367346938,-0.451812725090036,-0.5599233152311219,0.7684513805522208,1.0,0.815702280912365,-0.10271308523409364,0.3228331332533013,-0.35078031212484995,0.636782713085234
spectral_concentration,0.7645138055222089,-0.4894597839135654,-0.6126980423111766,0.7991836734693878,0.815702280912365,1.0,-0.3469387755102041,0.1671548619447779,-0.6140216086434573,0.7163025210084034
harmonic_power_ratio,-0.12230492196878752,-0.17176470588235293,-0.056734084572290545,-0.04873949579831933,-0.10271308523409364,-0.3469387755102041,1.0,0.004945978391356543,0.32657863145258104,-0.021848739495798318
dominant_period_days,0.16273709483793516,0.10540216086434574,0.12274008225931055,0.003313325330132053,0.3228331332533013,0.1671548619447779,0.004945978391356543,1.0,-0.09330132052821129,0.030204081632653063
period_agreement_error,-0.5588955582232893,0.28105642256902763,0.40671121581637615,-0.4687154861944778,-0.35078031212484995,-0.6140216086434573,0.32657863145258104,-0.09330132052821129,1.0,-0.4943577430972389
segment_scale_variability,0.6091236494597839,-0.6153661464585835,-0.6190129669190464,0.7727731092436975,0.636782713085234,0.7163025210084034,-0.021848739495798318,0.030204081632653063,-0.4943577430972389,1.0
