column,normalized_name,dtype,n_rows,n_non_null,n_numeric_finite,unique_non_null,bool_like,role,scientific_domain,matched_domains
target_id,target_id,int64,50,50,50,50,False,bookkeeping_identifier,unassigned,
quarter,quarter,int64,50,50,50,1,False,bookkeeping_identifier,unassigned,
diagnostic_record_type,diagnostic_record_type,object,50,50,0,1,False,supporting_diagnostic,unassigned,
flux_column,flux_column,object,50,50,0,1,False,supporting_diagnostic,unassigned,
n_cadence_grid,n_cadence_grid,int64,50,50,50,1,False,supporting_diagnostic,unassigned,
n_present_rows,n_present_rows,int64,50,50,50,1,False,supporting_diagnostic,unassigned,
n_finite_observations,n_finite_observations,int64,50,50,50,2,False,supporting_diagnostic,unassigned,
n_usable_observations,n_usable_observations,int64,50,50,50,2,False,supporting_diagnostic,unassigned,
finite_observation_fraction,finite_observation_fraction,float64,50,50,50,2,False,supporting_diagnostic,unassigned,
gap_fraction,gap_fraction,float64,50,50,50,2,False,supporting_diagnostic,unassigned,
gap_count,gap_count,int64,50,50,50,2,False,supporting_diagnostic,unassigned,
max_gap_cadences,max_gap_cadences,int64,50,50,50,1,False,supporting_diagnostic,unassigned,
median_cadence_days,median_cadence_days,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
cadence_mad_days,cadence_mad_days,float64,50,50,50,48,False,supporting_diagnostic,scatter_amplitude,scatter_amplitude
cadence_irregularity,cadence_irregularity,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
cadence_irregularity_label,cadence_irregularity_label,object,50,50,0,1,False,derived_classification,unassigned,
quality_flag_fraction_observed,quality_flag_fraction_observed,float64,50,50,50,47,False,derived_classification,unassigned,
stationarity_diagnostics_available,stationarity_diagnostics_available,bool,50,50,0,1,True,derived_classification,stationarity,stationarity
stationarity_alpha,stationarity_alpha,float64,50,50,50,1,False,supporting_diagnostic,stationarity,stationarity
original_adf_statistic,original_adf_statistic,float64,50,50,50,50,False,supporting_diagnostic,stationarity,stationarity
original_adf_pvalue,original_adf_pvalue,float64,50,50,50,50,False,supporting_diagnostic,stationarity,stationarity
original_adf_rejects_unit_root,original_adf_rejects_unit_root,bool,50,50,0,2,True,derived_classification,stationarity,stationarity
original_kpss_statistic,original_kpss_statistic,float64,50,50,50,50,False,supporting_diagnostic,stationarity,stationarity
original_kpss_pvalue,original_kpss_pvalue,float64,50,50,50,10,False,supporting_diagnostic,stationarity,stationarity
original_kpss_rejects_stationarity,original_kpss_rejects_stationarity,bool,50,50,0,2,True,derived_classification,stationarity,stationarity
original_series_stationarity_conclusion,original_series_stationarity_conclusion,object,50,50,0,4,False,canonical_source,stationarity,stationarity
differenced_adf_statistic,differenced_adf_statistic,float64,50,50,50,50,False,supporting_diagnostic,stationarity,stationarity
differenced_adf_pvalue,differenced_adf_pvalue,float64,50,50,50,28,False,supporting_diagnostic,stationarity,stationarity
differenced_kpss_statistic,differenced_kpss_statistic,float64,50,50,50,50,False,supporting_diagnostic,stationarity,stationarity
differenced_kpss_pvalue,differenced_kpss_pvalue,float64,50,50,50,3,False,supporting_diagnostic,stationarity,stationarity
differenced_series_stationarity_conclusion,differenced_series_stationarity_conclusion,object,50,50,0,2,False,supporting_diagnostic,stationarity,stationarity
recommended_d,recommended_d,float64,50,35,35,2,False,supporting_diagnostic,unassigned,
recommendation_strength,recommendation_strength,object,50,50,0,3,False,supporting_diagnostic,unassigned,
differencing_statistically_supported,differencing_statistically_supported,bool,50,50,0,2,True,derived_classification,unassigned,
stationarity_reason_codes,stationarity_reason_codes,object,50,50,0,9,False,bookkeeping_or_label,stationarity,stationarity
stationarity_observations_used,stationarity_observations_used,int64,50,50,50,2,False,supporting_diagnostic,stationarity,stationarity
stationarity_missing_observations,stationarity_missing_observations,int64,50,50,50,1,True,derived_classification,stationarity,stationarity
stationarity_modelling_mode,stationarity_modelling_mode,object,50,50,0,1,False,supporting_diagnostic,stationarity,stationarity
acf_lag_1,acf_lag_1,float64,50,50,50,50,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
acf_lag_2,acf_lag_2,float64,50,50,50,50,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
acf_lag_5,acf_lag_5,float64,50,50,50,50,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
acf_lag_10,acf_lag_10,float64,50,50,50,50,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
acf_lag_24,acf_lag_24,float64,50,50,50,50,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
max_abs_acf_1_n,max_abs_acf_1_n,float64,50,50,50,50,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
mean_abs_acf_1_n,mean_abs_acf_1_n,float64,50,50,50,50,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
long_lag_max_abs_acf,long_lag_max_abs_acf,float64,50,50,50,50,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
acf_decay_e_cadences,acf_decay_e_cadences,float64,50,34,34,20,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
acf_decay_e_days,acf_decay_e_days,float64,50,34,34,34,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
acf_decay_half_cadences,acf_decay_half_cadences,float64,50,37,37,23,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
acf_decay_half_days,acf_decay_half_days,float64,50,37,37,37,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
acf_first_zero_cadences,acf_first_zero_cadences,float64,50,17,17,15,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
acf_first_zero_days,acf_first_zero_days,float64,50,17,17,17,False,legacy_v1,autocorrelation_memory,autocorrelation_memory
integrated_positive_acf_cadences,integrated_positive_acf_cadences,float64,50,50,50,50,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
integrated_positive_acf_days,integrated_positive_acf_days,float64,50,50,50,50,False,supporting_diagnostic,autocorrelation_memory,autocorrelation_memory
ljung_box_p_lag_10,ljung_box_p_lag_10,float64,50,50,50,7,False,supporting_diagnostic,unassigned,
ljung_box_p_lag_20,ljung_box_p_lag_20,float64,50,50,50,6,False,supporting_diagnostic,unassigned,
ljung_box_p_lag_40,ljung_box_p_lag_40,float64,50,50,50,5,False,supporting_diagnostic,unassigned,
minimum_ljung_box_p,minimum_ljung_box_p,float64,50,50,50,5,False,supporting_diagnostic,unassigned,
rolling_window_cadences,rolling_window_cadences,int64,50,50,50,1,False,supporting_diagnostic,unassigned,
rolling_mean_min,rolling_mean_min,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
rolling_mean_max,rolling_mean_max,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
rolling_mean_range,rolling_mean_range,float64,50,50,50,50,False,supporting_diagnostic,scatter_amplitude,scatter_amplitude
rolling_mean_range_over_robust_scale,rolling_mean_range_over_robust_scale,float64,50,50,50,50,False,supporting_diagnostic,scatter_amplitude,scatter_amplitude
rolling_variance_median,rolling_variance_median,float64,50,50,50,50,False,supporting_diagnostic,variance_evolution,variance_evolution
rolling_variance_iqr,rolling_variance_iqr,float64,50,50,50,50,False,supporting_diagnostic,ambiguous,scatter_amplitude|variance_evolution
rolling_variance_max_to_median,rolling_variance_max_to_median,float64,50,50,50,50,False,supporting_diagnostic,variance_evolution,variance_evolution
flux_mean,flux_mean,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
flux_median,flux_median,float64,50,50,50,50,False,supporting_diagnostic,unassigned,
flux_std,flux_std,float64,50,50,50,50,False,supporting_diagnostic,scatter_amplitude,scatter_amplitude
