scientific_domain,role,n_columns
ambiguous,canonical_source,1
ambiguous,derived_classification,2
ambiguous,supporting_diagnostic,2
autocorrelation_memory,canonical_source,2
autocorrelation_memory,legacy_v1,8
autocorrelation_memory,supporting_diagnostic,17
distribution_shape,canonical_source,2
distribution_shape,supporting_diagnostic,1
periodicity_coherence,canonical_source,1
periodicity_coherence,derived_classification,4
periodicity_coherence,legacy_v1,1
periodicity_coherence,supporting_diagnostic,8
scatter_amplitude,canonical_source,1
scatter_amplitude,supporting_diagnostic,5
spectral_structure,canonical_source,2
spectral_structure,legacy_v1,2
spectral_structure,supporting_diagnostic,12
stationarity,bookkeeping_or_label,1
stationarity,canonical_source,1
stationarity,derived_classification,4
stationarity,supporting_diagnostic,12
unassigned,bookkeeping_identifier,4
unassigned,bookkeeping_or_label,1
unassigned,canonical_source,1
unassigned,derived_classification,3
unassigned,supporting_diagnostic,32
variance_evolution,supporting_diagnostic,2
