,flux_robust_scale,flux_skewness,flux_outlier_fraction,v2_acf_lag_1,v2_acf_decay_e_days,v2_spectral_concentration,v2_spectral_harmonic_power_ratio,v2_ls_dominant_period_days,v2_ls_acf_period_relative_error,v2_segment_scale_relative_mad
flux_robust_scale,1.0,-0.13679472104659884,-0.24813988466080894,0.44254049178940685,0.5356599984034568,0.6123603851571408,-0.04933465395095944,0.057384029692437055,-0.07874889926169439,0.4389958034422704
flux_skewness,-0.13679472104659884,1.0,0.37266074308912395,-0.39649379826734654,-0.24998946004795566,-0.2784964188816804,0.0409252900988731,-0.014660362333855481,0.06142975541973508,-0.22305036712888243
flux_outlier_fraction,-0.24813988466080894,0.37266074308912395,1.0,-0.5435680946708813,-0.3586817240824824,-0.4036868870840681,0.011600322852130288,0.06406410946636129,0.01818078078909788,-0.33029122071598876
v2_acf_lag_1,0.44254049178940685,-0.39649379826734654,-0.5435680946708813,1.0,0.7001926491108517,0.7601305518624731,-0.047902724075252395,-0.06899210334284335,-0.21424908219894878,0.6359098960460231
v2_acf_decay_e_days,0.5356599984034568,-0.24998946004795566,-0.3586817240824824,0.7001926491108517,1.0,0.8135710246795477,-0.04515177488330434,0.1575176908535252,-0.16757714118475958,0.6844878815943842
v2_spectral_concentration,0.6123603851571408,-0.2784964188816804,-0.4036868870840681,0.7601305518624731,0.8135710246795477,1.0,-0.16175333114264806,0.05428581332617152,-0.18426686051023347,0.6519180926405397
v2_spectral_harmonic_power_ratio,-0.04933465395095944,0.0409252900988731,0.011600322852130288,-0.047902724075252395,-0.04515177488330434,-0.16175333114264806,1.0,0.08587174483932414,-0.19840226916519466,-0.020766137964477016
v2_ls_dominant_period_days,0.057384029692437055,-0.014660362333855481,0.06406410946636129,-0.06899210334284335,0.1575176908535252,0.05428581332617152,0.08587174483932414,1.0,-0.1759207069331116,0.08745415681960167
v2_ls_acf_period_relative_error,-0.07874889926169439,0.06142975541973508,0.01818078078909788,-0.21424908219894878,-0.16757714118475958,-0.18426686051023347,-0.19840226916519466,-0.1759207069331116,1.0,-0.2048485010884996
v2_segment_scale_relative_mad,0.4389958034422704,-0.22305036712888243,-0.33029122071598876,0.6359098960460231,0.6844878815943842,0.6519180926405397,-0.020766137964477016,0.08745415681960167,-0.2048485010884996,1.0
