,flux_robust_scale,flux_skewness,flux_outlier_fraction,v2_acf_lag_1,v2_acf_decay_e_days,v2_spectral_concentration,v2_spectral_harmonic_power_ratio,v2_ls_dominant_period_days,v2_ls_acf_period_relative_error,v2_segment_scale_relative_mad
flux_robust_scale,1.0,-0.32748099948099946,-0.3992563193476235,0.37200054000054,0.39526473545845914,0.3884187404187404,-0.122010086010086,0.009443241443241443,-0.14421745237684516,0.3624001704001704
flux_skewness,-0.32748099948099946,1.0,0.7631672744658515,-0.691006147006147,-0.561495784769744,-0.5964551604551604,0.08532483732483732,0.03807287007287007,0.205244091771606,-0.4697918537918538
flux_outlier_fraction,-0.3992563193476235,0.7631672744658515,1.0,-0.6962711370208728,-0.5664122369407788,-0.5844345841039748,0.07611440815221145,0.0688143252843278,0.14334045908504367,-0.48345332482964887
v2_acf_lag_1,0.37200054000054,-0.691006147006147,-0.6962711370208728,1.0,0.7443062219278339,0.8938876978876978,-0.10392023592023591,-0.019086811086811088,-0.3295875534964719,0.7078196158196158
v2_acf_decay_e_days,0.39526473545845914,-0.561495784769744,-0.5664122369407788,0.7443062219278339,1.0,0.7016431921744541,-0.08406649585675888,-0.04456004278960143,-0.41773083923965515,0.609009402873228
v2_spectral_concentration,0.3884187404187404,-0.5964551604551604,-0.5844345841039748,0.8938876978876978,0.7016431921744541,1.0,-0.18820996420996422,0.11277892077892078,-0.5062832170991564,0.7307612027612027
v2_spectral_harmonic_power_ratio,-0.122010086010086,0.08532483732483732,0.07611440815221145,-0.10392023592023591,-0.08406649585675888,-0.18820996420996422,1.0,0.10012853212853212,-0.025676663627327765,-0.06525870525870525
v2_ls_dominant_period_days,0.009443241443241443,0.03807287007287007,0.0688143252843278,-0.019086811086811088,-0.04456004278960143,0.11277892077892078,0.10012853212853212,1.0,0.2771039207471845,0.07854316254316254
v2_ls_acf_period_relative_error,-0.14421745237684516,0.205244091771606,0.14334045908504367,-0.3295875534964719,-0.41773083923965515,-0.5062832170991564,-0.025676663627327765,0.2771039207471845,1.0,-0.2935656373986545
v2_segment_scale_relative_mad,0.3624001704001704,-0.4697918537918538,-0.48345332482964887,0.7078196158196158,0.609009402873228,0.7307612027612027,-0.06525870525870525,0.07854316254316254,-0.2935656373986545,1.0
