ok,target_id,quarter,selection_order,error_type,error
False,9593823,5,103,RuntimeError,"No Kepler light curve found for target='KIC 9593823', quarter=5, author='Kepler', cadence='long'."
False,8686565,5,105,RuntimeError,"No Kepler light curve found for target='KIC 8686565', quarter=5, author='Kepler', cadence='long'."
False,4681357,5,101,RuntimeError,"No Kepler light curve found for target='KIC 4681357', quarter=5, author='Kepler', cadence='long'."
False,9702505,5,106,RuntimeError,"No Kepler light curve found for target='KIC 9702505', quarter=5, author='Kepler', cadence='long'."
False,7060400,5,102,ChunkedEncodingError,"('Connection broken: IncompleteRead(114688 bytes read, 377792 more expected)', IncompleteRead(114688 bytes read, 377792 more expected))"
False,6932971,5,110,RuntimeError,"No Kepler light curve found for target='KIC 6932971', quarter=5, author='Kepler', cadence='long'."
False,8219125,5,111,RuntimeError,"No Kepler light curve found for target='KIC 8219125', quarter=5, author='Kepler', cadence='long'."
False,11073295,5,123,RuntimeError,"No Kepler light curve found for target='KIC 11073295', quarter=5, author='Kepler', cadence='long'."
False,7733146,5,125,RuntimeError,"No Kepler light curve found for target='KIC 7733146', quarter=5, author='Kepler', cadence='long'."
False,8041614,5,127,RuntimeError,"No Kepler light curve found for target='KIC 8041614', quarter=5, author='Kepler', cadence='long'."
False,11924234,5,136,RuntimeError,"No Kepler light curve found for target='KIC 11924234', quarter=5, author='Kepler', cadence='long'."
False,8364600,5,145,RuntimeError,"No Kepler light curve found for target='KIC 8364600', quarter=5, author='Kepler', cadence='long'."
False,11081424,5,155,RuntimeError,"No Kepler light curve found for target='KIC 11081424', quarter=5, author='Kepler', cadence='long'."
False,5773918,5,161,RuntimeError,"No Kepler light curve found for target='KIC 5773918', quarter=5, author='Kepler', cadence='long'."
False,11144902,5,180,RuntimeError,"No Kepler light curve found for target='KIC 11144902', quarter=5, author='Kepler', cadence='long'."
False,8955590,5,183,RuntimeError,"No Kepler light curve found for target='KIC 8955590', quarter=5, author='Kepler', cadence='long'."
False,9595147,5,185,RuntimeError,"No Kepler light curve found for target='KIC 9595147', quarter=5, author='Kepler', cadence='long'."
False,5718230,5,186,RuntimeError,"No Kepler light curve found for target='KIC 5718230', quarter=5, author='Kepler', cadence='long'."
False,6188567,5,194,RuntimeError,"No Kepler light curve found for target='KIC 6188567', quarter=5, author='Kepler', cadence='long'."
False,4821280,5,205,RuntimeError,"No Kepler light curve found for target='KIC 4821280', quarter=5, author='Kepler', cadence='long'."
False,5768295,5,207,RuntimeError,"No Kepler light curve found for target='KIC 5768295', quarter=5, author='Kepler', cadence='long'."
False,3759444,5,223,RuntimeError,"No Kepler light curve found for target='KIC 3759444', quarter=5, author='Kepler', cadence='long'."
False,11414990,5,232,RuntimeError,"No Kepler light curve found for target='KIC 11414990', quarter=5, author='Kepler', cadence='long'."
False,4640576,5,237,RuntimeError,"No Kepler light curve found for target='KIC 4640576', quarter=5, author='Kepler', cadence='long'."
False,4816200,5,263,RuntimeError,"No Kepler light curve found for target='KIC 4816200', quarter=5, author='Kepler', cadence='long'."
False,3870591,5,269,RuntimeError,"No Kepler light curve found for target='KIC 3870591', quarter=5, author='Kepler', cadence='long'."
False,9903377,5,271,RuntimeError,"No Kepler light curve found for target='KIC 9903377', quarter=5, author='Kepler', cadence='long'."
False,6580345,5,274,RuntimeError,"No Kepler light curve found for target='KIC 6580345', quarter=5, author='Kepler', cadence='long'."
False,7217389,5,276,RuntimeError,"No Kepler light curve found for target='KIC 7217389', quarter=5, author='Kepler', cadence='long'."
False,9593820,5,289,RuntimeError,"No Kepler light curve found for target='KIC 9593820', quarter=5, author='Kepler', cadence='long'."
False,7958230,5,292,RuntimeError,"No Kepler light curve found for target='KIC 7958230', quarter=5, author='Kepler', cadence='long'."
False,9761395,5,294,RuntimeError,"No Kepler light curve found for target='KIC 9761395', quarter=5, author='Kepler', cadence='long'."
False,6929817,5,296,RuntimeError,"No Kepler light curve found for target='KIC 6929817', quarter=5, author='Kepler', cadence='long'."
False,12070550,5,295,RuntimeError,"No Kepler light curve found for target='KIC 12070550', quarter=5, author='Kepler', cadence='long'."
False,7744093,5,300,RuntimeError,"No Kepler light curve found for target='KIC 7744093', quarter=5, author='Kepler', cadence='long'."
False,2581626,5,303,RuntimeError,"No Kepler light curve found for target='KIC 2581626', quarter=5, author='Kepler', cadence='long'."
False,8076164,5,313,RuntimeError,"No Kepler light curve found for target='KIC 8076164', quarter=5, author='Kepler', cadence='long'."
False,8051355,5,315,RuntimeError,"No Kepler light curve found for target='KIC 8051355', quarter=5, author='Kepler', cadence='long'."
False,12644136,5,316,RuntimeError,"No Kepler light curve found for target='KIC 12644136', quarter=5, author='Kepler', cadence='long'."
False,5179253,5,319,RuntimeError,"No Kepler light curve found for target='KIC 5179253', quarter=5, author='Kepler', cadence='long'."
False,3941654,5,327,RuntimeError,"No Kepler light curve found for target='KIC 3941654', quarter=5, author='Kepler', cadence='long'."
False,7293217,5,352,RuntimeError,"No Kepler light curve found for target='KIC 7293217', quarter=5, author='Kepler', cadence='long'."
False,8521787,5,355,RuntimeError,"No Kepler light curve found for target='KIC 8521787', quarter=5, author='Kepler', cadence='long'."
False,8454588,5,357,RuntimeError,"No Kepler light curve found for target='KIC 8454588', quarter=5, author='Kepler', cadence='long'."
False,7948776,5,358,RuntimeError,"No Kepler light curve found for target='KIC 7948776', quarter=5, author='Kepler', cadence='long'."
False,5599763,5,364,RuntimeError,"No Kepler light curve found for target='KIC 5599763', quarter=5, author='Kepler', cadence='long'."
False,11708062,5,368,RuntimeError,"No Kepler light curve found for target='KIC 11708062', quarter=5, author='Kepler', cadence='long'."
False,3631317,5,377,RuntimeError,"No Kepler light curve found for target='KIC 3631317', quarter=5, author='Kepler', cadence='long'."
False,6182529,5,388,RuntimeError,"No Kepler light curve found for target='KIC 6182529', quarter=5, author='Kepler', cadence='long'."
False,8542490,5,390,RuntimeError,"No Kepler light curve found for target='KIC 8542490', quarter=5, author='Kepler', cadence='long'."
False,7868445,5,394,RuntimeError,"No Kepler light curve found for target='KIC 7868445', quarter=5, author='Kepler', cadence='long'."
False,5255927,5,396,RuntimeError,"No Kepler light curve found for target='KIC 5255927', quarter=5, author='Kepler', cadence='long'."
False,4824019,5,398,RuntimeError,"No Kepler light curve found for target='KIC 4824019', quarter=5, author='Kepler', cadence='long'."
False,7334953,5,399,RuntimeError,"No Kepler light curve found for target='KIC 7334953', quarter=5, author='Kepler', cadence='long'."
