target_id,quarter,selection_order,population_cohort,flux_robust_scale,flux_skewness,flux_outlier_fraction,v2_acf_lag_1,v2_acf_decay_e_days,original_series_stationarity_conclusion,v2_spectral_concentration,v2_spectral_harmonic_power_ratio,v2_ls_dominant_period_days,v2_ls_acf_period_relative_error,v2_segment_scale_relative_mad,v2_amplitude_population_label,v2_memory_population_label,v2_acf1_operational_label,v2_quiet_candidate,v2_low_scatter_structured_candidate,v2_correlated_stochastic_candidate,v2_evolving_variability_candidate,v2_quasi_periodic_candidate,v2_coherent_periodic_candidate,v2_rotation_spot_review_flag,v2_pulsation_review_flag,v2_dominant_statistical_behaviour
1431791,5,1,development_reference_100,0.0007671345363251,0.5781774285723588,0.0011148272017837,0.0757246009719912,0.020434551344806,stationary_supported,0.0054857187888438,0.7634978568149484,8.929512864683566,,0.0602415780141394,high,typical,weak,False,False,False,False,False,False,False,False,Quasi-periodic / structured
8178142,5,2,development_reference_100,0.0005166418375459,0.9821961239349056,0.0015604101649576,0.1430446951267599,0.0204343966324813,stationary_supported,0.0081418108549027,0.2049120853722476,7.394697185487414,,0.034752566844554,typical,typical,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
5112268,5,3,development_reference_100,0.0025387963060363,4.712098140182294,0.0004458314757021,0.3740849528541705,0.0408689734758809,stationary_supported,0.0511983431300388,0.0196123659148552,10.517656752738596,,0.0538080852924659,high,typical,moderate,False,False,False,False,False,False,False,False,High-amplitude / high-scatter
3115178,5,4,development_reference_100,0.0001341476894273,0.0631467560111404,0.0002229654403567,0.4264957926441057,0.0408690361655317,stationary_supported,0.0024210705197095,0.1298455556509689,12.790903225971904,,0.032174158142404,low,typical,moderate,False,True,False,False,False,False,False,False,Low-scatter structured
8837487,5,5,development_reference_100,0.0001618143554881,31.200582592086334,0.0013374944271065,0.0190063560163944,0.0204343832010636,stationary_supported,0.000726632919543,0.0788831597190113,47.32602167669393,,0.0392621715219914,low,typical,weak,False,True,False,False,False,False,False,False,Low-scatter structured
2578061,5,6,development_reference_100,0.0003025553963876,3.951833149107532,0.0011145786892554,0.0532074123662347,0.0204345330712385,stationary_supported,0.0015868625272935,0.0659643983898942,11.543018804969854,,0.0323564778604978,typical,low,weak,False,False,False,False,False,False,False,False,Low-scatter structured
6608963,5,7,development_reference_100,0.0003435645318211,-0.1843047350297414,0.0,0.6181767926462116,0.7356392384972423,stationary_supported,0.0281973125496532,0.0979664101918628,4.465078277739442,,0.225394547815224,typical,typical,strong,False,False,False,True,False,False,False,False,Evolving variability
7949968,5,8,development_reference_100,0.0001157519885015,0.5600682602035424,0.0006687472135532,0.1948594571964982,0.020434346566617,stationary_supported,0.0146432768071981,0.2996782696562132,10.288945531847787,,0.0466151878500038,low,typical,weak,False,True,False,False,False,False,False,False,Low-scatter structured
5394284,5,9,development_reference_100,0.003438681339743,-0.0268824576749124,0.000222915737851,0.9174313265276428,4.229942706821021,inconclusive_low_power,0.0991043047626067,0.7486427664905471,33.80450835720471,,0.0799851819801362,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
4544745,5,10,development_reference_100,0.0004071608369456,1.8019318240839484,0.0008918617614269,0.0326342308053144,0.0204344500380102,stationary_supported,0.0022036154936929,0.5361061683169509,15.2665082811504,,0.0047938958991951,typical,low,weak,False,False,False,False,False,False,False,False,Mixed / complex
