case_index,injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,gp_converged,gp_log_marginal_likelihood,gp_training_point_count,gp_signal_variance,gp_length_scale_days,gp_measurement_noise_variance,observed_depth_before_gp,gp_residual_depth,depth_retention_fraction,local_snr_before_gp,local_snr_after_gp,snr_retention_fraction,gp_bls_recovered_period_days,gp_bls_recovered_power,gp_bls_period_error_fraction,gp_bls_exact_period_error_fraction,gp_bls_period_matched,gp_bls_exact_period_matched,gp_bls_exact_period_rank_top5,gp_bls_fap_1_percent_threshold,gp_bls_passes_fap_1_percent,gp_bls_recovered_at_fap_1_percent,gp_bls_exact_recovered_at_fap_1_percent,gp_tcf_recovered_period_days,gp_tcf_recovered_score,gp_tcf_recovered_raw_pooled_score,gp_tcf_valid_transit_events,gp_tcf_positive_event_fraction,gp_tcf_period_error_fraction,gp_tcf_exact_period_error_fraction,gp_tcf_period_matched,gp_tcf_exact_period_matched,gp_tcf_exact_period_rank_top10,gp_tcf_half_period_rank_top10,gp_tcf_double_period_rank_top10,gp_tcf_top_periods_json,gp_tcf_top_scores_json,gp_tcf_fap_1_percent_threshold,gp_tcf_passes_fap_1_percent,gp_tcf_recovered_at_fap_1_percent,gp_tcf_exact_recovered_at_fap_1_percent
0,2.0,443.81122690278136,0.15,2.0,0.0002,True,3808.278832145189,512,1.0941018707017737e-08,2.1976336519326862,3.4820112431031927e-09,0.0001916158001606048,0.0001843911019191963,0.9622959159142772,20.67985900379031,38.20622537729094,1.8475089878653579,2.5135135135135136,0.0016931442561222603,0.2567567567567568,0.2567567567567568,False,False,,0.0016834009930453,True,False,False,1.9996999699969997,15.97297015205681,12.58293659463173,44,0.9318181818181818,0.0001500150015001367,0.0001500150015001367,True,True,1.0,4,7.0,"[1.9996999699969997, 1.6748674867486748, 2.5135513551355135, 1.0, 5.998499849984999, 3.350835083508351, 4.000500050005, 4.186718671867187, 11.998099809980998, 5.864086408640864]","[15.97297015205681, 14.803792942067812, 13.390702470572986, 12.072376373094912, 11.846888915039944, 11.41483874752314, 11.103469297930078, 10.971887646491084, 10.774494998199343, 10.199957511383603]",15.774956819743023,True,True,True
1,2.0,444.4112269027813,0.45,2.0,0.0002,False,3858.8588077850536,512,9.628826758336341e-09,1.0,3.7807255985230304e-09,0.0001994335000108592,0.0001942370589350877,0.9739439909769997,21.73328225026187,40.613071260120655,1.868703990150006,2.5135135135135136,0.0017150192454340168,0.2567567567567568,0.2567567567567568,False,False,,0.0016834009930453,True,False,False,1.9996999699969997,16.068662467202646,15.256371563423805,46,0.9565217391304348,0.0001500150015001367,0.0001500150015001367,True,True,1.0,3,5.0,"[1.9996999699969997, 2.5135513551355135, 1.0, 3.3480348034803478, 4.001900190019002, 5.997099709970997, 5.028202820282028, 5.864086408640864, 4.186718671867187, 9.998699869986998]","[16.068662467202646, 13.277663828778389, 13.117274268347611, 12.170134095742004, 11.639798138512639, 11.028883815287866, 10.83318266865391, 10.541678322586389, 10.458621586325215, 10.305578530670818]",15.774956819743023,True,True,True
2,2.0,445.01122690278135,0.75,2.0,0.0002,True,3839.42570640704,512,9.066022559361664e-09,1.7505666327677647,3.429020088454775e-09,0.00019949015000977327,0.00019875166322623779,0.9962981290880812,22.332656466137863,43.158022805655165,1.9325073517829818,3.998998998998999,0.0018795915431908039,0.00025025025025027237,0.9994994994994995,True,False,5.0,0.0016834009930453,True,True,False,1.9996999699969997,16.203501363007454,16.181843067987394,45,0.9555555555555556,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,4.0,"[1.9996999699969997, 1.0, 2.5135513551355135, 4.000500050005, 3.3494349434943493, 6.004100410041004, 5.864086408640864, 10.002900290029002, 5.026802680268027, 13.983498349834983]","[16.203501363007454, 14.247917632427004, 13.435626268681059, 12.501561816805863, 11.535224634913389, 11.28533175971227, 10.931687289283904, 10.815222665300169, 10.675968433043323, 10.634853764510137]",15.774956819743023,True,True,True
3,2.0,443.81122690278136,0.15,2.0,0.0005,False,3221.5948314260977,512,4.5497866060232366e-08,1.0,3.850329395491928e-09,0.0004916158001606048,0.0004539928766843222,0.9234708822133225,53.05692653129681,81.47041010039837,1.5355282604306382,1.0,0.004008222810334122,0.0,0.5,True,False,5.0,0.0016834009930453,True,True,False,1.9996999699969997,30.6968440436483,28.318312904945017,44,0.9772727272727273,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,3.0,"[1.9996999699969997, 1.0, 4.000500050005, 6.001300130013001, 8.000700070007, 4.998799879987999, 11.998099809980998, 6.996799679967997, 10.005700570057005, 9.001800180018002]","[30.6968440436483, 24.477301854482146, 22.554205158017638, 19.957784521724513, 17.29256033176767, 16.8698905106746, 16.137848878994483, 15.268140977042473, 15.224011663311034, 14.76494366429]",15.774956819743023,True,True,True
4,2.0,444.4112269027813,0.45,2.0,0.0005,False,3348.974684828311,512,3.0993072130000554e-08,1.0,3.953563388231505e-09,0.0004994335000108592,0.0004725569073033032,0.9461858431463416,54.425807200802005,88.10363150190068,1.618784103225986,1.0,0.00392313953130602,0.0,0.5,True,False,4.0,0.0016834009930453,True,True,False,2.0011001100110013,32.31649223128421,30.603477086802737,46,1.0,0.0005500550055006492,0.0005500550055006492,True,True,1.0,2,3.0,"[2.0011001100110013, 1.0, 4.001900190019002, 5.997099709970997, 7.997899789978998, 9.998699869986998, 5.0002000200020005, 6.999599959995999, 8.997599759975998, 11.996699669966997]","[32.31649223128421, 28.32245300483015, 23.64020808938288, 20.019580186822566, 17.72118688042689, 17.26278179650732, 17.0067405900521, 16.034282905315695, 15.773297218818698, 15.516018836958086]",15.774956819743023,True,True,True
5,2.0,445.01122690278135,0.75,2.0,0.0005,False,3532.6317581019794,512,1.713425102258086e-08,1.0,3.459882215928331e-09,0.0004994901500097733,0.00049588353611353,0.9927794093713906,55.917256705864624,100.06118851506393,1.789450956820088,1.0,0.00429563313129584,0.0,0.5,True,False,3.0,0.0016834009930453,True,True,False,1.9996999699969997,34.677400755907286,34.092893422711796,46,1.0,0.0001500150015001367,0.0001500150015001367,True,True,1.0,2,3.0,"[1.9996999699969997, 1.0, 3.9976997699769976, 5.998499849984999, 5.001600160016001, 8.002100210021002, 10.002900290029002, 13.983498349834983, 9.000400040004001, 6.996799679967997]","[34.677400755907286, 33.133296936398956, 25.642149480423672, 22.14748081051626, 20.893408685334098, 19.568667833632293, 18.94272434514727, 17.72293563279662, 17.156585045769575, 17.060678038298494]",15.774956819743023,True,True,True
6,2.0,443.81122690278136,0.15,2.0,0.001,False,1172.0165473708519,512,4.3781745254698164e-07,1.0,3.850329395491928e-09,0.0009916158001606048,0.0008300131359777725,0.837030970909642,107.01870574380764,100.60838770166981,0.9401009571403012,1.0,0.007986900725004855,0.0,0.5,True,False,,0.0016834009930453,True,True,False,1.0,42.088971659720805,29.979124015017565,88,0.8409090909090909,0.0,0.5,True,False,2.0,1,3.0,"[1.0, 2.0011001100110013, 3.9976997699769976, 6.001300130013001, 5.0002000200020005, 8.000700070007, 6.996799679967997, 10.005700570057005, 9.003200320032002, 11.999499949994998]","[42.088971659720805, 41.13602650642758, 30.262502727119532, 25.76006866464189, 24.55903943779913, 22.479605101401233, 21.66560966388987, 20.07712346641819, 19.195421834613647, 18.948624110602804]",15.774956819743023,True,True,False
7,2.0,444.4112269027813,0.45,2.0,0.001,False,1582.4710760724627,512,3.5204218599499696e-07,1.0,3.953563388231505e-09,0.0009994335000108592,0.0008882782844484753,0.8887817793168069,108.91334878503557,117.12932308805885,1.0754358799419466,1.0,0.007952708018892255,0.0,0.5,True,False,5.0,0.0016834009930453,True,True,False,1.0,50.548957595523156,32.30586213248148,90,0.7888888888888889,0.0,0.5,True,False,2.0,1,3.0,"[1.0, 2.0011001100110013, 4.001900190019002, 6.0027002700270025, 4.998799879987999, 7.997899789978998, 6.999599959995999, 9.000400040004001, 9.998699869986998, 11.002600260026002]","[50.548957595523156, 44.994555814536334, 32.534847323307304, 27.008570047371503, 26.017060759280465, 23.92892888583338, 23.210430387027024, 22.16040898088759, 21.863555546814453, 20.325261216559454]",15.774956819743023,True,True,False
8,2.0,445.01122690278135,0.75,2.0,0.001,False,2536.2357684984026,512,1.6422051793001702e-07,1.0,3.459882215928331e-09,0.0009994901500097733,0.0009842501547664927,0.9847522306816815,111.89159043874255,176.50772046392206,1.5774887082381315,1.0,0.008355256186867221,0.0,0.5,True,False,4.0,0.0016834009930453,True,True,False,1.0,66.53803045397974,42.60521083049397,92,0.7934782608695652,0.0,0.5,True,False,2.0,1,3.0,"[1.0, 1.9982998299829982, 3.996299629962996, 5.998499849984999, 5.0002000200020005, 7.999299929992999, 6.993999399939994, 10.002900290029002, 9.004600460046005, 12.003700370037004]","[66.53803045397974, 60.28678975501543, 43.62368702767696, 36.7137914594734, 36.47734656478425, 32.22941409030991, 31.004349086226227, 29.98566565350984, 28.388972930902273, 27.8040513849982]",15.774956819743023,True,True,False
9,2.0,443.81122690278136,0.15,4.0,0.0002,False,3748.434206935289,512,1.154437211858283e-08,1.0,3.854992222069563e-09,0.0001987537000238902,0.00018661584717608398,0.9389301791798228,30.922265339260868,55.9191526141154,1.8083782672648143,1.0,0.0023858890124485617,0.0,0.5,True,False,3.0,0.0016834009930453,True,True,False,1.9996999699969997,14.921859123481386,11.907091405689279,44,0.9545454545454546,0.0001500150015001367,0.0001500150015001367,True,True,1.0,4,5.0,"[1.9996999699969997, 1.6748674867486748, 2.5135513551355135, 1.0, 4.000500050005, 3.3480348034803478, 5.862686268626862, 6.001300130013001, 11.998099809980998, 4.185318531853185]","[14.921859123481386, 14.493861608870377, 12.878589224522695, 12.557378027023892, 12.048684675542109, 11.952154854622554, 10.89677170346479, 10.76262151114012, 10.304414226046932, 10.102679439912967]",15.774956819743023,False,False,False
