retention_metric,method,pearson_correlation_with_recovery,spearman_correlation_with_recovery,median_when_recovered,median_when_missed
gp_depth_retention_fraction,raw_bls,-0.2642358181701741,-0.2709187193968549,0.837030970909642,0.9146862178551722
gp_depth_retention_fraction,existing_tcf,-0.07004550128318986,-0.06483272262156747,0.8472754546113161,0.8581731512561503
gp_depth_retention_fraction,kalman_bls,-0.17033648093512627,-0.17893831443552619,0.840037144436919,0.9389301791798228
gp_depth_retention_fraction,kalman_tcf,-0.03797747765280375,-0.006982441221568424,0.850183809785808,0.8547832265475763
gp_depth_retention_fraction,gp_bls,-0.0747133856314952,-0.08141231634252438,0.8443670994368243,0.8751501608388761
gp_depth_retention_fraction,gp_tcf,-0.1473765128377105,-0.10890397632562003,0.8436205135059198,0.8738421677004802
gp_snr_retention_fraction,raw_bls,-0.3885008488830865,-0.430118379248615,1.425226946779932,1.7728171612009458
gp_snr_retention_fraction,existing_tcf,-0.26381708242109236,-0.2787807072727401,1.4545788324119981,1.6859542887908074
gp_snr_retention_fraction,kalman_bls,-0.34319026585887347,-0.38121640901481674,1.4302425107910826,1.8083782672648143
gp_snr_retention_fraction,kalman_tcf,-0.22674365611217415,-0.22064514260156223,1.4738995900217629,1.6637638155283911
gp_snr_retention_fraction,gp_bls,-0.1977020315242888,-0.20530062382027886,1.4941472098893305,1.6926686174762007
gp_snr_retention_fraction,gp_tcf,-0.35872957102591807,-0.35715820192810865,1.4234666298758416,1.6859542887908074
