injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,injected_epoch_days,observable_transit_count,in_transit_observation_count,raw_bls_recovered_period_days,raw_bls_recovered_score,raw_bls_period_matched,raw_bls_passes_fap_1_percent,raw_bls_recovered,existing_tcf_recovered_period_days,existing_tcf_recovered_score,existing_tcf_period_matched,existing_tcf_passes_fap_1_percent,existing_tcf_recovered,existing_tcf_exact_period_present_top10,existing_tcf_exact_period_rank_top10,kalman_depth_retention_fraction,kalman_snr_retention_fraction,kalman_bls_recovered_period_days,kalman_bls_recovered_power,kalman_bls_recovered,kalman_tcf_recovered_period_days,kalman_tcf_recovered_score,kalman_tcf_recovered,gp_depth_retention_fraction,gp_snr_retention_fraction,gp_length_scale_days,gp_bls_recovered_period_days,gp_bls_recovered_power,gp_bls_recovered,gp_tcf_recovered_period_days,gp_tcf_recovered_score,gp_tcf_recovered,gp_tcf_exact_period_rank_top10,existing_bls_tcf_union,existing_without_gp_union,raw_bls_union_gp_tcf,existing_bls_tcf_union_gp_tcf,existing_bls_tcf_kalman_tcf_union_gp_tcf,all_six_union,gp_tcf_only_vs_raw_bls,raw_bls_only_vs_gp_tcf,gp_tcf_unique_vs_existing_without_gp,gp_bls_unique_vs_existing_without_gp
2.0,4.0,0.0002,0.15,443.81122690278136,48,373,3.998998998998999,64.60080036781211,True,True,True,1.9996999699969995,25.736685752190557,True,True,True,True,1,0.1451922103577792,0.278712579731972,2.5135135135135136,0.0009760822898582,False,1.9996999699969995,27.047052179756307,True,0.9389301791798228,1.8083782672648143,1.0,1.0,0.0023858890124485,True,1.9996999699969995,14.921859123481386,False,1.0,True,True,True,True,True,True,False,True,False,False
2.0,4.0,0.0002,0.45,444.4112269027813,47,377,3.998998998998999,64.57918212642868,True,True,True,2.512151215121512,18.25335527861923,False,True,False,True,3,0.1505654627073705,0.2890822993297351,2.5135135135135136,0.000992530164619,False,1.9996999699969995,19.363522258194887,True,0.9993371222289652,1.8990637020435397,1.9816095074208624,3.998998998998999,0.0024382144994518,True,1.9996999699969995,15.635566616455964,False,1.0,True,True,True,True,True,True,False,True,False,False
2.0,8.0,0.0002,0.15,443.81122690278136,48,740,1.994994994994995,102.90873210563257,True,True,True,2.512151215121512,17.83829639916278,False,True,False,True,2,0.0748791527846694,0.1430824344722208,2.5135135135135136,0.0009868051641623,False,1.9996999699969995,18.81458063196466,True,0.9471205195798528,1.8315386004789376,2.097919795530979,1.994994994994995,0.0038435950730609,True,1.996899689968997,12.708329884743648,False,1.0,True,True,True,True,True,True,False,True,False,False
2.0,8.0,0.0002,0.45,444.4112269027813,48,743,1.994994994994995,104.64023960905142,True,True,True,2.512151215121512,18.169332748332216,False,True,False,True,2,0.0775025832244274,0.1464493993345111,3.998998998998999,0.0009710835608215,True,2.512151215121512,18.173428194781863,False,0.8278361389736699,1.547844476841226,1.0,1.994994994994995,0.0030739719887579,True,1.9996999699969995,12.056674904311892,False,1.0,True,True,True,True,True,True,False,True,False,False
2.0,8.0,0.0002,0.75,445.01122690278135,47,747,1.994994994994995,109.61363879506654,True,True,True,2.512151215121512,18.50501792634944,False,True,False,True,2,0.0854819970849488,0.1620761872380016,2.5135135135135136,0.0009636493486736,False,1.9996999699969995,19.01750123034096,True,0.9944286319960364,1.9091020938127323,2.1282316390394223,1.994994994994995,0.0041311809364807,True,2.0039003900390036,14.162584197692013,False,1.0,True,True,True,True,True,True,False,True,False,False
5.0,4.0,0.0002,0.45,445.76122690278135,19,143,5.008008008008008,61.21730846881703,True,True,True,2.512151215121512,18.620477395857996,True,True,True,True,2,0.1421715858015526,0.2813443010762781,2.5135135135135136,0.0010274558784916,True,2.512151215121512,19.413473150463513,True,0.985765212610464,1.884986059447393,1.9250534626468392,5.008008008008008,0.002187432029303,True,1.6748674867486748,15.115631613694667,False,3.0,True,True,True,True,True,True,False,True,False,False
5.0,8.0,0.0002,0.15,444.26122690278135,19,290,5.008008008008008,89.44472498017102,True,True,True,2.512151215121512,19.028352776201658,True,True,True,True,3,0.0883863373279331,0.1746896679333121,2.5135135135135136,0.0011138620866569,True,2.512151215121512,19.16665922438866,True,0.8137563032993165,1.4941472098893305,1.0,5.008008008008008,0.002649846955586,True,5.025402540254025,15.377539618342167,False,1.0,True,True,True,True,True,True,False,True,False,False
5.0,8.0,0.0002,0.45,445.76122690278135,19,287,5.008008008008008,89.42314222091917,True,True,True,2.512151215121512,18.66362936396835,True,True,True,True,4,0.0957544152707759,0.1893387976025833,2.5135135135135136,0.001032352557318,True,2.512151215121512,19.264339785285472,True,0.7557215171451787,1.383301333876194,1.0,5.008008008008008,0.0025271601809323,True,1.6762676267626762,14.914365476400668,False,2.0,True,True,True,True,True,True,False,True,False,False
5.0,8.0,0.0002,0.75,447.26122690278135,19,308,4.993993993993994,79.1590368483625,True,True,True,2.512151215121512,18.67674940827868,True,True,True,True,4,0.0864036377934758,0.1673278517060966,2.5135135135135136,0.0010287178451583,True,2.512151215121512,18.95826417090227,True,0.7422845553117182,1.3250160880837203,1.0,4.993993993993994,0.0022254679276794,True,1.6748674867486748,14.327234159217143,False,4.0,True,True,True,True,True,True,False,True,False,False
10.0,8.0,0.0002,0.15,445.01122690278135,10,153,9.996996996996996,69.36315906258235,True,True,True,2.512151215121512,18.757924885251526,False,True,False,True,10,0.1249946197607825,0.2459929052817192,2.5135135135135136,0.0010440028173771,False,2.512151215121512,19.739777371276677,False,0.7763498606459563,1.4651523612410309,1.0,9.996996996996996,0.0018894573000072,True,1.6748674867486748,15.293666708832966,False,5.0,True,True,True,True,True,True,False,True,False,False
