period,score,raw_pooled_score,epoch,duration,edge_amplitude,n_edge_observations,n_valid_transit_events,n_positive_transit_events,positive_event_fraction,median_event_score,periodogram_index,rank,period_days
2.512151215121512,19.66442300765913,18.34074450289429,444.818976503961,0.0625,0.0002878057004571709,74.0,37.0,37.0,1.0,3.2328112284033295,240.0,1,2.512151215121512
3.3494349434943493,17.322714417207596,15.477780977300226,443.9815796545199,0.0625,0.0002914445750113674,56.0,28.0,28.0,1.0,3.2736853128946057,409.0,2,3.3494349434943493
4.186718671867187,14.626812928362895,15.001142131421133,445.65625925662647,0.0625,0.0002776242589283397,44.0,22.0,22.0,1.0,3.118446994326473,575.0,3,4.186718671867187
5.024002400240024,14.523216317761147,13.31409075040483,447.33090147694605,0.0625,0.00029662315595649607,38.0,19.0,19.0,1.0,3.331854329700091,789.0,4,5.024002400240024
5.8612861286128615,14.106894839619255,13.615160959820642,443.9815627974335,0.0625,0.00031397168468428536,32.0,16.0,16.0,1.0,3.5267237099048137,959.0,5,5.8612861286128615
6.698569856985698,12.509975543756786,10.608395969537565,443.9815599879191,0.0625,0.0002976538392184435,28.0,14.0,14.0,1.0,3.343431600118495,1124.0,6,6.698569856985698
8.373137313731373,12.124572185005537,11.437184091626273,445.65618351734526,0.0625,0.0003254536350649415,22.0,11.0,11.0,1.0,3.655696061931173,1460.0,7,8.373137313731373
7.541454145414542,11.65606664790393,9.777809756639556,444.7789483819076,0.0625,0.0002878057004571709,26.0,13.0,12.0,0.9230769230769231,3.2328112284033295,1294.0,8,7.541454145414542
10.047704770477047,11.12519206183387,9.995515880557518,447.33078835587787,0.0625,0.0003132034685493665,20.0,10.0,10.0,1.0,3.5180946322219837,1795.0,9,10.047704770477047
11.723672367236723,10.967088185793518,10.085878182106681,443.98160400364475,0.0625,0.0003254536350649415,18.0,9.0,9.0,1.0,3.655696061931173,2228.0,10,11.723672367236723
