combination,methods,injection_count,recovered_count,recovery_rate,new_recoveries_over_raw_bls_count,new_recoveries_over_raw_bls_rate
raw_bls,raw_bls_recovered,81,67,0.8271604938271605,0,0.0
existing_tcf,existing_tcf_recovered,81,64,0.7901234567901234,5,0.06172839506172839
kalman_bls,kalman_bls_recovered,81,64,0.7901234567901234,5,0.06172839506172839
kalman_tcf,kalman_tcf_recovered,81,67,0.8271604938271605,4,0.04938271604938271
raw_bls_union_existing_tcf,raw_bls_recovered+existing_tcf_recovered,81,72,0.8888888888888888,5,0.06172839506172839
raw_bls_union_kalman_bls,raw_bls_recovered+kalman_bls_recovered,81,72,0.8888888888888888,5,0.06172839506172839
raw_bls_union_kalman_tcf,raw_bls_recovered+kalman_tcf_recovered,81,71,0.8765432098765432,4,0.04938271604938271
existing_tcf_union_kalman_tcf,existing_tcf_recovered+kalman_tcf_recovered,81,68,0.8395061728395061,5,0.06172839506172839
raw_bls_union_existing_tcf_union_kalman_tcf,raw_bls_recovered+existing_tcf_recovered+kalman_tcf_recovered,81,72,0.8888888888888888,5,0.06172839506172839
all_four_union,raw_bls_recovered+existing_tcf_recovered+kalman_bls_recovered+kalman_tcf_recovered,81,72,0.8888888888888888,5,0.06172839506172839
