first_method,second_method,injection_count,first_recovered_count,second_recovered_count,both_recovered_count,first_only_count,second_only_count,neither_count,first_recovery_rate,second_recovery_rate,intersection_recovery_rate,union_recovery_rate,incremental_recoveries_contributed_by_second,incremental_recovery_rate_contributed_by_second
raw_bls,existing_tcf,81,67,64,59,8,5,9,0.8271604938271605,0.7901234567901234,0.7283950617283951,0.8888888888888888,5,0.06172839506172839
raw_bls,kalman_bls,81,67,64,59,8,5,9,0.8271604938271605,0.7901234567901234,0.7283950617283951,0.8888888888888888,5,0.06172839506172839
raw_bls,kalman_tcf,81,67,67,63,4,4,10,0.8271604938271605,0.8271604938271605,0.7777777777777778,0.8765432098765432,4,0.04938271604938271
existing_tcf,raw_bls,81,64,67,59,5,8,9,0.7901234567901234,0.8271604938271605,0.7283950617283951,0.8888888888888888,8,0.09876543209876543
existing_tcf,kalman_bls,81,64,64,62,2,2,15,0.7901234567901234,0.7901234567901234,0.7654320987654321,0.8148148148148148,2,0.024691358024691357
existing_tcf,kalman_tcf,81,64,67,63,1,4,13,0.7901234567901234,0.8271604938271605,0.7777777777777778,0.8395061728395061,4,0.04938271604938271
kalman_bls,raw_bls,81,64,67,59,5,8,9,0.7901234567901234,0.8271604938271605,0.7283950617283951,0.8888888888888888,8,0.09876543209876543
kalman_bls,existing_tcf,81,64,64,62,2,2,15,0.7901234567901234,0.7901234567901234,0.7654320987654321,0.8148148148148148,2,0.024691358024691357
kalman_bls,kalman_tcf,81,64,67,62,2,5,12,0.7901234567901234,0.8271604938271605,0.7654320987654321,0.8518518518518519,5,0.06172839506172839
kalman_tcf,raw_bls,81,67,67,63,4,4,10,0.8271604938271605,0.8271604938271605,0.7777777777777778,0.8765432098765432,4,0.04938271604938271
kalman_tcf,existing_tcf,81,67,64,63,4,1,13,0.8271604938271605,0.7901234567901234,0.7777777777777778,0.8395061728395061,1,0.012345679012345678
kalman_tcf,kalman_bls,81,67,64,62,5,2,12,0.8271604938271605,0.7901234567901234,0.7654320987654321,0.8518518518518519,2,0.024691358024691357
