configuration,parameter_mode,process_variance,measurement_variance,process_to_measurement_ratio,converged,log_likelihood,residual_std,residual_mean,max_abs_residual_acf_1_24,mean_abs_residual_acf_1_24,minimum_ljung_box_p,rolling_var_max_to_median,arch_pvalue,kalman_gain_median,kalman_gain_in_transit_median,observed_depth_before_kalman,kalman_residual_depth,depth_retention_fraction,predicted_background_depth_fraction,filtered_background_depth_fraction,local_snr_before_kalman,local_snr_after_kalman,snr_retention_fraction,bls_recovered_period_days,bls_score,bls_period_error_fraction,bls_period_matched,tcf_recovered_period_days,tcf_score,tcf_raw_pooled_score,tcf_period_error_fraction,tcf_period_matched
fixed_q_over_r_0.001,fixed_ratio_reference_measurement_noise,2.6944598998106364e-12,2.6944598998106362e-09,0.001,True,9830.864628108935,0.00019368805536405237,-9.023927323474351e-07,0.7896864304582594,0.15219911397872468,0.0,9.898939102029232,0.0,0.031175279120873315,0.031181598504590284,0.0009817587003493325,0.0009105374666885872,0.9274554596405379,0.08116916854477621,0.11135324547482738,96.14872746845657,135.74398024693204,1.411812551460605,4.993993993993994,0.008880715252020898,0.0012012012012011298,True,2.498149814981498,44.376633084830374,27.68071173449471,0.0007400740074007927,True
fixed_q_over_r_0.0001,fixed_ratio_reference_measurement_noise,2.6944598998106366e-13,2.6944598998106362e-09,0.00010000000000000002,True,5359.152925108213,0.0002054599430679423,-2.1260429771985734e-07,0.8166615259620956,0.18048847333678517,0.0,11.187552100166359,0.0,0.010009656816892728,0.010007871930742747,0.0009817587003493325,0.000978857409679851,0.997044802690876,0.002819282843892366,0.014208378520726142,96.14872746845657,126.95426056728601,1.3203946002190803,4.993993993993994,0.009656258011168989,0.0012012012012011298,True,2.500950095009501,38.83838268461846,21.938242492970723,0.0003800380038004647,True
fixed_q_over_r_0.01,fixed_ratio_reference_measurement_noise,2.6944598998106362e-11,2.6944598998106362e-09,0.01,True,16370.622309115779,0.00017685739159254137,-6.742610628173795e-07,0.7342083774306261,0.17075693645035409,0.0,8.05983302175946,0.0,0.09512535618283711,0.09512564202394894,0.0009817587003493325,0.0007128339028908202,0.7260785187207177,0.29107753979699896,0.3573810429909549,96.14872746845657,122.78137921569467,1.2769943237779766,4.993993993993994,0.0071181140749446035,0.0012012012012011298,True,5.0002000200020005,63.288475033484936,61.18304500783607,4.0004000400095666e-05,True
fixed_q_over_r_0.03,fixed_ratio_reference_measurement_noise,8.083379699431909e-11,2.6944598998106362e-09,0.03,True,20828.87848445513,0.00016445544607269884,-4.3799548375190517e-07,0.6779806298721198,0.15418168405585816,0.0,7.2641901222883085,0.0,0.15885338710705887,0.15885338855103934,0.0009817587003493325,0.0005495398209160701,0.5597503956120085,0.45694295855477024,0.5429928598099226,96.14872746845657,97.60750061887185,1.0151720484381228,4.993993993993994,0.005913399957830068,0.0012012012012011298,True,5.0002000200020005,71.51736858750107,69.91896811500254,4.0004000400095666e-05,True
fixed_q_over_r_0.1,fixed_ratio_reference_measurement_noise,2.694459899810636e-10,2.6944598998106362e-09,0.1,True,26104.538895132184,0.00014817820637263724,-2.3509656236899707e-07,0.5714461007567369,0.11931883599741111,0.0,5.925984924903663,4.8572329021e-311,0.2701562118716434,0.2701562118716517,0.0009817587003493325,0.00033410848092938974,0.3403162923949706,0.6692096385445198,0.7470791664112899,96.14872746845657,60.699596933229174,0.6313094154381069,4.993993993993994,0.004522860135339937,0.0012012012012011298,True,5.0002000200020005,81.22281418451917,77.83300766496762,4.0004000400095666e-05,True
fixed_q_over_r_0.3,fixed_ratio_reference_measurement_noise,8.083379699431909e-10,2.6944598998106362e-09,0.3,True,30200.24515884632,0.00013421740541452233,-1.1057435169928201e-07,0.4188420325275871,0.08149654086174031,0.0,6.3804220941103145,6.366125413253892e-196,0.41789083458002735,0.41789083458002735,0.0009817587003493325,0.00015573537959406007,0.15862897832089068,0.8255445777514044,0.879472493450963,96.14872746845657,29.256349619142966,0.30428223429936785,4.993993993993994,0.0033107971621596207,0.0012012012012011298,True,5.0002000200020005,87.0437471323365,81.74191801217127,4.0004000400095666e-05,True
mle_original_applied_to_injected,estimated_on_original_flux,1.3696946993077846e-09,3.1300770253820903e-09,0.43759137177801083,True,31980.726023838648,0.000130418819304777,-8.044786733781037e-08,0.3554597637691324,0.06916768156093948,1.0617619009800315e-299,6.183495396524507,3.011989527276857e-168,0.47795600872081123,0.47795600872081123,0.0009817587003493325,0.00010607618809487718,0.10804710776398806,0.868213004178887,0.9169305369710408,96.14872746845657,20.019240264133295,0.2082111827293917,4.993993993993994,0.003042725191191391,0.0012012012012011298,True,5.0002000200020005,88.05187916200188,82.09927133645635,4.0004000400095666e-05,True
fixed_q_over_r_1,fixed_ratio_reference_measurement_noise,2.6944598998106362e-09,2.6944598998106362e-09,1.0,True,33033.47530027775,0.00012464877529129017,-3.526458558713789e-08,0.2644089765291389,0.04716179302844268,6.31599071744325e-144,5.915566014290646,1.406736767932158e-130,0.6180339887498948,0.6180339887498948,0.0009817587003493325,5.820051346498517e-05,0.05928189222491848,0.9290980467778862,0.9542779519430236,96.14872746845657,10.900502017433444,0.11337125622395328,9.996996996996996,0.0025597126678026157,0.00030030030030037125,True,5.0002000200020005,88.42601494950517,81.15633647930485,4.0004000400095666e-05,True
fixed_q_over_r_3.686,fixed_ratio_reference_measurement_noise,9.932604909164124e-09,2.6944598998106362e-09,3.6863064504549414,True,34049.837915287644,0.0001219146554931567,-1.0509880078229722e-08,0.23839370185258435,0.0256590929714841,5.366307866179205e-60,5.144734777386586,3.266584598306229e-110,0.8183351294570598,0.8183351294570598,0.0009817587003493325,2.836639474129421e-05,0.028893448798773865,0.9632729683535857,0.9882800967713614,96.14872746845657,5.141099506812266,0.05347028132534465,9.996996996996996,0.0021000117828437657,0.00030030030030037125,True,5.0002000200020005,85.528860477031,76.48985309073859,4.0004000400095666e-05,True
mle_injected_reference,estimated_on_injected_flux,9.93260312218886e-09,2.6944598998106362e-09,3.686305787251431,True,34049.837915290205,0.00012191465550574181,-1.0509880872704934e-08,0.23839370418864378,0.02565909477858792,5.366272575570371e-60,5.144734865663069,3.266574543553626e-110,0.8183351068229582,0.8183351068229582,0.0009817587003493325,2.8366394841056273e-05,0.02889344890038953,0.9632729662853283,0.9882800933448807,96.14872746845657,5.141099490959631,0.05347028116046847,9.996996996996996,0.0021000118306826955,0.00030030030030037125,True,5.0002000200020005,85.52886009851852,76.48985297680426,4.0004000400095666e-05,True
