stratification,bucket,injection_groups,candidate_generation_misses,miss_rate,bls_harmonic_candidate_rate_among_misses,tcf_harmonic_candidate_rate_among_misses
overall,all,900,151,0.16777777777777778,0.046357615894039736,0.5695364238410596
depth_bin,"(-0.0005, 0.00075]",450,102,0.22666666666666666,0.06862745098039216,0.49019607843137253
depth_bin,"(0.00075, 0.001]",450,49,0.10888888888888888,0.0,0.7346938775510204
duration_bin,"(1.999, 3.333]",300,69,0.23,0.07246376811594203,0.4927536231884058
duration_bin,"(3.333, 5.333]",300,44,0.14666666666666667,0.045454545454545456,0.6590909090909091
duration_bin,"(5.333, 8.0]",300,38,0.12666666666666668,0.0,0.6052631578947368
period_bin,"(1.999, 4.0]",300,76,0.25333333333333335,0.0,0.7894736842105263
period_bin,"(4.0, 6.667]",300,38,0.12666666666666668,0.15789473684210525,0.5263157894736842
period_bin,"(6.667, 10.0]",300,37,0.12333333333333334,0.02702702702702703,0.16216216216216217
noise_quartile,high_scatter,216,28,0.12962962962962962,0.25,0.39285714285714285
noise_quartile,highest_scatter,234,117,0.5,0.0,0.5982905982905983
noise_quartile,low_scatter,216,2,0.009259259259259259,0.0,0.5
noise_quartile,lowest_scatter,234,4,0.017094017094017096,0.0,1.0
target_id,1026957,18,6,0.3333333333333333,0.0,1.0
target_id,11086270,18,0,0.0,,
target_id,1161345,18,9,0.5,0.0,0.7777777777777778
target_id,11904151,18,0,0.0,,
target_id,1432789,18,2,0.1111111111111111,1.0,0.5
target_id,1717722,18,2,0.1111111111111111,0.5,0.0
target_id,1718189,18,0,0.0,,
target_id,1718958,18,6,0.3333333333333333,0.0,1.0
target_id,1724719,18,0,0.0,,
target_id,1725016,18,0,0.0,,
target_id,1849702,18,1,0.05555555555555555,0.0,0.0
target_id,1865042,18,0,0.0,,
target_id,1871056,18,0,0.0,,
target_id,1872821,18,1,0.05555555555555555,0.0,1.0
target_id,1995519,18,1,0.05555555555555555,1.0,0.0
target_id,1996180,18,0,0.0,,
target_id,2142522,18,0,0.0,,
target_id,2161536,18,11,0.6111111111111112,0.0,0.5454545454545454
target_id,2164169,18,0,0.0,,
target_id,2165002,18,13,0.7222222222222222,0.0,0.23076923076923078
target_id,2302548,18,7,0.3888888888888889,0.0,0.8571428571428571
target_id,2304320,18,0,0.0,,
target_id,2307415,18,0,0.0,,
target_id,2438264,18,3,0.16666666666666666,0.0,1.0
target_id,2438513,18,11,0.6111111111111112,0.0,0.7272727272727273
target_id,2439243,18,5,0.2777777777777778,0.0,0.8
target_id,2441495,18,0,0.0,,
target_id,2442448,18,0,0.0,,
target_id,2444412,18,2,0.1111111111111111,0.0,1.0
target_id,2556650,18,5,0.2777777777777778,0.2,0.2
target_id,2557816,18,0,0.0,,
target_id,2571238,18,0,0.0,,
target_id,2574338,18,0,0.0,,
target_id,2581316,18,4,0.2222222222222222,0.0,1.0
target_id,2581554,18,6,0.3333333333333333,0.0,1.0
target_id,2584163,18,0,0.0,,
target_id,2692377,18,4,0.2222222222222222,0.0,1.0
target_id,2693736,18,0,0.0,,
target_id,2713049,18,1,0.05555555555555555,0.0,1.0
target_id,2715135,18,10,0.5555555555555556,0.0,0.6
target_id,2715695,18,3,0.16666666666666666,0.3333333333333333,0.0
target_id,2716801,18,1,0.05555555555555555,0.0,0.0
target_id,2716853,18,1,0.05555555555555555,0.0,0.0
target_id,2717158,18,0,0.0,,
target_id,2718778,18,3,0.16666666666666666,0.3333333333333333,0.0
target_id,2721030,18,2,0.1111111111111111,0.0,1.0
target_id,2831055,18,0,0.0,,
target_id,2832589,18,13,0.7222222222222222,0.0,0.23076923076923078
target_id,2837111,18,0,0.0,,
target_id,757450,18,18,1.0,0.0,0.3333333333333333
