model,injection_groups,candidate_rows,exact_recall_at_1,exact_recall_at_3,exact_recall_at_5,exact_recall_at_10,harmonic_recall_at_1,mean_reciprocal_rank,median_exact_rank,candidate_set_misses,cases_improved_over_bls,cases_worsened_relative_to_bls,stratification,bucket
bls_rank,450,4112,0.5444444444444444,0.6022222222222222,0.62,0.62,0.5733333333333334,0.5748520051853385,1.0,102,0,0,depth,"(-0.0005, 0.00075]"
bls_rank,450,3765,0.7244444444444444,0.7422222222222222,0.7533333333333333,0.7533333333333333,0.7377777777777778,0.7358890266668044,1.0,49,0,0,depth,"(0.00075, 0.001]"
bls_rank,300,2652,0.53,0.5866666666666667,0.6033333333333334,0.6033333333333334,0.56,0.5592223888890555,1.0,69,0,0,duration,"(1.999, 3.333]"
bls_rank,300,2611,0.6566666666666666,0.6866666666666666,0.7033333333333334,0.7033333333333334,0.6733333333333333,0.6751112611112611,1.0,44,0,0,duration,"(3.333, 5.333]"
bls_rank,300,2614,0.7166666666666667,0.7433333333333333,0.7533333333333333,0.7533333333333333,0.7333333333333333,0.7317778977778977,1.0,38,0,0,duration,"(5.333, 8.0]"
bls_rank,300,2498,0.72,0.7366666666666667,0.7433333333333333,0.7433333333333333,0.7233333333333334,0.7287222255555589,1.0,76,0,0,period,"(1.999, 4.0]"
bls_rank,300,2611,0.6266666666666667,0.6566666666666666,0.6666666666666666,0.6666666666666666,0.6866666666666666,0.6434446511113178,1.0,38,0,0,period,"(4.0, 6.667]"
bls_rank,300,2768,0.5566666666666666,0.6233333333333333,0.65,0.65,0.5566666666666666,0.5939446711113379,1.0,37,0,0,period,"(6.667, 10.0]"
bls_rank,216,2050,0.6898148148148148,0.7777777777777778,0.8101851851851852,0.8101851851851852,0.7175925925925926,0.7391204305556156,1.0,28,0,0,noise_quartile,high_scatter
bls_rank,234,2256,0.05982905982905983,0.06837606837606838,0.08547008547008547,0.08547008547008547,0.08547008547008547,0.06794913247904699,999999.0,117,0,0,noise_quartile,highest_scatter
bls_rank,216,1841,0.9166666666666666,0.9537037037037037,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9340278101852176,1.0,2,0,0,noise_quartile,low_scatter
bls_rank,234,1730,0.8974358974358975,0.9188034188034188,0.9230769230769231,0.9230769230769231,0.9273504273504274,0.9082621680912281,1.0,4,0,0,noise_quartile,lowest_scatter
tcf_rank,450,4112,0.2088888888888889,0.3022222222222222,0.3511111111111111,0.3511111111111111,0.43555555555555553,0.2603707925930148,999999.0,102,44,195,depth,"(-0.0005, 0.00075]"
tcf_rank,450,3765,0.4177777777777778,0.4711111111111111,0.4888888888888889,0.4888888888888889,0.7377777777777778,0.44496336518558743,2.0,49,55,193,depth,"(0.00075, 0.001]"
tcf_rank,300,2652,0.29333333333333333,0.37,0.4,0.4,0.56,0.3331114811114811,4.0,69,35,106,duration,"(1.999, 3.333]"
tcf_rank,300,2611,0.37333333333333335,0.42,0.43666666666666665,0.43666666666666665,0.6633333333333333,0.3955004166670833,4.0,44,40,125,duration,"(3.333, 5.333]"
tcf_rank,300,2614,0.2733333333333333,0.37,0.42333333333333334,0.42333333333333334,0.5366666666666666,0.3293893388893389,999999.0,38,24,157,duration,"(5.333, 8.0]"
tcf_rank,300,2498,0.01,0.03,0.03,0.03,0.66,0.018889605556272223,999999.0,76,0,213,period,"(1.999, 4.0]"
tcf_rank,300,2611,0.47,0.5733333333333334,0.5866666666666667,0.5866666666666667,0.6,0.5161113977780645,1.0,38,48,95,period,"(4.0, 6.667]"
tcf_rank,300,2768,0.46,0.5566666666666666,0.6433333333333333,0.6433333333333333,0.5,0.5230002333335667,1.0,37,51,80,period,"(6.667, 10.0]"
tcf_rank,216,2050,0.11574074074074074,0.20833333333333334,0.21296296296296297,0.21296296296296297,0.28703703703703703,0.15316423765497836,999999.0,28,9,133,noise_quartile,high_scatter
tcf_rank,234,2256,0.2948717948717949,0.3803418803418803,0.4358974358974359,0.4358974358974359,0.5341880341880342,0.3482906623932265,1.0,117,67,12,noise_quartile,highest_scatter
tcf_rank,216,1841,0.27314814814814814,0.3333333333333333,0.39351851851851855,0.39351851851851855,0.5879629629629629,0.31072590586479476,999999.0,2,7,146,noise_quartile,low_scatter
tcf_rank,234,1730,0.5512820512820513,0.6068376068376068,0.6196581196581197,0.6196581196581197,0.9145299145299145,0.5799148931627564,1.0,4,16,97,noise_quartile,lowest_scatter
raw_min_rank,450,4112,0.5444444444444444,0.6822222222222222,0.7244444444444444,0.7733333333333333,0.5733333333333334,0.6235044091710759,1.0,102,0,0,depth,"(-0.0005, 0.00075]"
raw_min_rank,450,3765,0.7244444444444444,0.8577777777777778,0.8711111111111111,0.8911111111111111,0.7377777777777778,0.7952001763668431,1.0,49,0,0,depth,"(0.00075, 0.001]"
raw_min_rank,300,2652,0.53,0.6833333333333333,0.7233333333333334,0.77,0.56,0.6168002645502645,1.0,69,0,0,duration,"(1.999, 3.333]"
raw_min_rank,300,2611,0.6566666666666666,0.8066666666666666,0.82,0.8533333333333334,0.6733333333333333,0.7365489417989418,1.0,44,0,0,duration,"(3.333, 5.333]"
raw_min_rank,300,2614,0.7166666666666667,0.82,0.85,0.8733333333333333,0.7333333333333333,0.774707671957672,1.0,38,0,0,duration,"(5.333, 8.0]"
raw_min_rank,300,2498,0.72,0.73,0.74,0.7466666666666667,0.7233333333333334,0.7263465608465609,1.0,76,0,0,period,"(1.999, 4.0]"
raw_min_rank,300,2611,0.6266666666666667,0.81,0.84,0.8733333333333333,0.6866666666666666,0.7271481481481481,1.0,38,0,0,period,"(4.0, 6.667]"
raw_min_rank,300,2768,0.5566666666666666,0.77,0.8133333333333334,0.8766666666666667,0.5566666666666666,0.6745621693121694,1.0,37,0,0,period,"(6.667, 10.0]"
raw_min_rank,216,2050,0.6898148148148148,0.7962962962962963,0.8287037037037037,0.8703703703703703,0.7175925925925926,0.7456496178718401,1.0,28,0,0,noise_quartile,high_scatter
raw_min_rank,234,2256,0.05982905982905983,0.3504273504273504,0.4188034188034188,0.5,0.08547008547008547,0.23161714828381494,2.0,117,0,0,noise_quartile,highest_scatter
raw_min_rank,216,1841,0.9166666666666666,0.9722222222222222,0.9814814814814815,0.9907407407407407,0.9166666666666666,0.9438271604938272,1.0,2,0,0,noise_quartile,low_scatter
raw_min_rank,234,1730,0.8974358974358975,0.9786324786324786,0.9786324786324786,0.9829059829059829,0.9273504273504274,0.9371438746438746,1.0,4,0,0,noise_quartile,lowest_scatter
rule_based,450,4112,0.3711111111111111,0.5777777777777777,0.7,0.7733333333333333,0.5711111111111111,0.4991878306878306,2.0,102,6,84,depth,"(-0.0005, 0.00075]"
rule_based,450,3765,0.4666666666666667,0.6711111111111111,0.86,0.8911111111111111,0.7422222222222222,0.5937504409171076,1.0,49,5,121,depth,"(0.00075, 0.001]"
rule_based,300,2652,0.33666666666666667,0.5466666666666666,0.7,0.77,0.5666666666666667,0.4694007936507937,2.0,69,5,63,duration,"(1.999, 3.333]"
rule_based,300,2611,0.44,0.6533333333333333,0.8166666666666667,0.8533333333333334,0.6766666666666666,0.566984126984127,1.0,44,3,68,duration,"(3.333, 5.333]"
rule_based,300,2614,0.48,0.6733333333333333,0.8233333333333334,0.8733333333333333,0.7266666666666667,0.6030224867724867,1.0,38,3,74,duration,"(5.333, 8.0]"
rule_based,300,2498,0.16,0.37,0.74,0.7466666666666667,0.71,0.33480952380952383,4.0,76,0,168,period,"(1.999, 4.0]"
rule_based,300,2611,0.5233333333333333,0.7766666666666666,0.8133333333333334,0.8733333333333333,0.68,0.6454298941798942,1.0,38,3,34,period,"(4.0, 6.667]"
