score_bin,candidate_count,mean_predicted_score,observed_exact_rate
"(-0.001, 0.1]",15,0.07532594799995417,0.0
"(0.1, 0.2]",13,0.14652657852723044,0.0
"(0.2, 0.3]",45,0.25590727097458305,0.1111111111111111
"(0.3, 0.4]",32,0.3392958361655473,0.0
"(0.4, 0.5]",19,0.4578216515089336,0.21052631578947367
"(0.5, 0.6]",20,0.5391894578933716,0.25
"(0.6, 0.7]",21,0.6607813721611386,0.38095238095238093
"(0.7, 0.8]",35,0.7429501567568098,0.6285714285714286
"(0.8, 0.9]",42,0.8416382571061453,0.5714285714285714
"(0.9, 1.0]",658,0.9852294232526448,0.9240121580547113
