candidate_id,target_id,quarter,injection_index,candidate_period_days,source_detector,exact_match,harmonic_match,selection_group,injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,candidate_period_error_fraction,candidate_harmonic_error_fraction,candidate_best_harmonic_factor,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,in_transit_observation_count,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value
0,11904151,5,0,1.9989996665555188,bls,True,True,reference,2.0,2.0,0.0005,0.45,0.0005001667222406248,0.0005001667222406248,1.0,False,1,True,False,True,False,False,1.9989996665555188,,1.0,,12.943576919067022,,1.0,,,,,0.9989996665555188,0.0,0.0005001667222406248,2.0,0.0,1.0,0.0005001667222406248,2.0,,,,,,2.7,0.0003477256286748,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,0.0024937655860349,,0.0095238095238095
1,11904151,5,0,1.0,both,False,True,reference,2.0,2.0,0.0005,0.45,0.5,0.0,0.5,True,2,True,True,True,True,True,1.0,1.0,2.0,1.0,8.827703516966023,33.793242180554955,0.6820142200385153,1.0,0.0,0.0,1.0,0.0,0.4997497914929108,0.0,1.0,0.0005004170141783597,0.5,0.0005001667222406248,2.0,92.0,68.0,0.7391304347826086,3.5231890461836204,31.988177127028365,1.5,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,0.0024937655860349,,0.0095238095238095,
2,11904151,5,0,4.00166722240747,both,False,True,reference,2.0,2.0,0.0005,0.45,1.0008336112037348,0.00041680560186740934,2.0,True,2,True,True,True,True,False,4.00166722240747,4.00166722240747,3.0,3.0,8.754014953313053,26.442100244287587,0.676321159757441,0.7824671010555683,0.0,0.0,1.0,3.0016672224074696,1.001834862385321,0.3338890741358232,3.0,0.0009174311926605484,2.0,0.0005001667222406248,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,,,
3,11904151,5,0,5.999666555518506,both,False,True,reference,2.0,2.0,0.0005,0.45,1.9998332777592531,5.55740802489583e-05,3.0,True,2,True,True,True,True,False,5.999666555518506,5.999666555518506,4.0,2.0,7.2203591376497815,26.889455538852612,0.5578333703887958,0.7957051115481644,0.0,0.0,1.0,4.999666555518506,2.001334445371142,0.999888851839502,3.0,0.0004448151237140976,3.0,0.0005001667222406248,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,,,
4,11904151,5,0,8.0,both,False,False,reference,2.0,2.0,0.0005,0.45,3.0,0.3333333333333333,3.0,True,2,True,True,True,True,False,8.002334111370457,7.997665888629544,5.0,4.0,6.2965621813517085,23.22096390516809,0.4864622986924365,0.6871481517251316,0.0005836981446737229,0.0005836981446737229,1.0,7.0,3.0020016680567134,1.6666666666666667,3.0,0.3340005560189045,3.0,0.0005001667222406248,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,,,
5,11904151,5,0,10.000333444481495,tcf,False,False,reference,2.0,2.0,0.0005,0.45,4.000166722240747,0.6667222407469158,3.0,False,1,False,True,False,True,False,,10.000333444481495,,5.0,,22.893650678222507,,0.6774623919156177,,,,9.000333444481495,4.002668890742284,2.3334444814938315,3.0,0.667556296914095,3.0,0.0005001667222406248,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,,,
6,11904151,5,1,1.9989996665555188,bls,True,True,reference,2.0,2.0,0.001,0.45,0.0005001667222406248,0.0005001667222406248,1.0,False,1,True,False,True,False,False,1.9989996665555188,,1.0,,21.417457003009474,,1.0000000000000002,,,,,0.9989996665555188,0.0,0.0005001667222406248,2.0,0.0,1.0,0.0005001667222406248,2.0,,,,,,2.7,0.0006982075550306,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,0.0024937655860349,,0.0095238095238095
7,11904151,5,1,1.0,both,False,True,reference,2.0,2.0,0.001,0.45,0.5,0.0,0.5,True,2,True,True,True,True,True,1.0,1.0,2.0,1.0,15.253630287536968,58.47604155503057,0.7122054819763899,1.0,0.0,0.0,1.0,0.0,0.4997497914929108,0.0,1.0,0.0005004170141783597,0.5,0.0005001667222406248,2.0,92.0,68.0,0.7391304347826086,6.096548770612178,63.94931081482544,1.5,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,0.0024937655860349,,0.0095238095238095,
8,11904151,5,1,4.00166722240747,both,False,True,reference,2.0,2.0,0.001,0.45,1.0008336112037348,0.00041680560186740934,2.0,True,2,True,True,True,True,False,4.00166722240747,4.00166722240747,3.0,2.0,14.914719348804148,57.7280591173712,0.6963814306576364,0.9872087368130851,0.0,0.0,1.0,3.0016672224074696,1.001834862385321,0.3338890741358232,3.0,0.0009174311926605484,2.0,0.0005001667222406248,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,,,
9,11904151,5,1,5.999666555518506,both,False,True,reference,2.0,2.0,0.001,0.45,1.9998332777592531,5.55740802489583e-05,3.0,True,2,True,True,True,True,False,5.999666555518506,5.999666555518506,4.0,3.0,12.286010913917725,53.580078400483295,0.5736447101162083,0.9162740325037257,0.0,0.0,1.0,4.999666555518506,2.001334445371142,0.999888851839502,3.0,0.0004448151237140976,3.0,0.0005001667222406248,2.0,,,,,,,,lowest_scatter,123.63222550869293,0.0319378506689684,0.8052428510473029,56.98672894551581,183,True,,,,
