metric,successes,total,rate,ci95_lower,ci95_upper
tcf_harmonic_rank1_before_fap,451,900,0.5011111111111111,0.46850989416402067,0.5337028832876902
bls_harmonic_rank1_before_fap,573,900,0.6366666666666667,0.6047251567656826,0.6674464697947693
harmonic_union_rank1_before_fap,719,900,0.7988888888888889,0.7714562780219495,0.823780856488307
tcf_exact_rank1_before_fap,282,900,0.31333333333333335,0.28387653534373225,0.34437685276882124
bls_exact_rank1_before_fap,571,900,0.6344444444444445,0.6024717543833179,0.665274317273712
exact_union_rank1_before_fap,670,900,0.7444444444444445,0.7149510532144707,0.7718599861619473
tcf_exact_period_top10,378,900,0.42,0.38816158182917104,0.45251844164763755
bls_exact_period_top10,618,900,0.6866666666666666,0.6556231472311786,0.7161234646562677
tcf_detection_at_global_fap,235,900,0.2611111111111111,0.23347296710191806,0.29077988078021894
bls_detection_at_global_fap,570,900,0.6333333333333333,0.6013453223102876,0.6641879718950312
tcf_harmonic_recovery_at_global_fap,160,900,0.17777777777777778,0.15418466700472377,0.20410987199908887
bls_harmonic_recovery_at_global_fap,474,900,0.5266666666666666,0.4940029499867787,0.559103708854285
harmonic_union_recovery_at_global_fap,544,900,0.6044444444444445,0.5721199755484027,0.6358811049124306
tcf_exact_recovery_at_global_fap,117,900,0.13,0.10959155062412476,0.15355355795611528
bls_exact_recovery_at_global_fap,474,900,0.5266666666666666,0.4940029499867787,0.559103708854285
exact_union_recovery_at_global_fap,525,900,0.5833333333333334,0.5508365469320695,0.6151217619462548
