metric,successes,total,rate
tcf_harmonic_rank1_before_fap,451,900,0.5011111111111111
bls_harmonic_rank1_before_fap,573,900,0.6366666666666667
harmonic_union_rank1_before_fap,719,900,0.7988888888888889
tcf_exact_rank1_before_fap,282,900,0.31333333333333335
bls_exact_rank1_before_fap,571,900,0.6344444444444445
exact_union_rank1_before_fap,670,900,0.7444444444444445
tcf_exact_recall_at_10,378,900,0.42
bls_exact_recall_at_10,618,900,0.6866666666666666
exact_union_recall_at_10,749,900,0.8322222222222222
tcf_exact_recovery_global_fap,117,900,0.13
bls_exact_recovery_global_fap,474,900,0.5266666666666666
exact_union_recovery_global_fap,525,900,0.5833333333333334
tcf_exact_recovery_regime_fap,119,900,0.1322222222222222
bls_exact_recovery_regime_fap,464,900,0.5155555555555555
exact_union_recovery_regime_fap,511,900,0.5677777777777778
tcf_harmonic_recovery_regime_fap,161,900,0.17888888888888888
bls_harmonic_recovery_regime_fap,464,900,0.5155555555555555
harmonic_union_recovery_regime_fap,528,900,0.5866666666666667
