dataset_kind,target_id,quarter,trial,trial_seed,tcf_success,bls_success,tcf_error,bls_error
original,1161345,5,-1,,True,True,,
null_trial,1161345,5,0,1.5873618139511116e+19,True,True,,
null_trial,1161345,5,1,1.5172401810168451e+19,True,True,,
null_trial,1161345,5,2,1.2638583225615036e+19,True,True,,
null_trial,1161345,5,3,1.7074128617252012e+19,True,True,,
null_trial,1161345,5,4,1.4399246545360144e+19,True,True,,
null_trial,1161345,5,5,8.079618302000263e+18,True,True,,
null_trial,1161345,5,6,1.0308399108187954e+18,True,True,,
null_trial,1161345,5,7,5.632482775668511e+18,True,True,,
original,1717722,5,-1,,True,True,,
null_trial,1717722,5,0,1.7227893656051706e+19,True,True,,
null_trial,1717722,5,1,1.157225182690095e+19,True,True,,
null_trial,1717722,5,2,2.6762019378783846e+18,True,True,,
null_trial,1717722,5,3,1.5033007865076924e+19,True,True,,
null_trial,1717722,5,4,9.202308772043539e+18,True,True,,
null_trial,1717722,5,5,1.5722134666691269e+19,True,True,,
null_trial,1717722,5,6,8.087302355081901e+18,True,True,,
null_trial,1717722,5,7,5.973652755419517e+18,True,True,,
original,757450,5,-1,,True,True,,
null_trial,757450,5,0,4.339882137834243e+18,True,True,,
null_trial,757450,5,1,3.607376559191315e+18,True,True,,
null_trial,757450,5,2,1.5467997128139241e+19,True,True,,
null_trial,757450,5,3,4.4457204357440097e+18,True,True,,
null_trial,757450,5,4,1.8002877092057539e+19,True,True,,
null_trial,757450,5,5,1.1475194872895885e+19,True,True,,
null_trial,757450,5,6,9.29497799607513e+18,True,True,,
null_trial,757450,5,7,1.7905220580929073e+19,True,True,,
original,1432789,5,-1,,True,True,,
null_trial,1432789,5,0,2.6249090572955556e+18,True,True,,
null_trial,1432789,5,1,7.301628445485011e+18,True,True,,
null_trial,1432789,5,2,5.346422455838012e+18,True,True,,
null_trial,1432789,5,3,1.8417495770918963e+19,True,True,,
null_trial,1432789,5,4,1.590274652804198e+19,True,True,,
null_trial,1432789,5,5,1.4856314707981031e+19,True,True,,
null_trial,1432789,5,6,5.666095895358859e+18,True,True,,
null_trial,1432789,5,7,1.1412919353901664e+19,True,True,,
original,11904151,5,-1,,True,True,,
null_trial,11904151,5,0,9.829780688627421e+18,True,True,,
null_trial,11904151,5,1,9.233538142300897e+18,True,True,,
null_trial,11904151,5,2,1.4358433579168457e+19,True,True,,
null_trial,11904151,5,3,1.2395551448115005e+19,True,True,,
null_trial,11904151,5,4,5.910015593007294e+18,True,True,,
null_trial,11904151,5,5,1.3903418170414504e+19,True,True,,
null_trial,11904151,5,6,6.913309975183885e+18,True,True,,
null_trial,11904151,5,7,6.946626417969356e+17,True,True,,
original,1026957,5,-1,,True,True,,
null_trial,1026957,5,0,1.4287683093328445e+18,True,True,,
null_trial,1026957,5,1,1.0689176114954377e+19,True,True,,
null_trial,1026957,5,2,1.360408970545347e+19,True,True,,
null_trial,1026957,5,3,1.6648349213993531e+19,True,True,,
null_trial,1026957,5,4,1.2123396998096169e+19,True,True,,
null_trial,1026957,5,5,4.058617819702477e+18,True,True,,
null_trial,1026957,5,6,1.6563775583065336e+19,True,True,,
null_trial,1026957,5,7,4.7633997812491334e+17,True,True,,
original,1718189,5,-1,,True,True,,
null_trial,1718189,5,0,8.999056084683749e+18,True,True,,
null_trial,1718189,5,1,7.189974990544369e+18,True,True,,
null_trial,1718189,5,2,1.8256044887401112e+19,True,True,,
null_trial,1718189,5,3,7.7974779867849e+16,True,True,,
null_trial,1718189,5,4,6.576546027927253e+18,True,True,,
null_trial,1718189,5,5,1.3501447649763922e+19,True,True,,
null_trial,1718189,5,6,7.791656714992571e+18,True,True,,
null_trial,1718189,5,7,6.725312868941352e+18,True,True,,
original,1718958,5,-1,,True,True,,
null_trial,1718958,5,0,1.3339275213653576e+19,True,True,,
null_trial,1718958,5,1,5.117402113504238e+18,True,True,,
null_trial,1718958,5,2,7.809745271224011e+18,True,True,,
null_trial,1718958,5,3,1.1937671558283438e+19,True,True,,
null_trial,1718958,5,4,2.677320277969745e+18,True,True,,
null_trial,1718958,5,5,3.947118542540502e+18,True,True,,
null_trial,1718958,5,6,6.80402422732611e+18,True,True,,
null_trial,1718958,5,7,1.4648901195057215e+19,True,True,,
original,1725016,5,-1,,True,True,,
null_trial,1725016,5,0,9.844357473393474e+18,True,True,,
null_trial,1725016,5,1,1.6424206369312983e+19,True,True,,
null_trial,1725016,5,2,6.560403590664646e+18,True,True,,
null_trial,1725016,5,3,1.7415519823430482e+18,True,True,,
null_trial,1725016,5,4,1.2915933780135934e+19,True,True,,
null_trial,1725016,5,5,9.945322530713852e+17,True,True,,
null_trial,1725016,5,6,1.7142271578809088e+19,True,True,,
