quality_policy,mode,order,name,estimate,std_error,ci_low,ci_high,boundary_distance,near_boundary
default,longest_segment,"(1, 0, 0)",const,-0.00010312486381025089,1.115187944001713e-05,-0.00012498214587261717,-8.126758174788461e-05,,False
default,longest_segment,"(1, 0, 0)",ar.L1,0.3088962181544236,2.2242211237507455e-10,0.30889621771848425,0.3088962185903629,0.6911037818455764,False
default,longest_segment,"(1, 0, 0)",sigma2,5.771551717496781e-09,4.313363467792805e-10,4.926148012586312e-09,6.61695542240725e-09,,False
default,longest_segment,"(2, 1, 0)",ar.L1,-0.43654410665921733,2.9380693430433667e-19,-0.43654410665921733,-0.43654410665921733,0.5634558933407827,False
default,longest_segment,"(2, 1, 0)",ar.L2,-0.4156589378124982,2.1470952270969705e-18,-0.4156589378124982,-0.4156589378124982,0.5843410621875018,False
default,longest_segment,"(2, 1, 0)",sigma2,6.6654735719725906e-09,5.376648869016257e-10,5.6116697578936024e-09,7.719277386051578e-09,,False
default,full_gap,"(1, 1, 0)",ar.L1,-0.33825261847214094,1.2658371192434906e-19,-0.33825261847214094,-0.33825261847214094,0.6617473815278591,False
default,full_gap,"(1, 1, 0)",sigma2,6.2895067847772905e-09,4.681452393967904e-11,6.197752003902132e-09,6.381261565652449e-09,,False
permissive,longest_segment,"(1, 0, 0)",const,-0.00010312486381025089,1.115187944001713e-05,-0.00012498214587261717,-8.126758174788461e-05,,False
permissive,longest_segment,"(1, 0, 0)",ar.L1,0.3088962181544236,2.2242211237507455e-10,0.30889621771848425,0.3088962185903629,0.6911037818455764,False
permissive,longest_segment,"(1, 0, 0)",sigma2,5.771551717496781e-09,4.313363467792805e-10,4.926148012586312e-09,6.61695542240725e-09,,False
permissive,longest_segment,"(2, 1, 0)",ar.L1,-0.43654410665921733,2.9380693430433667e-19,-0.43654410665921733,-0.43654410665921733,0.5634558933407827,False
permissive,longest_segment,"(2, 1, 0)",ar.L2,-0.4156589378124982,2.1470952270969705e-18,-0.4156589378124982,-0.4156589378124982,0.5843410621875018,False
permissive,longest_segment,"(2, 1, 0)",sigma2,6.6654735719725906e-09,5.376648869016257e-10,5.6116697578936024e-09,7.719277386051578e-09,,False
permissive,full_gap,"(1, 1, 0)",ar.L1,-0.33825261847214094,1.2658371192434906e-19,-0.33825261847214094,-0.33825261847214094,0.6617473815278591,False
permissive,full_gap,"(1, 1, 0)",sigma2,6.2895067847772905e-09,4.681452393967904e-11,6.197752003902132e-09,6.381261565652449e-09,,False
default,longest_segment,"(3, 0, 1)",const,-0.00010345468252732455,1.1456885784110525e-05,-0.00012590976603917012,-8.099959901547899e-05,,False
default,longest_segment,"(3, 0, 1)",ar.L1,0.15386351721904207,2.57487845640272e-10,0.15386351671437518,0.15386351772370896,0.8461364827809579,False
default,longest_segment,"(3, 0, 1)",ar.L2,-0.05939310929777346,3.4676480945278604e-11,-0.05939310936573811,-0.0593931092298088,0.9406068907022266,False
default,longest_segment,"(3, 0, 1)",ar.L3,0.1787081617178656,4.1186594708290135e-10,0.1787081609106232,0.17870816252510802,0.8212918382821344,False
default,longest_segment,"(3, 0, 1)",ma.L1,0.1836944136742015,2.2316868272351373e-10,0.18369441323679891,0.1836944141116041,0.8163055863257985,False
