trial_center_cadenceno,duration_cadences,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,injected_center_cadenceno,center_offset_cadences,is_injected_center_neighborhood,raw_flux_box_rank,innovation_unchanged_box_rank,innovation_transformed_template_rank,rank
16374,6,-1.0243809420771421,-13.635882537713437,13.311339539433341,25,-1.5134430247880444,-31.48222858522893,20.801726969297686,24,-0.36995614223574375,-5.794326046283213,15.662197176310016,24,16518,-144,False,60,74,52,52
16425,6,-1.901316331475679,-81.10387855749808,42.656699053623804,46,0.1830355567440704,6.273812328011977,34.276467587029224,46,1.0509999622534174,25.223859422657604,23.999867106156586,46,16518,-93,False,74,37,21,21
16477,6,3.3898049847397758,116.44727575609325,34.35220500303575,49,2.36677015327548,77.02682751712463,32.545123746183684,49,2.325202874985636,52.47483659172694,22.567852962959677,49,16518,-41,False,6,2,4,4
16518,6,32.76757107187462,1023.6340277881285,31.239240331326968,49,9.093625126060255,249.17365338241763,27.40091546861139,49,20.903382704701936,398.1187006328382,19.04565908097194,49,16518,0,True,1,1,1,1
16527,6,-3.7389024676407363,-115.96095354546719,31.014704060638163,49,0.21648171459137142,5.973120257976006,27.591800394092424,49,-0.43778090243005124,-8.512472703437847,19.44459581536445,49,16518,9,False,80,34,55,55
16603,6,4.793718748115996,183.63925977281946,38.30830914829796,48,-0.973616093344694,-32.30987629021751,33.185437782999635,48,0.911937112974941,21.477504178840658,23.551518929607195,48,16518,85,False,2,69,22,22
16653,6,-1.5999798137609011,-53.321213325144306,33.32617878459844,49,-0.061537979123627996,-2.0818275675905147,33.829963174581735,49,0.15448336369547724,3.6460620307262177,23.601648381462336,49,16518,135,False,71,45,41,41
16704,6,-1.4147396719392549,-40.60072337061086,28.698370573688234,48,0.8165504884803884,25.791698727404697,31.586165327515022,48,-0.5877611332854675,-13.228785566744452,22.507077820539408,48,16518,186,False,68,19,61,61
16755,6,0.5518251159921987,19.90119091986115,36.0643079539397,48,1.0751001620896052,39.34649825363306,36.59798374242426,48,1.2751706880546454,34.066749345996655,26.715442618876118,48,16518,237,False,23,10,16,16
16830,6,-1.0995690384203274,-39.209369995559236,35.65885235536329,49,-0.8754342054348361,-38.55046703816882,44.03582450724604,49,-0.5779215460291223,-17.9018920336296,30.97633607300652,49,16518,312,False,61,67,59,59
16880,6,-0.31800648193542647,-9.596587646226364,30.177333455030084,48,0.3869389249317446,11.38232021187012,29.41632252138485,48,1.3324867841242158,29.682554971087935,22.276059563770424,48,16518,362,False,39,30,15,15
16931,6,-0.9587678961292625,-30.74323491351347,32.06535704588154,49,-1.7553743659182548,-45.40503904454487,25.86629947782849,49,-1.8132611704444606,-32.56802599190904,17.961023223105844,49,16518,413,False,56,77,77,77
16981,6,-3.921112896639993,-98.42935664733173,25.102403129396244,49,-3.360014039561798,-82.78534634773109,24.638392986753022,49,-2.5694372507588983,-46.55302083534005,18.11798315821503,49,16518,463,False,81,81,81,81
17057,6,1.069119322962527,26.478205871971756,24.766371071285768,49,0.03619930386796097,1.0303921458840715,28.464418808783886,49,-0.006622449259172334,-0.13125669864534173,19.819962903233485,49,16518,539,False,15,43,44,44
17107,6,-1.3695925115708987,-45.34452619593134,33.10804185393943,49,0.6412688262531383,23.777256925022282,37.07845438854423,49,0.7585379529055447,20.19653784422879,26.625612821173785,49,16518,589,False,67,24,23,23
17157,6,-1.9506615419031368,-86.27258860384421,44.22734890219526,48,-0.7669030848377043,-29.44792288906696,38.398493201130975,48,-2.0295306133913975,-55.99297978952973,27.589127958983596,48,16518,639,False,75,65,80,80
17208,6,-1.5317980881127715,-48.03663028051575,31.359635877140015,48,-0.1571700142050002,-5.204774220408691,33.115567538347314,48,-0.03636397306136608,-0.8641553841675602,23.764053028783554,48,16518,690,False,70,49,46,46
17285,6,0.8821964715686513,28.424033924526107,32.219618691043685,49,0.99510583662798,33.658443914114876,33.823984017790536,49,1.7062356055410504,40.287705851148836,23.61204145565438,49,16518,767,False,17,12,9,9
17336,6,0.7735063565399566,27.207542317611836,35.17429700166451,48,0.21497671878711366,7.040421514028935,32.74969286790956,48,-1.41976457905434,-32.253558081376646,22.717539623970413,48,16518,818,False,20,35,73,73
17387,6,-0.6439850781226403,-22.137502730303673,34.37580074811581,48,0.07222136881671451,2.478975015952809,34.32467504519367,48,0.20367657814352622,4.8941192123609065,24.028875862752038,48,16518,869,False,45,41,40,40
17462,6,4.19693622414468,137.8349625688166,32.84180535693197,48,0.9239440099510778,34.46542815955216,37.302507282207586,48,3.6361861122995927,96.04612755896862,26.41397458564827,48,16518,944,False,5,16,2,2
17513,6,-0.8494451360538481,-28.356112394426617,33.38192331779867,48,0.3242343976076363,11.025314189552397,34.00414721850206,48,-0.08507150191199352,-2.0652108937466522,24.276177654452525,48,16518,995,False,54,32,48,48
17564,6,-0.8608387199907522,-23.684029996406224,27.512737806055767,49,1.1776597539436084,47.392237683118886,40.24272505230593,49,0.054798480464979635,1.5327260941062657,27.97022985127833,49,16518,1046,False,55,8,42,42
17615,6,0.2903393637638778,9.577257821032878,32.9864255982241,47,0.9778432075830532,33.96164385220734,34.73117529358387,47,1.6624590303075564,39.36859226284848,23.68093982777143,47,16518,1097,False,29,14,11,11
17691,6,-0.7952847074876668,-28.676104222504442,36.05765828578962,49,0.7813342124916102,23.062798758866734,29.517200693569244,49,0.7145545745824274,14.938817099071217,20.90647464933128,49,16518,1173,False,53,22,26,26
