quality_policy,mode,order,p,d,q,center_cadenceno,duration_cadences,depth,observed_depth_before_arima,innovation_depth_after_arima,standardized_innovation_depth_after_arima,depth_retention_fraction,local_snr_before_arima,local_snr_after_arima,standardized_snr_after_arima,snr_retention_fraction,event_center_shift_cadences,transit_preservation_failure,transit_preservation_failure_reason
default,full_gap,"(1, 0, 0)",1,0,0,16518,6,0.001,0.0011011202423351065,0.00023297294454114868,3.171203676137543,0.211578114345706,47.35929432772535,7.24298520847707,7.37503992948778,0.15293693268222622,-2,True,
default,full_gap,"(2, 0, 0)",2,0,0,16518,6,0.001,0.0011011202423351065,0.0003055268996450561,4.183704951600396,0.27746915177686327,47.35929432772535,9.004210069532597,8.880613167405162,0.19012551173637948,-2,True,
default,full_gap,"(3, 0, 0)",3,0,0,16518,6,0.001,0.0011011202423351065,0.00036908232923698133,5.1320594565757345,0.3351880340100565,47.35929432772535,11.640065484640553,11.810181432852522,0.24578207192217724,-2,True,
default,full_gap,"(1, 0, 1)",1,0,1,16518,6,0.001,0.0011011202423351065,0.00037061552737416065,4.980391624827336,0.33658043247684694,47.35929432772535,10.587088819073756,10.475900516687195,0.2235482806355035,-2,True,
default,full_gap,"(2, 0, 1)",2,0,1,16518,6,0.001,0.0011011202423351065,0.0003706415237478583,4.981855556696348,0.3366040415003651,47.35929432772535,10.631891963791976,10.850681622672207,0.22449430707770898,-2,True,
default,full_gap,"(3, 0, 1)",3,0,1,16518,6,0.001,0.0011011202423351065,0.00036460103462807524,5.131493662608595,0.3311182744718949,47.35929432772535,11.858361992262095,11.965167187866772,0.2503914418614955,-2,True,
default,full_gap,"(1, 1, 0)",1,1,0,16518,6,0.001,0.0011011202423351065,0.00015153392201684978,1.9824044772105642,0.13761796050129566,47.35929432772535,4.445932721736003,4.2016545692918115,0.09387666739648272,-2,True,
default,full_gap,"(2, 1, 0)",2,1,0,16518,6,0.001,0.0011011202423351065,0.000279039364876363,3.7090306039498664,0.2534140724582577,47.35929432772535,9.274012433953278,9.372020441110395,0.19582243708652627,-2,True,
default,full_gap,"(1, 1, 1)",1,1,1,16518,6,0.001,0.0011011202423351065,0.00031539238907329204,4.085287483863264,0.2864286541535651,47.35929432772535,8.550399024396208,8.719628230361264,0.18054321006617247,-2,True,
default,longest_segment,"(1, 0, 0)",1,0,0,17832,6,0.001,0.0011406052893421772,0.0002820142769517514,4.448323263410692,0.24724966610877094,43.75594178545213,8.584159111696538,8.511307846307954,0.19618270711180483,-2,True,
default,longest_segment,"(2, 0, 0)",2,0,0,17832,6,0.001,0.0011406052893421772,0.00027817616365131964,4.3952641980634874,0.2438846867102927,43.75594178545213,8.44904821443223,8.605570083742942,0.19309487739654477,-2,True,
default,longest_segment,"(3, 0, 0)",3,0,0,17832,6,0.001,0.0011406052893421772,0.00023173311289731704,3.399540445608825,0.20316678789992704,43.75594178545213,7.183807396534872,6.164963532529511,0.1641790144012699,-2,True,
default,longest_segment,"(1, 0, 1)",1,0,1,17832,6,0.001,0.0011406052893421772,0.00027853660240324,4.40267857491114,0.24420069326864227,43.75594178545213,8.461852015337978,8.599300564479424,0.1933874959617794,-2,True,
default,longest_segment,"(2, 0, 1)",2,0,1,17832,6,0.001,0.0011406052893421772,0.0011406051120193817,25.796250000318285,0.9999998445362325,43.75594178545213,43.75593373531326,48.33558172431237,0.9999998160218124,-2,False,
default,longest_segment,"(3, 0, 1)",3,0,1,17832,6,0.001,0.0011406052893421772,0.00023386062298860408,3.512072744554882,0.20503203445907114,43.75594178545213,7.278723000257912,6.522750063074146,0.16634821931036403,-2,True,
default,longest_segment,"(1, 1, 0)",1,1,0,17832,6,0.001,0.0011406052893421772,2.139462826082087e-06,0.03091282224906622,0.0018757258501895797,43.75594178545213,0.07094389368046486,0.0651622787655327,0.0016213545129098812,-2,True,
default,longest_segment,"(2, 1, 0)",2,1,0,17832,6,0.001,0.0011406052893421772,2.3270410397156592e-05,0.3331581705205423,0.020401808245670477,43.75594178545213,0.7484129834771678,0.7032789174756354,0.01710425951169901,-2,True,
default,longest_segment,"(1, 1, 1)",1,1,1,17832,6,0.001,0.0011406052893421772,3.371649797378836e-05,0.48152655117750776,0.029560180273435096,43.75594178545213,1.0893616283919307,1.049286104946398,0.024896313139216194,-2,True,
permissive,full_gap,"(1, 0, 0)",1,0,0,16518,6,0.001,0.0011011202423351065,0.00023297294454114868,3.171203676137543,0.211578114345706,47.35929432772535,7.24298520847707,7.37503992948778,0.15293693268222622,-2,True,
permissive,full_gap,"(2, 0, 0)",2,0,0,16518,6,0.001,0.0011011202423351065,0.0003055268996450561,4.183704951600396,0.27746915177686327,47.35929432772535,9.004210069532597,8.880613167405162,0.19012551173637948,-2,True,
permissive,full_gap,"(3, 0, 0)",3,0,0,16518,6,0.001,0.0011011202423351065,0.00036908232923698133,5.1320594565757345,0.3351880340100565,47.35929432772535,11.640065484640553,11.810181432852522,0.24578207192217724,-2,True,
permissive,full_gap,"(1, 0, 1)",1,0,1,16518,6,0.001,0.0011011202423351065,0.00037061552737416065,4.980391624827336,0.33658043247684694,47.35929432772535,10.587088819073756,10.475900516687195,0.2235482806355035,-2,True,
permissive,full_gap,"(2, 0, 1)",2,0,1,16518,6,0.001,0.0011011202423351065,0.0003706415237478583,4.981855556696348,0.3366040415003651,47.35929432772535,10.631891963791976,10.850681622672207,0.22449430707770898,-2,True,
permissive,full_gap,"(3, 0, 1)",3,0,1,16518,6,0.001,0.0011011202423351065,0.00036460103462807524,5.131493662608595,0.3311182744718949,47.35929432772535,11.858361992262095,11.965167187866772,0.2503914418614955,-2,True,
permissive,full_gap,"(1, 1, 0)",1,1,0,16518,6,0.001,0.0011011202423351065,0.00015153392201684978,1.9824044772105642,0.13761796050129566,47.35929432772535,4.445932721736003,4.2016545692918115,0.09387666739648272,-2,True,
permissive,full_gap,"(2, 1, 0)",2,1,0,16518,6,0.001,0.0011011202423351065,0.000279039364876363,3.7090306039498664,0.2534140724582577,47.35929432772535,9.274012433953278,9.372020441110395,0.19582243708652627,-2,True,
permissive,full_gap,"(1, 1, 1)",1,1,1,16518,6,0.001,0.0011011202423351065,0.00031539238907329204,4.085287483863264,0.2864286541535651,47.35929432772535,8.550399024396208,8.719628230361264,0.18054321006617247,-2,True,
permissive,longest_segment,"(1, 0, 0)",1,0,0,17832,6,0.001,0.0011406052893421772,0.0002820142769517514,4.448323263410692,0.24724966610877094,43.75594178545213,8.584159111696538,8.511307846307954,0.19618270711180483,-2,True,
permissive,longest_segment,"(2, 0, 0)",2,0,0,17832,6,0.001,0.0011406052893421772,0.00027817616365131964,4.3952641980634874,0.2438846867102927,43.75594178545213,8.44904821443223,8.605570083742942,0.19309487739654477,-2,True,
permissive,longest_segment,"(3, 0, 0)",3,0,0,17832,6,0.001,0.0011406052893421772,0.00023173311289731704,3.399540445608825,0.20316678789992704,43.75594178545213,7.183807396534872,6.164963532529511,0.1641790144012699,-2,True,
permissive,longest_segment,"(1, 0, 1)",1,0,1,17832,6,0.001,0.0011406052893421772,0.00027853660240324,4.40267857491114,0.24420069326864227,43.75594178545213,8.461852015337978,8.599300564479424,0.1933874959617794,-2,True,
permissive,longest_segment,"(2, 0, 1)",2,0,1,17832,6,0.001,0.0011406052893421772,0.0011406051120193817,25.796250000318285,0.9999998445362325,43.75594178545213,43.75593373531326,48.33558172431237,0.9999998160218124,-2,False,
permissive,longest_segment,"(3, 0, 1)",3,0,1,17832,6,0.001,0.0011406052893421772,0.00023386062298860408,3.512072744554882,0.20503203445907114,43.75594178545213,7.278723000257912,6.522750063074146,0.16634821931036403,-2,True,
