injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,in_transit_observation_count,arima_converged,recovered_period_days,recovered_epoch_days,recovered_duration_hours,recovered_score,recovered_raw_pooled_score,recovered_valid_transit_events,recovered_positive_transit_events,recovered_positive_event_fraction,recovered_median_event_score,period_error_fraction,exact_period_error_fraction,period_matched,exact_period_matched,fap_1_percent_threshold,passes_fap_1_percent,recovered_at_fap_1_percent,exact_recovered_at_fap_1_percent,exact_period_rank_top10,exact_period_present_top10,half_period_rank_top10,double_period_rank_top10,triple_period_rank_top10,top_periods_json,top_scores_json,top_raw_pooled_scores_json,top_valid_event_counts_json,top_positive_event_fractions_json
2.0,443.81122690278136,0.15,2.0,0.0002,179,False,2.512151215121512,443.98160276635673,1.5,18.163987818495677,17.328437958233597,36,36,1.0,3.0273313030826126,0.256075607560756,0.256075607560756,False,False,15.58599716225368,True,False,False,2,True,6.0,3.0,7.0,"[2.512151215121512, 1.9996999699969997, 3.999099909990999, 4.186718671867187, 5.024002400240024, 1.0, 5.999899989999, 5.8612861286128615, 6.698569856985698, 7.54005400540054]","[18.163987818495677, 17.322852370506165, 13.673218150827099, 13.5660933400478, 13.38205476100877, 12.602414407876525, 12.112951585230427, 12.111118100176888, 11.727900587940825, 11.251863346056545]","[17.328437958233597, 16.748010138556122, 12.958017664898271, 14.242474205403502, 12.830482259383434, 12.45060291445635, 12.42345209693414, 12.756078231737202, 11.681633774432875, 9.97194962005013]","[36, 43, 24, 22, 19, 86, 15, 16, 14, 13]","[1.0, 0.9534883720930233, 1.0, 1.0, 1.0, 0.7790697674418605, 0.9333333333333333, 1.0, 1.0, 1.0]"
2.0,444.4112269027813,0.45,2.0,0.0002,183,True,2.512151215121512,443.98160276635673,1.5,18.11294278741504,17.505188386537284,36,36,1.0,3.0188237979025065,0.256075607560756,0.256075607560756,False,False,15.58599716225368,True,False,False,2,True,,5.0,7.0,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 5.024002400240024, 4.000500050005, 5.8612861286128615, 5.999899989999, 8.373137313731373, 6.698569856985698, 10.46914691469147]","[18.11294278741504, 15.01551558291428, 14.612597393873664, 13.603834914640723, 13.18918674193603, 13.001764872053442, 12.854873813503144, 12.693133660557411, 12.491697402018982, 11.093134629506142]","[17.505188386537284, 16.28725680251889, 14.780190011083736, 12.604414488264469, 11.32167292506793, 12.873113046555993, 12.578289143236415, 11.790488803485854, 12.20643507637709, 7.631286970250268]","[36, 46, 22, 19, 23, 16, 15, 11, 14, 9]","[1.0, 1.0, 1.0, 1.0, 0.9130434782608695, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888]"
2.0,445.01122690278135,0.75,2.0,0.0002,190,True,2.512151215121512,443.98160276635673,1.5,18.375266853631963,17.881260218349087,36,36,1.0,3.0625444756053275,0.256075607560756,0.256075607560756,False,False,15.58599716225368,True,False,False,2,True,,4.0,9.0,"[2.512151215121512, 1.9996999699969997, 4.186718671867187, 3.999099909990999, 5.024002400240024, 5.8612861286128615, 8.373137313731373, 6.698569856985698, 5.997099709970997, 7.535853585358535]","[18.375266853631963, 16.545844072577736, 14.707976270451638, 14.101316182880282, 13.760784918019008, 13.205177379629976, 12.880689507107691, 12.680135713225816, 11.009162371950602, 10.824332988734923]","[17.881260218349087, 13.944305599902329, 14.72106629931784, 13.173587885671077, 13.128683767954822, 13.433626257069745, 11.958192807029159, 12.38375920414958, 9.595190134134388, 9.864066001590166]","[36, 46, 22, 24, 19, 16, 11, 14, 15, 12]","[1.0, 0.8695652173913043, 1.0, 0.9166666666666666, 1.0, 1.0, 1.0, 1.0, 0.8666666666666667, 1.0]"
2.0,443.81122690278136,0.15,2.0,0.0005,179,True,1.9996999699969997,443.8383797705877,1.5,39.02269206623864,38.205746018742055,43,43,1.0,5.950904750630868,0.0001500150015001367,0.0001500150015001367,True,True,15.58599716225368,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 3.999099909990999, 6.001300130013001, 4.998799879987999, 7.999299929992999, 9.001800180018002, 10.002900290029002, 12.000900090009, 14.005900590059005]","[39.02269206623864, 35.09369068844626, 29.726445096765453, 25.250309882477886, 23.386104472141536, 22.301687015178597, 20.252041379379968, 19.284567209959295, 19.137079138783857, 17.24924547939827]","[38.205746018742055, 27.141056763937172, 30.02066919501137, 25.231066425434634, 15.361871882064662, 19.721516721970254, 13.734112675225676, 17.53486777781287, 20.319612815457862, 16.58101580676302]","[43, 86, 24, 15, 19, 12, 11, 8, 8, 7]","[1.0, 0.7790697674418605, 1.0, 1.0, 0.6842105263157895, 1.0, 0.8181818181818182, 1.0, 1.0, 1.0]"
2.0,444.4112269027813,0.45,2.0,0.0005,183,False,1.9996999699969997,444.430127720893,1.5,36.311418563845585,38.23049161319385,46,46,1.0,5.353826583812639,0.0001500150015001367,0.0001500150015001367,True,True,15.58599716225368,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 8.000700070007, 10.000100010001, 12.000900090009, 8.998999899989998, 5.0002000200020005, 7.001000100010001]","[36.311418563845585, 31.41747554171981, 29.50149257302512, 25.599913450088312, 21.922456150672133, 21.03262571797679, 19.529543725415657, 19.208633195392988, 19.09307075243453, 18.693748884195877]","[38.23049161319385, 28.74325664923795, 23.74330573533214, 25.543238818991156, 21.22416730954063, 20.221195578565602, 18.007992513004844, 12.920654397064352, 14.245872350177196, 9.80956034570857]","[46, 92, 23, 15, 11, 9, 7, 11, 19, 13]","[1.0, 0.7391304347826086, 0.9565217391304348, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091, 0.7368421052631579, 0.6153846153846154]"
2.0,445.01122690278135,0.75,2.0,0.0005,190,True,1.9996999699969997,445.0422807729329,1.5,39.26394382004287,36.08502039059573,45,43,0.9555555555555556,5.853123163089908,0.0001500150015001367,0.0001500150015001367,True,True,15.58599716225368,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.998499849984999, 7.999299929992999, 11.998099809980998, 9.001800180018002, 10.000100010001, 14.003100310031003, 2.512151215121512, 6.998199819981998]","[39.26394382004287, 30.405083084246165, 23.952287672093398, 21.817519147804532, 19.57669208399634, 19.057247395929764, 18.944177970501226, 18.279529159863383, 17.417311494322934, 17.152913146525304]","[36.08502039059573, 28.338168904573497, 23.132582106697296, 22.341261371513795, 19.673061971695905, 13.053398600625455, 17.514599229893523, 17.312403128688246, 16.942394546170497, 11.316561420542357]","[45, 24, 16, 12, 8, 10, 9, 6, 36, 13]","[0.9555555555555556, 0.9166666666666666, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 0.6923076923076923]"
2.0,443.81122690278136,0.15,2.0,0.001,179,False,1.9996999699969997,443.8383797705877,1.5,70.39590707670293,67.93680689029563,43,43,1.0,10.735275186464085,0.0001500150015001367,0.0001500150015001367,True,True,15.58599716225368,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 3.999099909990999, 6.001300130013001, 4.998799879987999, 7.999299929992999, 9.001800180018002, 10.001500150015001, 12.000900090009, 13.998899889988998]","[70.39590707670293, 58.960203984181106, 53.27234763778553, 43.82630859577173, 43.657646044084224, 38.758054248983385, 35.79126824112962, 34.10679041055245, 32.762356720333536, 29.939068428974988]","[67.93680689029563, 49.72894222233043, 54.65081990274931, 44.98143131699974, 26.455219215992596, 32.07279247146356, 23.828855764917527, 31.68532475436603, 33.58743506339815, 19.387694605416605]","[43, 86, 24, 15, 19, 12, 11, 10, 8, 7]","[1.0, 0.7790697674418605, 1.0, 1.0, 0.631578947368421, 1.0, 0.8181818181818182, 0.9, 1.0, 1.0]"
2.0,444.4112269027813,0.45,2.0,0.001,183,False,1.9996999699969997,444.430127720893,1.5,69.21080729997476,70.36928870848116,46,46,1.0,10.204576815367913,0.0001500150015001367,0.0001500150015001367,True,True,15.58599716225368,True,True,True,1,True,2.0,3.0,4.0,"[1.9996999699969997, 1.0, 4.000500050005, 5.999899989999, 5.0002000200020005, 8.000700070007, 10.000100010001, 9.000400040004001, 6.996799679967997, 12.000900090009]","[69.21080729997476, 52.741970826109885, 51.88972283638806, 43.24797606014288, 39.560528462753226, 37.15522821444016, 35.35551662909959, 35.010155025540776, 34.67096632325174, 31.980593764796172]","[70.36928870848116, 51.286873273614255, 40.06185217988796, 42.75464698138931, 25.115019968649765, 36.7369026824409, 34.20316910985734, 21.522462368115093, 19.92313992028764, 28.46987327211359]","[46, 92, 23, 15, 19, 11, 9, 11, 13, 7]","[1.0, 0.7282608695652174, 0.9565217391304348, 1.0, 0.7368421052631579, 1.0, 1.0, 0.9090909090909091, 0.7692307692307693, 1.0]"
2.0,445.01122690278135,0.75,2.0,0.001,190,False,1.9996999699969997,445.0218756711982,1.5,70.97470318179056,62.00106420690389,46,44,0.9565217391304348,10.464649074636402,0.0001500150015001367,0.0001500150015001367,True,True,15.58599716225368,True,True,True,1,True,,2.0,3.0,"[1.9996999699969997, 3.999099909990999, 5.999899989999, 7.999299929992999, 9.001800180018002, 6.998199819981998, 10.007100710071008, 11.999499949994998, 14.001700170017001, 11.001200120012001]","[70.97470318179056, 53.7674929925763, 43.07365462394186, 38.223927295962355, 34.709240791931805, 34.24334334497083, 33.5371228445676, 32.8014796901639, 30.330051122409575, 29.382835353534166]","[62.00106420690389, 48.64307401895092, 40.8654445916136, 38.022296818096486, 21.67080932758997, 20.463829349388686, 25.495973952487038, 33.335559066995074, 29.455840499262024, 18.678193651434395]","[46, 24, 16, 12, 11, 13, 10, 8, 7, 9]","[0.9565217391304348, 0.9166666666666666, 1.0, 1.0, 0.8181818181818182, 0.7692307692307693, 0.9, 1.0, 1.0, 0.8888888888888888]"
2.0,443.81122690278136,0.15,4.0,0.0002,373,False,1.9996999699969997,443.827759703479,3.928571428571429,25.736685752190557,22.77925405187847,46,44,0.9565217391304348,3.794667292246846,0.0001500150015001367,0.0001500150015001367,True,True,15.58599716225368,True,True,True,1,True,,3.0,4.0,"[1.9996999699969997, 2.512151215121512, 3.999099909990999, 5.999899989999, 4.186718671867187, 7.999299929992999, 5.024002400240024, 5.8612861286128615, 8.373137313731373, 10.000100010001]","[25.736685752190557, 18.32199752548987, 17.817001134658327, 15.159477834771646, 13.865105512120074, 13.515476052786214, 13.507820025893587, 12.9504137669133, 12.642422765997138, 12.558313763330064]","[22.77925405187847, 17.99306916570293, 14.524362350403432, 13.857828736729823, 14.27731105535081, 13.025121940929024, 12.886863415543559, 12.821839571181568, 11.933354600746862, 12.47822768193746]","[46, 36, 24, 14, 22, 11, 19, 16, 11, 9]","[0.9565217391304348, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
