gap_mode,candidate_family_rank,p,d,q,order
longest_contiguous,1,1,0,0,"ARIMA(1, 0, 0)"
longest_contiguous,2,2,0,0,"ARIMA(2, 0, 0)"
longest_contiguous,3,3,0,0,"ARIMA(3, 0, 0)"
longest_contiguous,4,1,0,1,"ARIMA(1, 0, 1)"
longest_contiguous,5,2,0,1,"ARIMA(2, 0, 1)"
longest_contiguous,6,3,0,1,"ARIMA(3, 0, 1)"
longest_contiguous,7,1,1,0,"ARIMA(1, 1, 0)"
longest_contiguous,8,2,1,0,"ARIMA(2, 1, 0)"
longest_contiguous,9,1,1,1,"ARIMA(1, 1, 1)"
full_grid_missing,1,1,0,0,"ARIMA(1, 0, 0)"
full_grid_missing,2,2,0,0,"ARIMA(2, 0, 0)"
full_grid_missing,3,3,0,0,"ARIMA(3, 0, 0)"
full_grid_missing,4,1,0,1,"ARIMA(1, 0, 1)"
full_grid_missing,5,2,0,1,"ARIMA(2, 0, 1)"
full_grid_missing,6,3,0,1,"ARIMA(3, 0, 1)"
full_grid_missing,7,1,1,0,"ARIMA(1, 1, 0)"
full_grid_missing,8,2,1,0,"ARIMA(2, 1, 0)"
full_grid_missing,9,1,1,1,"ARIMA(1, 1, 1)"
interpolated_full_grid,1,1,0,0,"ARIMA(1, 0, 0)"
interpolated_full_grid,2,2,0,0,"ARIMA(2, 0, 0)"
interpolated_full_grid,3,3,0,0,"ARIMA(3, 0, 0)"
interpolated_full_grid,4,1,0,1,"ARIMA(1, 0, 1)"
interpolated_full_grid,5,2,0,1,"ARIMA(2, 0, 1)"
interpolated_full_grid,6,3,0,1,"ARIMA(3, 0, 1)"
interpolated_full_grid,7,1,1,0,"ARIMA(1, 1, 0)"
interpolated_full_grid,8,2,1,0,"ARIMA(2, 1, 0)"
interpolated_full_grid,9,1,1,1,"ARIMA(1, 1, 1)"
