gap_mode,series_kind,plot_kind,generated,path,reason,n_observations,max_lag,missing_observations_compressed,interpolation_used,missing_strategy
longest_contiguous,modelling_series,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_longest_contiguous_modelling_series_acf.png,,146,24,False,False,none
longest_contiguous,modelling_series,pacf,True,outputs/gap_modes/figures/kic_11904151_q5_default_longest_contiguous_modelling_series_pacf.png,,146,24,False,False,none
longest_contiguous,first_differenced_series,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_longest_contiguous_first_differenced_series_acf.png,,145,24,False,False,none
longest_contiguous,first_differenced_series,pacf,True,outputs/gap_modes/figures/kic_11904151_q5_default_longest_contiguous_first_differenced_series_pacf.png,,145,24,False,False,none
longest_contiguous,selected_residual,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_longest_contiguous_selected_residual_acf.png,,143,24,True,False,none
longest_contiguous,selected_residual,pacf,True,outputs/gap_modes/figures/kic_11904151_q5_default_longest_contiguous_selected_residual_pacf.png,,143,24,True,False,none
full_grid_missing,modelling_series,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_full_grid_missing_modelling_series_acf.png,,4486,24,False,False,conservative
full_grid_missing,modelling_series,pacf,False,outputs/gap_modes/figures/kic_11904151_q5_default_full_grid_missing_modelling_series_pacf.png,PACF omitted because compressing missing full-grid cadences would change the cadence-lag meaning.,4486,24,False,False,not_applicable
full_grid_missing,first_differenced_series,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_full_grid_missing_first_differenced_series_acf.png,,4432,24,False,False,conservative
full_grid_missing,first_differenced_series,pacf,False,outputs/gap_modes/figures/kic_11904151_q5_default_full_grid_missing_first_differenced_series_pacf.png,PACF omitted because compressing missing full-grid cadences would change the cadence-lag meaning.,4432,24,False,False,not_applicable
full_grid_missing,selected_residual,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_full_grid_missing_selected_residual_acf.png,,4485,24,True,False,none
full_grid_missing,selected_residual,pacf,True,outputs/gap_modes/figures/kic_11904151_q5_default_full_grid_missing_selected_residual_pacf.png,,4485,24,True,False,none
interpolated_full_grid,modelling_series,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_interpolated_full_grid_modelling_series_acf.png,,1643,24,True,True,none
interpolated_full_grid,modelling_series,pacf,True,outputs/gap_modes/figures/kic_11904151_q5_default_interpolated_full_grid_modelling_series_pacf.png,,1643,24,True,True,none
interpolated_full_grid,first_differenced_series,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_interpolated_full_grid_first_differenced_series_acf.png,,1642,24,True,True,none
interpolated_full_grid,first_differenced_series,pacf,True,outputs/gap_modes/figures/kic_11904151_q5_default_interpolated_full_grid_first_differenced_series_pacf.png,,1642,24,True,True,none
interpolated_full_grid,selected_residual,acf,True,outputs/gap_modes/figures/kic_11904151_q5_default_interpolated_full_grid_selected_residual_acf.png,,4536,24,True,True,none
interpolated_full_grid,selected_residual,pacf,True,outputs/gap_modes/figures/kic_11904151_q5_default_interpolated_full_grid_selected_residual_pacf.png,,4536,24,True,True,none
