quality_policy,mode,order,name,estimate,std_error,ci_low,ci_high,boundary_distance,near_boundary
default,longest_segment,"(2, 0, 2)",const,-0.00010364540965638633,1.1247447935300128e-05,-0.00012569000252756396,-8.160081678520869e-05,,False
default,longest_segment,"(2, 0, 2)",ar.L1,0.12197471591667905,3.6517065853986196e-10,0.1219747152009577,0.12197471663240039,0.8780252840833209,False
default,longest_segment,"(2, 0, 2)",ar.L2,0.3943099165088618,8.881804494606661e-11,0.39430991633478163,0.394309916682942,0.6056900834911382,False
default,longest_segment,"(2, 0, 2)",ma.L1,0.24715239304145037,3.61814121769115e-10,0.2471523923323077,0.24715239375059303,0.7528476069585497,False
default,longest_segment,"(2, 0, 2)",ma.L2,-0.4596810936131715,3.415281809231227e-11,-0.4596810936801098,-0.4596810935462332,0.5403189063868286,False
default,longest_segment,"(2, 0, 2)",sigma2,5.268990267425343e-09,4.158176904679675e-10,4.454002569973502e-09,6.083977964877184e-09,,False
permissive,longest_segment,"(2, 0, 2)",const,-0.00010364540965638633,1.1247447935300128e-05,-0.00012569000252756396,-8.160081678520869e-05,,False
permissive,longest_segment,"(2, 0, 2)",ar.L1,0.12197471591667905,3.6517065853986196e-10,0.1219747152009577,0.12197471663240039,0.8780252840833209,False
permissive,longest_segment,"(2, 0, 2)",ar.L2,0.3943099165088618,8.881804494606661e-11,0.39430991633478163,0.394309916682942,0.6056900834911382,False
permissive,longest_segment,"(2, 0, 2)",ma.L1,0.24715239304145037,3.61814121769115e-10,0.2471523923323077,0.24715239375059303,0.7528476069585497,False
permissive,longest_segment,"(2, 0, 2)",ma.L2,-0.4596810936131715,3.415281809231227e-11,-0.4596810936801098,-0.4596810935462332,0.5403189063868286,False
permissive,longest_segment,"(2, 0, 2)",sigma2,5.268990267425343e-09,4.158176904679675e-10,4.454002569973502e-09,6.083977964877184e-09,,False
permissive,longest_segment,"(1, 0, 0)",const,-0.00010312486381025089,1.115187944001713e-05,-0.00012498214587261717,-8.126758174788461e-05,,False
permissive,longest_segment,"(1, 0, 0)",ar.L1,0.3088962181544236,2.2242211237507455e-10,0.30889621771848425,0.3088962185903629,0.6911037818455764,False
permissive,longest_segment,"(1, 0, 0)",sigma2,5.771551717496781e-09,4.313363467792805e-10,4.926148012586312e-09,6.61695542240725e-09,,False
default,longest_segment,"(1, 0, 0)",const,-0.00010312486381025089,1.115187944001713e-05,-0.00012498214587261717,-8.126758174788461e-05,,False
default,longest_segment,"(1, 0, 0)",ar.L1,0.3088962181544236,2.2242211237507455e-10,0.30889621771848425,0.3088962185903629,0.6911037818455764,False
default,longest_segment,"(1, 0, 0)",sigma2,5.771551717496781e-09,4.313363467792805e-10,4.926148012586312e-09,6.61695542240725e-09,,False
strict,longest_segment,"(3, 0, 0)",const,-3.762094269291627e-05,8.99687325249345e-05,-0.00021395641817650526,0.0001387145327906727,,False
strict,longest_segment,"(3, 0, 0)",ar.L1,0.9275323248624954,4.17013953685731e-08,0.9275322431292623,0.9275324065957284,0.07246767513750463,False
strict,longest_segment,"(3, 0, 0)",ar.L2,0.046385533405559766,2.6604486350268867e-08,0.04638548126172469,0.04638558554939484,0.9536144665944403,False
strict,longest_segment,"(3, 0, 0)",ar.L3,-0.07862223233473392,4.114139059998735e-08,-0.07862231297037778,-0.07862215169909006,0.9213777676652661,False
strict,longest_segment,"(3, 0, 0)",sigma2,6.75332366870443e-09,6.283362741184499e-10,5.5218072012521806e-09,7.984840136156679e-09,,False
default,longest_segment,"(1, 0, 2)",const,-0.00010383054925026943,9.75565432216618e-06,-0.00012295128036733766,-8.470981813320119e-05,,False
default,longest_segment,"(1, 0, 2)",ar.L1,0.08508966965157545,2.451199101731282e-10,0.08508966917114925,0.08508967013200165,0.9149103303484245,False
default,longest_segment,"(1, 0, 2)",ma.L1,0.28383403775273924,2.5038650639583796e-10,0.2838340372619907,0.2838340382434878,0.7161659622472607,False
default,longest_segment,"(1, 0, 2)",ma.L2,-0.05267831517581051,1.2882398495832595e-11,-0.05267831520105955,-0.05267831515056147,0.9473216848241894,False
default,longest_segment,"(1, 0, 2)",sigma2,5.446418800128068e-09,4.06754172724854e-10,4.64919527102597e-09,6.243642329230166e-09,,False
permissive,longest_segment,"(1, 0, 2)",const,-0.00010383054925026943,9.75565432216618e-06,-0.00012295128036733766,-8.470981813320119e-05,,False
permissive,longest_segment,"(1, 0, 2)",ar.L1,0.08508966965157545,2.451199101731282e-10,0.08508966917114925,0.08508967013200165,0.9149103303484245,False
permissive,longest_segment,"(1, 0, 2)",ma.L1,0.28383403775273924,2.5038650639583796e-10,0.2838340372619907,0.2838340382434878,0.7161659622472607,False
permissive,longest_segment,"(1, 0, 2)",ma.L2,-0.05267831517581051,1.2882398495832595e-11,-0.05267831520105955,-0.05267831515056147,0.9473216848241894,False
permissive,longest_segment,"(1, 0, 2)",sigma2,5.446418800128068e-09,4.06754172724854e-10,4.64919527102597e-09,6.243642329230166e-09,,False
permissive,longest_segment,"(2, 0, 1)",const,-0.00010304556616174708,7.129734623298218e-06,-0.00011701958924273983,-8.907154308075433e-05,,False
permissive,longest_segment,"(2, 0, 1)",ar.L1,-0.0,6.218933383450953e-11,-1.218888545381769e-10,1.218888545381769e-10,1.0,False
permissive,longest_segment,"(2, 0, 1)",ar.L2,0.0,7.54175125198038e-11,-1.4781560834241406e-10,1.4781560834241406e-10,1.0,False
permissive,longest_segment,"(2, 0, 1)",ma.L1,0.0,6.21893253666607e-11,-1.2188883794149816e-10,1.2188883794149816e-10,1.0,False
permissive,longest_segment,"(2, 0, 1)",sigma2,5.7041838441024976e-09,4.475536815758107e-10,4.8269947470656016e-09,6.5813729411393936e-09,,False
default,longest_segment,"(2, 0, 1)",const,-0.00010304556616174708,7.129734623298218e-06,-0.00011701958924273983,-8.907154308075433e-05,,False
default,longest_segment,"(2, 0, 1)",ar.L1,-0.0,6.218933383450953e-11,-1.218888545381769e-10,1.218888545381769e-10,1.0,False
default,longest_segment,"(2, 0, 1)",ar.L2,0.0,7.54175125198038e-11,-1.4781560834241406e-10,1.4781560834241406e-10,1.0,False
default,longest_segment,"(2, 0, 1)",ma.L1,0.0,6.21893253666607e-11,-1.2188883794149816e-10,1.2188883794149816e-10,1.0,False
default,longest_segment,"(2, 0, 1)",sigma2,5.7041838441024976e-09,4.475536815758107e-10,4.8269947470656016e-09,6.5813729411393936e-09,,False
default,longest_segment,"(0, 1, 2)",ma.L1,-0.4641118048536461,2.334836362134987e-18,-0.4641118048536461,-0.4641118048536461,0.5358881951463539,False
default,longest_segment,"(0, 1, 2)",ma.L2,-0.3397755978971499,2.7449707472647385e-18,-0.3397755978971499,-0.3397755978971499,0.66022440210285,False
default,longest_segment,"(0, 1, 2)",sigma2,7.110537176692939e-09,5.85852101877326e-10,5.96228815674629e-09,8.258786196639588e-09,,False
permissive,longest_segment,"(0, 1, 2)",ma.L1,-0.4641118048536461,2.334836362134987e-18,-0.4641118048536461,-0.4641118048536461,0.5358881951463539,False
permissive,longest_segment,"(0, 1, 2)",ma.L2,-0.3397755978971499,2.7449707472647385e-18,-0.3397755978971499,-0.3397755978971499,0.66022440210285,False
permissive,longest_segment,"(0, 1, 2)",sigma2,7.110537176692939e-09,5.85852101877326e-10,5.96228815674629e-09,8.258786196639588e-09,,False
permissive,longest_segment,"(2, 1, 0)",ar.L1,-0.43654410665921733,2.9380693430433667e-19,-0.43654410665921733,-0.43654410665921733,0.5634558933407827,False
permissive,longest_segment,"(2, 1, 0)",ar.L2,-0.4156589378124982,2.1470952270969705e-18,-0.4156589378124982,-0.4156589378124982,0.5843410621875018,False
permissive,longest_segment,"(2, 1, 0)",sigma2,6.6654735719725906e-09,5.376648869016257e-10,5.6116697578936024e-09,7.719277386051578e-09,,False
default,longest_segment,"(2, 1, 0)",ar.L1,-0.43654410665921733,2.9380693430433667e-19,-0.43654410665921733,-0.43654410665921733,0.5634558933407827,False
default,longest_segment,"(2, 1, 0)",ar.L2,-0.4156589378124982,2.1470952270969705e-18,-0.4156589378124982,-0.4156589378124982,0.5843410621875018,False
default,longest_segment,"(2, 1, 0)",sigma2,6.6654735719725906e-09,5.376648869016257e-10,5.6116697578936024e-09,7.719277386051578e-09,,False
default,longest_segment,"(2, 1, 1)",ar.L1,-0.40168052798056897,1.1990636128886335e-19,-0.40168052798056897,-0.40168052798056897,0.598319472019431,False
default,longest_segment,"(2, 1, 1)",ar.L2,-0.4049561304577217,2.0002373519290117e-18,-0.4049561304577217,-0.4049561304577217,0.5950438695422783,False
default,longest_segment,"(2, 1, 1)",ma.L1,-0.04217655083555249,5.11022851622507e-19,-0.04217655083555249,-0.04217655083555249,0.9578234491644475,False
default,longest_segment,"(2, 1, 1)",sigma2,6.539158961769304e-09,5.172158707143122e-10,5.525434482936727e-09,7.55288344060188e-09,,False
permissive,longest_segment,"(2, 1, 1)",ar.L1,-0.40168052798056897,1.1990636128886335e-19,-0.40168052798056897,-0.40168052798056897,0.598319472019431,False
permissive,longest_segment,"(2, 1, 1)",ar.L2,-0.4049561304577217,2.0002373519290117e-18,-0.4049561304577217,-0.4049561304577217,0.5950438695422783,False
permissive,longest_segment,"(2, 1, 1)",ma.L1,-0.04217655083555249,5.11022851622507e-19,-0.04217655083555249,-0.04217655083555249,0.9578234491644475,False
permissive,longest_segment,"(2, 1, 1)",sigma2,6.539158961769304e-09,5.172158707143122e-10,5.525434482936727e-09,7.55288344060188e-09,,False
permissive,longest_segment,"(1, 1, 2)",ar.L1,-0.6507783360325659,1.1849177575228164e-18,-0.6507783360325659,-0.6507783360325659,0.34922166396743415,False
permissive,longest_segment,"(1, 1, 2)",ma.L1,0.1837044544391051,3.9329513872279997e-19,0.1837044544391051,0.1837044544391051,0.8162955455608949,False
permissive,longest_segment,"(1, 1, 2)",ma.L2,-0.63024650533451,2.171339596117906e-18,-0.63024650533451,-0.63024650533451,0.36975349466549,False
permissive,longest_segment,"(1, 1, 2)",sigma2,5.5760787234745165e-09,4.14682542661513e-10,4.763315874840456e-09,6.388841572108577e-09,,False
default,longest_segment,"(1, 1, 2)",ar.L1,-0.6507783360325659,1.1849177575228164e-18,-0.6507783360325659,-0.6507783360325659,0.34922166396743415,False
default,longest_segment,"(1, 1, 2)",ma.L1,0.1837044544391051,3.9329513872279997e-19,0.1837044544391051,0.1837044544391051,0.8162955455608949,False
default,longest_segment,"(1, 1, 2)",ma.L2,-0.63024650533451,2.171339596117906e-18,-0.63024650533451,-0.63024650533451,0.36975349466549,False
default,longest_segment,"(1, 1, 2)",sigma2,5.5760787234745165e-09,4.14682542661513e-10,4.763315874840456e-09,6.388841572108577e-09,,False
default,full_gap,"(3, 1, 0)",ar.L1,-0.4073466952890865,1.6889013651662795e-19,-0.4073466952890865,-0.4073466952890865,0.5926533047109135,False
default,full_gap,"(3, 1, 0)",ar.L2,-0.19739826847115113,1.0689166731651729e-19,-0.19739826847115113,-0.19739826847115113,0.8026017315288488,False
default,full_gap,"(3, 1, 0)",ar.L3,-0.12647906511721746,2.2178120809241323e-20,-0.12647906511721746,-0.12647906511721746,0.8735209348827826,False
default,full_gap,"(3, 1, 0)",sigma2,5.865297951154277e-09,4.2770920620777756e-11,5.7814684871519315e-09,5.949127415156623e-09,,False
permissive,full_gap,"(3, 1, 0)",ar.L1,-0.4073466952890865,1.6889013651662795e-19,-0.4073466952890865,-0.4073466952890865,0.5926533047109135,False
permissive,full_gap,"(3, 1, 0)",ar.L2,-0.19739826847115113,1.0689166731651729e-19,-0.19739826847115113,-0.19739826847115113,0.8026017315288488,False
permissive,full_gap,"(3, 1, 0)",ar.L3,-0.12647906511721746,2.2178120809241323e-20,-0.12647906511721746,-0.12647906511721746,0.8735209348827826,False
permissive,full_gap,"(3, 1, 0)",sigma2,5.865297951154277e-09,4.2770920620777756e-11,5.7814684871519315e-09,5.949127415156623e-09,,False
permissive,longest_segment,"(0, 1, 1)",ma.L1,-0.4432511435046397,2.2676739135881428e-18,-0.4432511435046397,-0.4432511435046397,0.5567488564953603,False
permissive,longest_segment,"(0, 1, 1)",sigma2,6.595741887770469e-09,4.2991993708054595e-10,5.753114294856873e-09,7.438369480684065e-09,,False
default,longest_segment,"(0, 1, 1)",ma.L1,-0.4432511435046397,2.2676739135881428e-18,-0.4432511435046397,-0.4432511435046397,0.5567488564953603,False
default,longest_segment,"(0, 1, 1)",sigma2,6.595741887770469e-09,4.2991993708054595e-10,5.753114294856873e-09,7.438369480684065e-09,,False
permissive,full_gap,"(1, 1, 0)",ar.L1,-0.33825261847214094,1.2658371192434906e-19,-0.33825261847214094,-0.33825261847214094,0.6617473815278591,False
permissive,full_gap,"(1, 1, 0)",sigma2,6.2895067847772905e-09,4.681452393967904e-11,6.197752003902132e-09,6.381261565652449e-09,,False
default,full_gap,"(1, 1, 0)",ar.L1,-0.33825261847214094,1.2658371192434906e-19,-0.33825261847214094,-0.33825261847214094,0.6617473815278591,False
default,full_gap,"(1, 1, 0)",sigma2,6.2895067847772905e-09,4.681452393967904e-11,6.197752003902132e-09,6.381261565652449e-09,,False
strict,full_gap,"(0, 1, 0)",sigma2,4.692051391775159e-09,8.917924237578068e-11,4.517263288550061e-09,4.866839495000257e-09,,False
strict,full_gap,"(2, 1, 1)",ar.L1,0.7103570407072521,1.5102738163539755e-18,0.7103570407072521,0.7103570407072521,0.28964295929274786,False
strict,full_gap,"(2, 1, 1)",ar.L2,0.1753040874852633,1.0966241896529272e-19,0.1753040874852633,0.1753040874852633,0.8246959125147367,False
strict,full_gap,"(2, 1, 1)",ma.L1,-7.130846268607815e-08,1.546119391721436e-18,-7.130846268910849e-08,-7.13084626830478e-08,0.9999999286915373,False
strict,full_gap,"(2, 1, 1)",sigma2,8.737956713398979e-09,1.7902003485304283e-10,8.38708389257591e-09,9.088829534222048e-09,,False
default,full_gap,"(1, 0, 3)",const,-2.43157333300911e-05,1.4963412723303955e-05,-5.3643483353575265e-05,5.012016693393062e-06,,False
default,full_gap,"(1, 0, 3)",ar.L1,0.9716890317515451,6.080007497161389e-09,0.9716890198349494,0.9716890436681408,0.028310968248454915,False
default,full_gap,"(1, 0, 3)",ma.L1,-0.45142969768425295,2.936771989384922e-09,-0.45142970344022026,-0.45142969192828564,0.5485703023157471,False
default,full_gap,"(1, 0, 3)",ma.L2,-0.06671570606627393,3.2658592422733165e-09,-0.06671571246724042,-0.06671569966530744,0.933284293933726,False
default,full_gap,"(1, 0, 3)",ma.L3,-0.10115262111578999,2.969002701757705e-09,-0.10115262693492835,-0.10115261529665162,0.89884737888421,False
default,full_gap,"(1, 0, 3)",sigma2,5.679678176249952e-09,4.046138453728661e-11,5.600375319792244e-09,5.758981032707659e-09,,False
permissive,full_gap,"(1, 0, 3)",const,-2.43157333300911e-05,1.4963412723303955e-05,-5.3643483353575265e-05,5.012016693393062e-06,,False
permissive,full_gap,"(1, 0, 3)",ar.L1,0.9716890317515451,6.080007497161389e-09,0.9716890198349494,0.9716890436681408,0.028310968248454915,False
permissive,full_gap,"(1, 0, 3)",ma.L1,-0.45142969768425295,2.936771989384922e-09,-0.45142970344022026,-0.45142969192828564,0.5485703023157471,False
permissive,full_gap,"(1, 0, 3)",ma.L2,-0.06671570606627393,3.2658592422733165e-09,-0.06671571246724042,-0.06671569966530744,0.933284293933726,False
permissive,full_gap,"(1, 0, 3)",ma.L3,-0.10115262111578999,2.969002701757705e-09,-0.10115262693492835,-0.10115261529665162,0.89884737888421,False
permissive,full_gap,"(1, 0, 3)",sigma2,5.679678176249952e-09,4.046138453728661e-11,5.600375319792244e-09,5.758981032707659e-09,,False
strict,full_gap,"(1, 0, 2)",const,-2.3470489333260886e-05,1.0680360374118145e-05,-4.440361100844119e-05,-2.537367658080585e-06,,False
strict,full_gap,"(1, 0, 2)",ar.L1,0.9450160437694538,3.753102447272975e-09,0.9450160364135082,0.9450160511253994,0.054983956230546194,False
strict,full_gap,"(1, 0, 2)",ma.L1,-0.35179474855692267,1.2983041846536821e-09,-0.3517947511015521,-0.3517947460122932,0.6482052514430774,False
strict,full_gap,"(1, 0, 2)",ma.L2,-0.04748850231283849,1.3927777054923659e-09,-0.047488505042632634,-0.04748849958304435,0.9525114976871615,False
strict,full_gap,"(1, 0, 2)",sigma2,4.419880208447038e-09,8.551369043962595e-11,4.252276455000264e-09,4.587483961893811e-09,,False
strict,full_gap,"(1, 0, 3)",const,-2.346486683300419e-05,1.600865111444263e-05,-5.484124645837874e-05,7.91151279237036e-06,,False
strict,full_gap,"(1, 0, 3)",ar.L1,0.9762869700408822,1.0167891865255422e-08,0.9762869501121804,0.976286989969584,0.023713029959117837,False
strict,full_gap,"(1, 0, 3)",ma.L1,-0.4032713809443008,3.6541324133746862e-09,-0.4032713881062687,-0.4032713737823329,0.5967286190556992,False
strict,full_gap,"(1, 0, 3)",ma.L2,-0.0710258807275034,3.2435421259407645e-09,-0.07102588708472915,-0.07102587437027766,0.9289741192724966,False
strict,full_gap,"(1, 0, 3)",ma.L3,-0.13525585474753768,3.511501010800858e-09,-0.1352558616299532,-0.13525584786512215,0.8647441452524623,False
strict,full_gap,"(1, 0, 3)",sigma2,4.33528083939255e-09,8.270523782929971e-11,4.173181551914303e-09,4.497380126870797e-09,,False
strict,full_gap,"(2, 0, 2)",const,-2.3470033035151695e-05,1.1514976670616798e-05,-4.603897259237956e-05,-9.010934779238306e-07,,False
strict,full_gap,"(2, 0, 2)",ar.L1,1.339278051723912,0.0012452763668962404,1.3368373548939965,1.3417187485538276,-0.339278051723912,True
strict,full_gap,"(2, 0, 2)",ar.L2,-0.36783928323219317,0.001240426854182229,-0.37027047519184664,-0.3654080912725397,0.6321607167678068,False
strict,full_gap,"(2, 0, 2)",ma.L1,-0.7442086839302159,0.00013623051145260202,-0.7444756908262584,-0.7439416770341734,0.2557913160697841,False
strict,full_gap,"(2, 0, 2)",ma.L2,0.08036032631454937,0.00016490714745924102,0.08003711424473602,0.08068353838436272,0.9196396736854506,False
strict,full_gap,"(2, 0, 2)",sigma2,4.374574705383512e-09,8.492876239960116e-11,4.208117389828734e-09,4.54103202093829e-09,,False
strict,full_gap,"(1, 0, 1)",const,-2.347385437024792e-05,9.410924630947611e-06,-4.191892770812614e-05,-5.028781032369703e-06,,False
strict,full_gap,"(1, 0, 1)",ar.L1,0.9280643904751853,2.5856605832471815e-09,0.9280643854073837,0.9280643955429869,0.0719356095248147,False
strict,full_gap,"(1, 0, 1)",ma.L1,-0.31065935073199435,8.13962393872275e-10,-0.31065935232733133,-0.3106593491366574,0.6893406492680056,False
strict,full_gap,"(1, 0, 1)",sigma2,4.44756086027981e-09,8.691263957159644e-11,4.27721521691817e-09,4.6179065036414504e-09,,False
default,full_gap,"(2, 0, 2)",const,-2.4319403534049575e-05,1.1875505540046898e-05,-4.759496669074738e-05,-1.0438403773517697e-06,,False
default,full_gap,"(2, 0, 2)",ar.L1,1.4190186302511987,5.95846926552557e-09,1.4190186185728135,1.4190186419295838,-0.4190186302511987,True
default,full_gap,"(2, 0, 2)",ar.L2,-0.44337178491228907,4.597686554630244e-09,-0.4433717939235891,-0.44337177590098903,0.5566282150877109,False
default,full_gap,"(2, 0, 2)",ma.L1,-0.8747697339680824,3.1461674184954385e-09,-0.8747697401344573,-0.8747697278017076,0.12523026603191756,False
default,full_gap,"(2, 0, 2)",ma.L2,0.13661877348498802,3.4854584990990866e-09,0.1366187666536149,0.13661878031636115,0.863381226515012,False
default,full_gap,"(2, 0, 2)",sigma2,5.6752269403341074e-09,4.0201278709056354e-11,5.5964338819319e-09,5.754019998736315e-09,,False
permissive,full_gap,"(2, 0, 2)",const,-2.4319403534049575e-05,1.1875505540046898e-05,-4.759496669074738e-05,-1.0438403773517697e-06,,False
permissive,full_gap,"(2, 0, 2)",ar.L1,1.4190186302511987,5.95846926552557e-09,1.4190186185728135,1.4190186419295838,-0.4190186302511987,True
permissive,full_gap,"(2, 0, 2)",ar.L2,-0.44337178491228907,4.597686554630244e-09,-0.4433717939235891,-0.44337177590098903,0.5566282150877109,False
permissive,full_gap,"(2, 0, 2)",ma.L1,-0.8747697339680824,3.1461674184954385e-09,-0.8747697401344573,-0.8747697278017076,0.12523026603191756,False
permissive,full_gap,"(2, 0, 2)",ma.L2,0.13661877348498802,3.4854584990990866e-09,0.1366187666536149,0.13661878031636115,0.863381226515012,False
permissive,full_gap,"(2, 0, 2)",sigma2,5.6752269403341074e-09,4.0201278709056354e-11,5.5964338819319e-09,5.754019998736315e-09,,False
permissive,full_gap,"(1, 0, 2)",const,-2.431647575793526e-05,1.0534195569255105e-05,-4.496311967977668e-05,-3.66983183609384e-06,,False
permissive,full_gap,"(1, 0, 2)",ar.L1,0.9401494507290449,3.0480524744633823e-09,0.9401494447549718,0.940149456703118,0.05985054927095512,False
permissive,full_gap,"(1, 0, 2)",ma.L1,-0.3977958596986343,1.0810517560060114e-09,-0.3977958618174568,-0.3977958575798118,0.6022041403013657,False
permissive,full_gap,"(1, 0, 2)",ma.L2,-0.04177575032958694,1.8231761022115731e-09,-0.04177575390294644,-0.041775746756227444,0.9582242496704131,False
permissive,full_gap,"(1, 0, 2)",sigma2,5.810200260930839e-09,4.1998534555794917e-11,5.72788464579802e-09,5.8925158760636585e-09,,False
default,full_gap,"(1, 0, 2)",const,-2.431647575793526e-05,1.0534195569255105e-05,-4.496311967977668e-05,-3.66983183609384e-06,,False
default,full_gap,"(1, 0, 2)",ar.L1,0.9401494507290449,3.0480524744633823e-09,0.9401494447549718,0.940149456703118,0.05985054927095512,False
default,full_gap,"(1, 0, 2)",ma.L1,-0.3977958596986343,1.0810517560060114e-09,-0.3977958618174568,-0.3977958575798118,0.6022041403013657,False
default,full_gap,"(1, 0, 2)",ma.L2,-0.04177575032958694,1.8231761022115731e-09,-0.04177575390294644,-0.041775746756227444,0.9582242496704131,False
default,full_gap,"(1, 0, 2)",sigma2,5.810200260930839e-09,4.1998534555794917e-11,5.72788464579802e-09,5.8925158760636585e-09,,False
permissive,longest_segment,"(0, 0, 1)",const,-0.00010377009957024123,9.822058311554578e-06,-0.00012302098011494049,-8.451921902554196e-05,,False
permissive,longest_segment,"(0, 0, 1)",ma.L1,0.3375830359377158,1.9876988457786792e-10,0.337583035548134,0.33758303632729764,0.6624169640622841,False
permissive,longest_segment,"(0, 0, 1)",sigma2,5.490431771119962e-09,4.0852535108142574e-10,4.689736796228786e-09,6.291126746011138e-09,,False
default,longest_segment,"(0, 0, 1)",const,-0.00010377009957024123,9.822058311554578e-06,-0.00012302098011494049,-8.451921902554196e-05,,False
default,longest_segment,"(0, 0, 1)",ma.L1,0.3375830359377158,1.9876988457786792e-10,0.337583035548134,0.33758303632729764,0.6624169640622841,False
default,longest_segment,"(0, 0, 1)",sigma2,5.490431771119962e-09,4.0852535108142574e-10,4.689736796228786e-09,6.291126746011138e-09,,False
strict,full_gap,"(2, 0, 1)",const,-2.3473895483314132e-05,9.378517610128196e-06,-4.1855452227540054e-05,-5.092338739088206e-06,,False
strict,full_gap,"(2, 0, 1)",ar.L1,0.9192552375141324,2.543391380219509e-09,0.919255232529177,0.9192552424990879,0.0807447624858676,False
strict,full_gap,"(2, 0, 1)",ar.L2,0.007620149561737885,2.1951569646859366e-09,0.007620145259309294,0.007620153864166476,0.9923798504382622,False
strict,full_gap,"(2, 0, 1)",ma.L1,-0.3018502388054554,7.94191488851914e-10,-0.3018502403620421,-0.3018502372488687,0.6981497611945446,False
strict,full_gap,"(2, 0, 1)",sigma2,4.44928535495962e-09,8.695428813267648e-11,4.278858081918255e-09,4.619712628000985e-09,,False
permissive,full_gap,"(1, 0, 1)",const,-2.4320237042612543e-05,9.30414826148496e-06,-4.2556032541944024e-05,-6.084441543281062e-06,,False
permissive,full_gap,"(1, 0, 1)",ar.L1,0.922977425796508,2.207427794364022e-09,0.922977421470029,0.9229774301229869,0.07702257420349201,False
permissive,full_gap,"(1, 0, 1)",ma.L1,-0.36085409841242116,5.956585927073809e-10,-0.36085409957989056,-0.36085409724495177,0.6391459015875789,False
permissive,full_gap,"(1, 0, 1)",sigma2,5.80786064729316e-09,4.1959245624464765e-11,5.725622037050739e-09,5.890099257535581e-09,,False
