quality_policy,mode,order,name,estimate,std_error,ci_low,ci_high,boundary_distance,near_boundary
default,longest_segment,"(2, 1, 0)",ar.L1,-0.43654410665921733,2.9380685646477308e-19,-0.43654410665921733,-0.43654410665921733,0.5634558933407827,False
default,longest_segment,"(2, 1, 0)",ar.L2,-0.41565893781249796,2.1470952270014755e-18,-0.41565893781249796,-0.41565893781249796,0.584341062187502,False
default,longest_segment,"(2, 1, 0)",sigma2,6.665473571972373e-09,5.376648869016002e-10,5.611669757893435e-09,7.719277386051311e-09,,False
default,full_gap,"(1, 1, 0)",ar.L1,-0.33825261847214155,1.265837109710754e-19,-0.33825261847214155,-0.33825261847214155,0.6617473815278585,False
default,full_gap,"(1, 1, 0)",sigma2,6.289506784777328e-09,4.681452393967959e-11,6.197752003902167e-09,6.381261565652488e-09,,False
default,longest_segment,"(1, 1, 1)",ar.L1,0.0949878354512206,1.3825465519085848e-18,0.0949878354512206,0.0949878354512206,0.9050121645487794,False
default,longest_segment,"(1, 1, 1)",ma.L1,-0.5383355839714128,2.0250210668232754e-18,-0.5383355839714128,-0.5383355839714128,0.4616644160285872,False
default,longest_segment,"(1, 1, 1)",sigma2,6.14391718386379e-09,3.843900955324236e-10,5.390526440606329e-09,6.8973079271212515e-09,,False
default,full_gap,"(3, 0, 1)",const,-2.897433768034732e-05,1.9153484119536046e-06,-3.2728351585622373e-05,-2.522032377507227e-05,,False
default,full_gap,"(3, 0, 1)",ar.L1,2.1818403591727175e-08,0.0030537270444894525,-0.005985173207411679,0.005985216844218862,0.9999999781815964,False
default,full_gap,"(3, 0, 1)",ar.L2,2.0182528192546446e-08,0.0027438235694113777,-0.005377775193450244,0.00537781555850663,0.9999999798174718,False
default,full_gap,"(3, 0, 1)",ar.L3,1.8676412892600375e-08,0.0026412626481871755,-0.005176760987744859,0.005176798340570644,0.9999999813235871,False
default,full_gap,"(3, 0, 1)",ma.L1,2.1817934888614482e-08,0.0030537268248012114,-0.005985172777299342,0.0059852164131691185,0.9999999781820651,False
default,full_gap,"(3, 0, 1)",sigma2,1.708090500655343e-08,3.170372254706711e-10,1.645952346287241e-08,1.770228655023445e-08,,False
strict,full_gap,"(1, 1, 0)",ar.L1,-0.28188906440207184,6.880038964005523e-20,-0.28188906440207184,-0.28188906440207184,0.7181109355979282,False
strict,full_gap,"(1, 1, 0)",sigma2,4.441176307689084e-09,8.565779846144382e-11,4.2732901077096636e-09,4.609062507668504e-09,,False
strict,longest_segment,"(3, 0, 1)",const,-3.76177242968604e-05,9.197740302714065e-05,-0.00021789012162158142,0.0001426546730278606,,False
strict,longest_segment,"(3, 0, 1)",ar.L1,0.6187118829369378,3.6934299649911206e-08,0.6187118105470407,0.6187119553268349,0.3812881170630622,False
strict,longest_segment,"(3, 0, 1)",ar.L2,0.3325783971760158,1.861542688095964e-08,0.33257836069044955,0.332578433661582,0.6674216028239842,False
strict,longest_segment,"(3, 0, 1)",ar.L3,-0.08474911457421225,2.9507472043157975e-08,-0.08474917240779473,-0.08474905674062977,0.9152508854257877,False
strict,longest_segment,"(3, 0, 1)",ma.L1,0.30882044192430025,2.135592183965281e-08,0.3088204000674626,0.3088204837811379,0.6911795580756998,False
strict,longest_segment,"(3, 0, 1)",sigma2,6.769658435710977e-09,6.334305738710466e-10,5.528157324217187e-09,8.011159547204767e-09,,False
strict,longest_segment,"(1, 0, 1)",const,-3.761449978585197e-05,9.549630043659473e-05,-0.0002247838092983943,0.00014955480972669036,,False
strict,longest_segment,"(1, 0, 1)",ar.L1,0.9002321873200579,5.148208020157973e-08,0.9002320864170349,0.900232288223081,0.09976781267994206,False
strict,longest_segment,"(1, 0, 1)",ma.L1,0.027463115745715753,2.259734351517383e-08,0.027463071455736315,0.02746316003569519,0.9725368842542842,False
strict,longest_segment,"(1, 0, 1)",sigma2,6.789853959456387e-09,6.271625668189316e-10,5.560637916039586e-09,8.019070002873188e-09,,False
permissive,longest_segment,"(2, 1, 0)",ar.L1,-0.43654410665921733,2.9380685646477308e-19,-0.43654410665921733,-0.43654410665921733,0.5634558933407827,False
permissive,longest_segment,"(2, 1, 0)",ar.L2,-0.41565893781249796,2.1470952270014755e-18,-0.41565893781249796,-0.41565893781249796,0.584341062187502,False
permissive,longest_segment,"(2, 1, 0)",sigma2,6.665473571972373e-09,5.376648869016002e-10,5.611669757893435e-09,7.719277386051311e-09,,False
permissive,full_gap,"(1, 1, 0)",ar.L1,-0.33825261847214155,1.265837109710754e-19,-0.33825261847214155,-0.33825261847214155,0.6617473815278585,False
permissive,full_gap,"(1, 1, 0)",sigma2,6.289506784777328e-09,4.681452393967959e-11,6.197752003902167e-09,6.381261565652488e-09,,False
permissive,longest_segment,"(1, 1, 1)",ar.L1,0.0949878354512206,1.3825465519085848e-18,0.0949878354512206,0.0949878354512206,0.9050121645487794,False
permissive,longest_segment,"(1, 1, 1)",ma.L1,-0.5383355839714128,2.0250210668232754e-18,-0.5383355839714128,-0.5383355839714128,0.4616644160285872,False
permissive,longest_segment,"(1, 1, 1)",sigma2,6.14391718386379e-09,3.843900955324236e-10,5.390526440606329e-09,6.8973079271212515e-09,,False
permissive,full_gap,"(3, 0, 1)",const,-2.897433768034732e-05,1.9153484119536046e-06,-3.2728351585622373e-05,-2.522032377507227e-05,,False
permissive,full_gap,"(3, 0, 1)",ar.L1,2.1818403591727175e-08,0.0030537270444894525,-0.005985173207411679,0.005985216844218862,0.9999999781815964,False
permissive,full_gap,"(3, 0, 1)",ar.L2,2.0182528192546446e-08,0.0027438235694113777,-0.005377775193450244,0.00537781555850663,0.9999999798174718,False
permissive,full_gap,"(3, 0, 1)",ar.L3,1.8676412892600375e-08,0.0026412626481871755,-0.005176760987744859,0.005176798340570644,0.9999999813235871,False
permissive,full_gap,"(3, 0, 1)",ma.L1,2.1817934888614482e-08,0.0030537268248012114,-0.005985172777299342,0.0059852164131691185,0.9999999781820651,False
permissive,full_gap,"(3, 0, 1)",sigma2,1.708090500655343e-08,3.170372254706711e-10,1.645952346287241e-08,1.770228655023445e-08,,False
default,longest_segment,"(3, 0, 1)",const,-0.00010345468252732455,1.145688578411157e-05,-0.00012590976603917218,-8.099959901547694e-05,,False
default,longest_segment,"(3, 0, 1)",ar.L1,0.1538635172190421,2.57487918711294e-10,0.15386351671437504,0.15386351772370915,0.8461364827809579,False
default,longest_segment,"(3, 0, 1)",ar.L2,-0.059393109297773465,3.4676481149821836e-11,-0.05939310936573812,-0.05939310922980881,0.9406068907022266,False
default,longest_segment,"(3, 0, 1)",ar.L3,0.17870816171786555,4.118659471079916e-10,0.17870816091062314,0.17870816252510796,0.8212918382821345,False
default,longest_segment,"(3, 0, 1)",ma.L1,0.1836944136742014,2.2316868259530647e-10,0.1836944132367988,0.18369441411160398,0.8163055863257986,False
default,longest_segment,"(3, 0, 1)",sigma2,5.391323664543585e-09,4.3476739094623356e-10,4.539195236636522e-09,6.243452092450649e-09,,False
default,longest_segment,"(3, 0, 0)",const,-0.00010322157654626675,1.2073131838882538e-05,-0.00012688448013108036,-7.955867296145314e-05,,False
default,longest_segment,"(3, 0, 0)",ar.L1,0.33755793084591845,3.3270861037137167e-10,0.3375579301938216,0.33755793149801533,0.6624420691540815,False
